NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TADA3	TADA3	2524	0.04167376458644867	-0.07684636	No	
row_1	E2F3	E2F3	3328	0.03258474916219711	-0.0766215	No	
row_2	E2F1	E2F1	4679	0.021547768265008926	-0.11867134	No	
row_3	RB1	RB1	6286	0.012491372413933277	-0.18547353	No	
row_4	TP53	TP53	6748	0.010618173517286777	-0.19567086	No	
row_5	CDK4	CDK4	8437	0.004726445768028498	-0.27661124	No	
row_6	CCND3	CCND3	9287	0.0021011079661548138	-0.3176737	No	
row_7	ATM	ATM	11282	-0.004027907270938158	-0.4152726	No	
row_8	EP300	EP300	12106	-0.006713622249662876	-0.44910678	No	
row_9	ATR	ATR	13877	-0.014444864355027676	-0.5218651	No	
row_10	CDKN1A	CDKN1A	17974	-0.06972125917673111	-0.643902	Yes	
row_11	CCND2	CCND2	18089	-0.07447818666696548	-0.5546928	Yes	
row_12	CCND1	CCND1	18922	-0.1286199390888214	-0.43335816	Yes	
row_13	CDK6	CDK6	19079	-0.1529182344675064	-0.24617195	Yes	
row_14	E2F2	E2F2	19291	-0.20662838220596313	0.0067497967	Yes	
