NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP1LC3C	MAP1LC3C	47	0.209865540266037	0.29232767	Yes	
row_1	CALCOCO2	CALCOCO2	683	0.08617132902145386	0.3806324	Yes	
row_2	NBR1	NBR1	809	0.07981335371732712	0.48628673	Yes	
row_3	HK1	HK1	1413	0.06114492937922478	0.54109156	Yes	
row_4	CISD2	CISD2	1501	0.05894949659705162	0.61940134	Yes	
row_5	MAP1LC3A	MAP1LC3A	1750	0.053643401712179184	0.6819629	Yes	
row_6	OPTN	OPTN	2990	0.03643649443984032	0.6692939	Yes	
row_7	PINK1	PINK1	3322	0.03261401131749153	0.69804347	Yes	
row_8	TOMM70	TOMM70	3768	0.028699252754449844	0.7154208	Yes	
row_9	FKBP8	FKBP8	5942	0.014060069806873798	0.6231978	No	
row_10	FAF2	FAF2	7381	0.00812839437276125	0.5605169	No	
row_11	CISD1	CISD1	8002	0.006117627490311861	0.5371617	No	
row_12	SQSTM1	SQSTM1	8717	0.0038050608709454536	0.5057149	No	
row_13	MAP1LC3B	MAP1LC3B	8890	0.00330941379070282	0.5015001	No	
row_14	TAX1BP1	TAX1BP1	11985	-0.006272201891988516	0.3508822	No	
row_15	MAP1LC3B2	MAP1LC3B2	15098	-0.022982778027653694	0.22280626	No	
