NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ORC3	ORC3	1927	0.05064190551638603	-0.061954465	No	
row_1	ORC4	ORC4	3011	0.03617030754685402	-0.09108119	No	
row_2	POLE4	POLE4	3789	0.02848176844418049	-0.11010897	No	
row_3	GINS1	GINS1	4578	0.022262848913669586	-0.13429616	No	
row_4	GINS3	GINS3	4802	0.020736241713166237	-0.13048095	No	
row_5	MCM6	MCM6	7380	0.008129907771945	-0.25733995	No	
row_6	ORC5	ORC5	8041	0.005980229005217552	-0.28695157	No	
row_7	GINS4	GINS4	9352	0.001923279487527907	-0.35307103	No	
row_8	MTBP	MTBP	11459	-0.0046135359443724155	-0.4582433	No	
row_9	ORC6	ORC6	12034	-0.006475892383605242	-0.483055	No	
row_10	ORC1	ORC1	13254	-0.011162113398313522	-0.5376605	No	
row_11	TICRR	TICRR	13856	-0.01432840432971716	-0.5580656	No	
row_12	ORC2	ORC2	14034	-0.015374517068266869	-0.55583805	No	
row_13	POLE3	POLE3	16184	-0.033612508326768875	-0.64181334	Yes	
row_14	CDC6	CDC6	16219	-0.0340271070599556	-0.6184394	Yes	
row_15	MCM3	MCM3	17338	-0.05191535875201225	-0.63774383	Yes	
row_16	TOPBP1	TOPBP1	17649	-0.05953310802578926	-0.609765	Yes	
row_17	MCM7	MCM7	17780	-0.0631566196680069	-0.5698302	Yes	
row_18	POLE	POLE	17909	-0.06727167963981628	-0.5267535	Yes	
row_19	RECQL4	RECQL4	18132	-0.07590328902006149	-0.48214927	Yes	
row_20	POLE2	POLE2	18307	-0.08393518626689911	-0.42913926	Yes	
row_21	MCM4	MCM4	18412	-0.08910652995109558	-0.36870155	Yes	
row_22	CDC45	CDC45	18507	-0.09485790878534317	-0.30350122	Yes	
row_23	MCM5	MCM5	18529	-0.09647352248430252	-0.23334418	Yes	
row_24	CDT1	CDT1	18709	-0.10758853703737259	-0.16312541	Yes	
row_25	GINS2	GINS2	18788	-0.11428243666887283	-0.08275636	Yes	
row_26	MCM2	MCM2	19097	-0.15626510977745056	0.01675619	Yes	
