NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNB2	CACNB2	231	0.1301782876253128	0.16488634	Yes	
row_1	CACNA2D4	CACNA2D4	365	0.11121415346860886	0.30906892	Yes	
row_2	CASQ1	CASQ1	378	0.10921969264745712	0.45677933	Yes	
row_3	CACNB3	CACNB3	1182	0.06704980134963989	0.5064507	Yes	
row_4	CACNA2D2	CACNA2D2	1522	0.05858976021409035	0.5685478	Yes	
row_5	ASPH	ASPH	2612	0.04062510281801224	0.56759167	Yes	
row_6	CACNA2D1	CACNA2D1	2714	0.03943103924393654	0.61593646	Yes	
row_7	CACNG3	CACNG3	6453	0.011799604631960392	0.43930066	No	
row_8	CACNB4	CACNB4	7723	0.0070289247669279575	0.38344088	No	
row_9	CACNG1	CACNG1	7785	0.006817079149186611	0.389555	No	
row_10	CACNG4	CACNG4	8396	0.004854065831750631	0.36470714	No	
row_11	CACNB1	CACNB1	8989	0.0030468469485640526	0.33833268	No	
row_12	CASQ2	CASQ2	9098	0.002683148253709078	0.33641016	No	
row_13	CACNA1S	CACNA1S	9815	4.996609059162438E-4	0.30018532	No	
row_14	CACNG2	CACNG2	10178	-5.368957063183188E-4	0.2822566	No	
row_15	CACNG7	CACNG7	11405	-0.004441606346517801	0.2250993	No	
row_16	CACNG5	CACNG5	11597	-0.004999068100005388	0.22204407	No	
row_17	TRDN	TRDN	11865	-0.005863037891685963	0.21624507	No	
row_18	CACNG6	CACNG6	12223	-0.007082059048116207	0.20746289	No	
row_19	RYR1	RYR1	17063	-0.046397145837545395	0.021066574	No	
row_20	CACNA2D3	CACNA2D3	18077	-0.07397748529911041	0.06932269	No	
