NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAPK14	MAPK14	100	0.17203496396541595	0.15342514	Yes	
row_1	MAPK10	MAPK10	347	0.11366862058639526	0.24552217	Yes	
row_2	MAPK1	MAPK1	1576	0.05696091055870056	0.23472273	Yes	
row_3	MAP2K7	MAP2K7	1904	0.05096016824245453	0.26483998	Yes	
row_4	MYD88	MYD88	1932	0.0505363903939724	0.31003207	Yes	
row_5	TLR4	TLR4	1977	0.049735862761735916	0.3536099	Yes	
row_6	TIRAP	TIRAP	2174	0.04673043265938759	0.38658145	Yes	
row_7	TLR2	TLR2	2581	0.04098798707127571	0.40343383	Yes	
row_8	MAP3K7	MAP3K7	3169	0.03423052653670311	0.40472636	Yes	
row_9	JUN	JUN	3267	0.033206675201654434	0.4303355	Yes	
row_10	MAP2K1	MAP2K1	3334	0.032542262226343155	0.45693025	Yes	
row_11	MAP2K3	MAP2K3	4249	0.02467694878578186	0.43255898	No	
row_12	TRAF6	TRAF6	5994	0.013801648281514645	0.35537502	No	
row_13	MAP2K2	MAP2K2	6665	0.01093885488808155	0.33091873	No	
row_14	MAPK3	MAPK3	6879	0.010098576545715332	0.329247	No	
row_15	IRAK1	IRAK1	12948	-0.009827070869505405	0.025489757	No	
row_16	MAPK11	MAPK11	14004	-0.015201942063868046	-0.014884277	No	
row_17	MAP2K6	MAP2K6	14159	-0.016142359003424644	-0.007943355	No	
row_18	FOS	FOS	14325	-0.01731434091925621	-4.8917864E-4	No	
row_19	IRAK4	IRAK4	15704	-0.02858348935842514	-0.04517942	No	
row_20	MAP2K4	MAP2K4	15930	-0.030720699578523636	-0.028460482	No	
row_21	MAPK12	MAPK12	16403	-0.03622328117489815	-0.019402584	No	
row_22	MAPK8	MAPK8	16411	-0.036326825618743896	0.013722301	No	
row_23	MAPK9	MAPK9	17869	-0.06589078158140182	-6.509912E-4	No	
row_24	MAPK13	MAPK13	18387	-0.08750252425670624	0.05335584	No	
