NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYD88	MYD88	1932	0.0505363903939724	-0.024922471	No	
row_1	MAP3K7	MAP3K7	3169	0.03423052653670311	-0.038061157	No	
row_2	RELA	RELA	3595	0.03013315424323082	-0.015461564	No	
row_3	TRAF6	TRAF6	5994	0.013801648281514645	-0.11864375	No	
row_4	IKBKG	IKBKG	7412	0.008013147860765457	-0.17982529	No	
row_5	CHUK	CHUK	7558	0.007535858545452356	-0.1761683	No	
row_6	IL12B	IL12B	8416	0.004779139533638954	-0.21327005	No	
row_7	TLR5	TLR5	11276	-0.004013757221400738	-0.35466075	No	
row_8	NFKBIA	NFKBIA	11918	-0.0060638487339019775	-0.37873533	No	
row_9	IRAK1	IRAK1	12948	-0.009827070869505405	-0.4172454	No	
row_10	NFKB1	NFKB1	13359	-0.01168221328407526	-0.42112017	No	
row_11	IRAK4	IRAK4	15704	-0.02858348935842514	-0.49969086	Yes	
row_12	IKBKB	IKBKB	15720	-0.02869682013988495	-0.45808598	Yes	
row_13	TNF	TNF	18593	-0.10033243149518967	-0.45790866	Yes	
row_14	IL12A	IL12A	18737	-0.10990376770496368	-0.30297756	Yes	
row_15	IL6	IL6	19332	-0.22903284430503845	0.0046374667	Yes	
