NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GINS1	GINS1	4578	0.022262848913669586	-0.20826101	No	
row_1	GINS3	GINS3	4802	0.020736241713166237	-0.19402404	No	
row_2	MCM6	MCM6	7380	0.008129907771945	-0.3167177	No	
row_3	UBB	UBB	8792	0.003580933902412653	-0.3849769	No	
row_4	GINS4	GINS4	9352	0.001923279487527907	-0.41139328	No	
row_5	VCP	VCP	10777	-0.0024091436062008142	-0.48177612	No	
row_6	NPLOC4	NPLOC4	15659	-0.028330421075224876	-0.6981213	No	
row_7	MCM3	MCM3	17338	-0.05191535875201225	-0.7201701	Yes	
row_8	TRAIP	TRAIP	17360	-0.05257837101817131	-0.6560191	Yes	
row_9	MCM7	MCM7	17780	-0.0631566196680069	-0.5992509	Yes	
row_10	MCM4	MCM4	18412	-0.08910652995109558	-0.52121043	Yes	
row_11	CDC45	CDC45	18507	-0.09485790878534317	-0.40836537	Yes	
row_12	MCM5	MCM5	18529	-0.09647352248430252	-0.2897545	Yes	
row_13	GINS2	GINS2	18788	-0.11428243666887283	-0.16125989	Yes	
row_14	MCM2	MCM2	19097	-0.15626510977745056	0.016745575	Yes	
