NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT3	WNT3	286	0.12098387628793716	0.06315471	No	
row_1	WNT16	WNT16	728	0.08428443968296051	0.094692916	No	
row_2	WNT9A	WNT9A	1265	0.06497856229543686	0.108905375	No	
row_3	WNT5B	WNT5B	1467	0.05979019030928612	0.13704185	No	
row_4	WNT6	WNT6	3491	0.03103574924170971	0.05276697	No	
row_5	WNT9B	WNT9B	4970	0.01956218108534813	-0.010808027	No	
row_6	WNT8B	WNT8B	8614	0.004142811056226492	-0.19588552	No	
row_7	WNT2B	WNT2B	9976	1.7859543731901795E-5	-0.2660142	No	
row_8	WNT8A	WNT8A	10008	-6.882708112243563E-5	-0.2675675	No	
row_9	WNT5A	WNT5A	11831	-0.005748620722442865	-0.35776448	No	
row_10	WNT10A	WNT10A	12910	-0.009698359295725822	-0.40707585	No	
row_11	WNT7B	WNT7B	14175	-0.01626484841108322	-0.46174514	No	
row_12	PORCN	PORCN	15385	-0.02565670758485794	-0.50753313	No	
row_13	WNT4	WNT4	17037	-0.04577317833900452	-0.5631482	No	
row_14	WNT10B	WNT10B	19021	-0.14144767820835114	-0.5742743	Yes	
row_15	WNT1	WNT1	19154	-0.170204758644104	-0.47149286	Yes	
row_16	WNT3A	WNT3A	19157	-0.17176386713981628	-0.36100793	Yes	
row_17	WNT7A	WNT7A	19323	-0.22421908378601074	-0.2251507	Yes	
row_18	WNT2	WNT2	19419	-0.3575458526611328	1.547761E-4	Yes	
