NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SFRP2	SFRP2	28	0.22967307269573212	0.09799517	No	
row_1	WNT3	WNT3	286	0.12098387628793716	0.13712594	No	
row_2	WNT16	WNT16	728	0.08428443968296051	0.1508809	No	
row_3	WNT9A	WNT9A	1265	0.06497856229543686	0.15137932	No	
row_4	WNT5B	WNT5B	1467	0.05979019030928612	0.16690299	No	
row_5	WNT6	WNT6	3491	0.03103574924170971	0.076040305	No	
row_6	WNT9B	WNT9B	4970	0.01956218108534813	0.008308625	No	
row_7	TRABD2B	TRABD2B	6581	0.011249275878071785	-0.06982771	No	
row_8	SFRP4	SFRP4	8194	0.005457085091620684	-0.15057495	No	
row_9	WNT8B	WNT8B	8614	0.004142811056226492	-0.17038368	No	
row_10	WNT2B	WNT2B	9976	1.7859543731901795E-5	-0.24054505	No	
row_11	WNT8A	WNT8A	10008	-6.882708112243563E-5	-0.24211352	No	
row_12	CER1	CER1	11540	-0.004816933069378138	-0.3189618	No	
row_13	WNT5A	WNT5A	11831	-0.005748620722442865	-0.33142442	No	
row_14	SFRP5	SFRP5	12474	-0.007905509322881699	-0.36110127	No	
row_15	WNT10A	WNT10A	12910	-0.009698359295725822	-0.3793296	No	
row_16	WIF1	WIF1	13789	-0.013915987685322762	-0.41857162	No	
row_17	WNT7B	WNT7B	14175	-0.01626484841108322	-0.43137908	No	
row_18	WNT4	WNT4	17037	-0.04577317833900452	-0.5590659	No	
row_19	NOTUM	NOTUM	18485	-0.09283939003944397	-0.5934733	Yes	
row_20	WNT10B	WNT10B	19021	-0.14144767820835114	-0.55981547	Yes	
row_21	WNT1	WNT1	19154	-0.170204758644104	-0.4929295	Yes	
row_22	WNT3A	WNT3A	19157	-0.17176386713981628	-0.4186661	Yes	
row_23	FRZB	FRZB	19180	-0.176375150680542	-0.3434373	Yes	
row_24	WNT7A	WNT7A	19323	-0.22421908378601074	-0.253681	Yes	
row_25	SFRP1	SFRP1	19347	-0.23993019759655	-0.15098715	Yes	
row_26	WNT2	WNT2	19419	-0.3575458526611328	1.5459559E-4	Yes	
