NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAX	MAX	1209	0.06650345027446747	0.023355396	No	
row_1	E2F3	E2F3	3328	0.03258474916219711	-0.043809205	No	
row_2	SKP1	SKP1	4062	0.0262080617249012	-0.04782397	No	
row_3	E2F1	E2F1	4679	0.021547768265008926	-0.051812246	No	
row_4	CKS1B	CKS1B	6182	0.013042213395237923	-0.112406045	No	
row_5	RB1	RB1	6286	0.012491372413933277	-0.10162559	No	
row_6	CUL1	CUL1	7207	0.00875861756503582	-0.13774857	No	
row_7	CCNE2	CCNE2	8506	0.004505010321736336	-0.19882624	No	
row_8	CDKN1B	CDKN1B	14754	-0.02019576169550419	-0.49469385	No	
row_9	RBX1	RBX1	14887	-0.021261077374219894	-0.4741132	No	
row_10	MYC	MYC	16821	-0.04233448579907417	-0.519189	Yes	
row_11	CCNE1	CCNE1	18389	-0.08767252415418625	-0.48701614	Yes	
row_12	SKP2	SKP2	18638	-0.1027904748916626	-0.3674113	Yes	
row_13	CDK2	CDK2	18739	-0.1099383607506752	-0.23097502	Yes	
row_14	E2F2	E2F2	19291	-0.20662838220596313	0.00674979	Yes	
