NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT3	WNT3	286	0.12098387628793716	0.03609581	No	
row_1	TCF7L2	TCF7L2	312	0.11746595799922943	0.084176384	No	
row_2	WNT16	WNT16	728	0.08428443968296051	0.09819337	No	
row_3	WNT9A	WNT9A	1265	0.06497856229543686	0.097854614	No	
row_4	WNT5B	WNT5B	1467	0.05979019030928612	0.11261573	No	
row_5	WNT6	WNT6	3491	0.03103574924170971	0.021306189	No	
row_6	WNT9B	WNT9B	4970	0.01956218108534813	-0.046712544	No	
row_7	LRP6	LRP6	5283	0.01753494329750538	-0.055436812	No	
row_8	DVL1	DVL1	7989	0.006142312660813332	-0.19238892	No	
row_9	AXIN1	AXIN1	8374	0.0049043684266507626	-0.21013576	No	
row_10	WNT8B	WNT8B	8614	0.004142811056226492	-0.22072305	No	
row_11	GSK3B	GSK3B	8622	0.004120434168726206	-0.21935235	No	
row_12	FRAT1	FRAT1	8952	0.0031354327220469713	-0.23500556	No	
row_13	WNT2B	WNT2B	9976	1.7859543731901795E-5	-0.2877681	No	
row_14	WNT8A	WNT8A	10008	-6.882708112243563E-5	-0.28933826	No	
row_15	WNT5A	WNT5A	11831	-0.005748620722442865	-0.3809075	No	
row_16	TCF7	TCF7	12249	-0.007141347974538803	-0.39941642	No	
row_17	APC	APC	12392	-0.0076128640212118626	-0.40354165	No	
row_18	WNT10A	WNT10A	12910	-0.009698359295725822	-0.42613423	No	
row_19	WNT7B	WNT7B	14175	-0.01626484841108322	-0.4844999	No	
row_20	CTNNB1	CTNNB1	15739	-0.02883240580558777	-0.553007	No	
row_21	DVL2	DVL2	16613	-0.03892930969595909	-0.5816778	Yes	
row_22	FRAT2	FRAT2	16642	-0.039296235889196396	-0.56660616	Yes	
row_23	TCF7L1	TCF7L1	16656	-0.0393950529396534	-0.5507193	Yes	
row_24	FZD7	FZD7	16814	-0.04229393228888512	-0.5410421	Yes	
row_25	MYC	MYC	16821	-0.04233448579907417	-0.5235587	Yes	
row_26	WNT4	WNT4	17037	-0.04577317833900452	-0.51541096	Yes	
row_27	LEF1	LEF1	17589	-0.05768170952796936	-0.5195903	Yes	
row_28	LRP5	LRP5	18083	-0.07440075278282166	-0.5137509	Yes	
row_29	AXIN2	AXIN2	18110	-0.07510259002447128	-0.48352695	Yes	
row_30	DVL3	DVL3	18821	-0.11681529879570007	-0.4710546	Yes	
row_31	CCND1	CCND1	18922	-0.1286199390888214	-0.42215487	Yes	
row_32	WNT10B	WNT10B	19021	-0.14144767820835114	-0.36776054	Yes	
row_33	WNT1	WNT1	19154	-0.170204758644104	-0.30303362	Yes	
row_34	WNT3A	WNT3A	19157	-0.17176386713981628	-0.23094559	Yes	
row_35	WNT7A	WNT7A	19323	-0.22421908378601074	-0.14521909	Yes	
row_36	WNT2	WNT2	19419	-0.3575458526611328	1.5462903E-4	Yes	
