NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAR	STAR	262	0.12424680590629578	0.24019541	Yes	
row_1	PBX1	PBX1	679	0.08648683875799179	0.395354	Yes	
row_2	ATF2	ATF2	999	0.07238633185625076	0.52671957	Yes	
row_3	CREB3L3	CREB3L3	6312	0.012355402112007141	0.278218	No	
row_4	ATF6B	ATF6B	6420	0.011945676989853382	0.2970958	No	
row_5	CREB3L1	CREB3L1	7672	0.007185410242527723	0.2473029	No	
row_6	CREB3	CREB3	8961	0.0031097480095922947	0.1872814	No	
row_7	CYP11B1	CYP11B1	11313	-0.0041170730255544186	0.074539855	No	
row_8	PRKACA	PRKACA	12737	-0.008977348916232586	0.019542636	No	
row_9	NR5A1	NR5A1	12813	-0.009281258098781109	0.034629013	No	
row_10	CREB3L4	CREB3L4	12949	-0.0098308390006423	0.047745742	No	
row_11	CREB1	CREB1	13668	-0.013293283991515636	0.03789009	No	
row_12	NR4A1	NR4A1	14017	-0.015268947929143906	0.05113477	No	
row_13	CREB3L2	CREB3L2	14811	-0.02062372677028179	0.052382175	No	
row_14	CREB5	CREB5	15440	-0.026208633556962013	0.07353579	No	
row_15	SP1	SP1	15914	-0.030575592070817947	0.1115934	No	
row_16	ATF4	ATF4	16206	-0.03385313227772713	0.16572188	No	
