NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MEDICUS_REFERENCE_PINK_PARKIN_MEDIATED_AUTOPHAGOSOME_FORMATION	KEGG_MEDICUS_REFERENCE_PINK_PARKIN_MEDIATED_AUTOPHAGOSOME_FORMATION	Details ...	16	0.7154208	1.7733412	0.0023364485	0.29762244	0.25	3768	tags=56%, list=19%, signal=70%	
KEGG_MEDICUS_REFERENCE_CARDIAC_TYPE_VGCC_RYR_SIGNALING	KEGG_MEDICUS_REFERENCE_CARDIAC_TYPE_VGCC_RYR_SIGNALING	Details ...	21	0.65490854	1.750759	0.0022935779	0.20416659	0.336	3048	tags=38%, list=16%, signal=45%	
KEGG_MEDICUS_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL	KEGG_MEDICUS_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL	Details ...	25	0.58790255	1.67284	0.009090909	0.3155973	0.608	3048	tags=32%, list=16%, signal=38%	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PDE11A_PDE8B_TO_ACTH_CORTISOL_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PDE11A_PDE8B_TO_ACTH_CORTISOL_SIGNALING_PATHWAY	Details ...	20	0.6262923	1.632112	0.016587678	0.35073242	0.751	999	tags=20%, list=5%, signal=21%	
KEGG_MEDICUS_REFERENCE_SKELETAL_TYPE_VGCC_RYR_SIGNALING	KEGG_MEDICUS_REFERENCE_SKELETAL_TYPE_VGCC_RYR_SIGNALING	Details ...	21	0.61593646	1.6134931	0.016509434	0.33548152	0.806	2714	tags=33%, list=14%, signal=39%	
KEGG_MEDICUS_REFERENCE_IL1_IL1R_P38_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_IL1_IL1R_P38_SIGNALING_PATHWAY	Details ...	16	0.5920061	1.4562768	0.069767445	0.9376944	0.998	1932	tags=31%, list=10%, signal=35%	
KEGG_MEDICUS_REFERENCE_CA2_CAM_CAMK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CA2_CAM_CAMK_SIGNALING_PATHWAY	Details ...	19	0.55064744	1.4169341	0.07175926	1.0	1.0	1993	tags=32%, list=10%, signal=35%	
KEGG_MEDICUS_REFERENCE_GPCR_PLCB_ITPR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GPCR_PLCB_ITPR_SIGNALING_PATHWAY	Details ...	49	0.415976	1.3462274	0.078085646	1.0	1.0	3389	tags=24%, list=17%, signal=30%	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PRKAR1A_TO_ACTH_CORTISOL_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PRKAR1A_TO_ACTH_CORTISOL_SIGNALING_PATHWAY	Details ...	18	0.5190325	1.3414223	0.10091743	1.0	1.0	999	tags=17%, list=5%, signal=18%	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_PRKACA_TO_ACTH_CORTISOL_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_PRKACA_TO_ACTH_CORTISOL_SIGNALING_PATHWAY	Details ...	17	0.52671957	1.3406258	0.108545035	1.0	1.0	999	tags=18%, list=5%, signal=19%	
