NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION	KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION	Details ...	30	-0.68199694	-1.8522154	0.0017182131	0.06375875	0.063	2554	tags=43%, list=13%, signal=50%	
KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY	KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY	Details ...	15	-0.7845805	-1.8223585	0.0018552876	0.05491064	0.106	2086	tags=53%, list=11%, signal=60%	
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING	KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING	Details ...	24	-0.69407535	-1.7814349	0.0017006802	0.06781137	0.182	2086	tags=46%, list=11%, signal=51%	
KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION	KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION	Details ...	27	-0.6760801	-1.7650661	0.0033557047	0.06545485	0.227	2086	tags=44%, list=11%, signal=50%	
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION	KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION	Details ...	18	-0.7320335	-1.7630578	0.0018315018	0.05355804	0.229	2086	tags=39%, list=11%, signal=44%	
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY	Details ...	46	-0.5936441	-1.7272768	0.0	0.07730673	0.362	2940	tags=48%, list=15%, signal=56%	
KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY	Details ...	45	-0.58679926	-1.7220951	0.001607717	0.071726725	0.383	2940	tags=47%, list=15%, signal=55%	
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_INHIBITOR	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_INHIBITOR	Details ...	27	-0.63366884	-1.6764399	0.0051107327	0.11419153	0.596	939	tags=30%, list=5%, signal=31%	
KEGG_MEDICUS_REFERENCE_P300_P21_CELL_CYCLE_G1_S	KEGG_MEDICUS_REFERENCE_P300_P21_CELL_CYCLE_G1_S	Details ...	15	-0.7329121	-1.6710131	0.005328597	0.10796655	0.622	1450	tags=33%, list=7%, signal=36%	
KEGG_MEDICUS_VARIANT_FZD7_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_FZD7_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY	Details ...	37	-0.5980395	-1.6700623	0.005059022	0.09844616	0.628	2811	tags=43%, list=14%, signal=50%	
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_ACYLATION	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_ACYLATION	Details ...	19	-0.66534364	-1.6360172	0.011131725	0.12969202	0.752	403	tags=26%, list=2%, signal=27%	
KEGG_MEDICUS_REFERENCE_HORMONE_LIKE_CYTOKINE_TO_JAK_STAT_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_HORMONE_LIKE_CYTOKINE_TO_JAK_STAT_SIGNALING_PATHWAY	Details ...	16	-0.6269161	-1.4760652	0.05313093	0.5167925	0.997	252	tags=25%, list=1%, signal=25%	
KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION	KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION	Details ...	21	-0.57455987	-1.4420016	0.073578596	0.6118012	0.999	2308	tags=29%, list=12%, signal=32%	
KEGG_MEDICUS_REFERENCE_TLR5_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TLR5_NFKB_SIGNALING_PATHWAY	Details ...	16	-0.6060738	-1.4361421	0.055555556	0.5924661	1.0	831	tags=19%, list=4%, signal=20%	
KEGG_MEDICUS_VARIANT_NOTCH_OVEREXPRESSION_TO_NOTCH_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_NOTCH_OVEREXPRESSION_TO_NOTCH_SIGNALING_PATHWAY	Details ...	16	-0.6042387	-1.4307939	0.079422385	0.57353854	1.0	3304	tags=56%, list=17%, signal=68%	
KEGG_MEDICUS_VARIANT_AMPLIFIED_MYC_TO_P27_CELL_CYCLE_G1_S	KEGG_MEDICUS_VARIANT_AMPLIFIED_MYC_TO_P27_CELL_CYCLE_G1_S	Details ...	15	-0.5999289	-1.4113699	0.06666667	0.6107715	1.0	1035	tags=27%, list=5%, signal=28%	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY	Details ...	29	-0.5264143	-1.4058118	0.06666667	0.5967556	1.0	1092	tags=21%, list=6%, signal=22%	
KEGG_MEDICUS_REFERENCE_GHRHR_PKA_GH_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GHRHR_PKA_GH_SIGNALING_PATHWAY	Details ...	28	-0.51997644	-1.401464	0.07044674	0.58016497	1.0	332	tags=11%, list=2%, signal=11%	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY	Details ...	29	-0.5264143	-1.3962619	0.06885246	0.5681183	1.0	1092	tags=21%, list=6%, signal=22%	
KEGG_MEDICUS_REFERENCE_LHCGR_GNAS_PKA_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_LHCGR_GNAS_PKA_SIGNALING_PATHWAY	Details ...	16	-0.58798593	-1.3675703	0.102564104	0.6479311	1.0	1510	tags=25%, list=8%, signal=27%	
KEGG_MEDICUS_REFERENCE_TLR1_2_4_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TLR1_2_4_NFKB_SIGNALING_PATHWAY		19	-0.56540805	-1.3597468	0.11208406	0.64677614	1.0	831	tags=21%, list=4%, signal=22%	
KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT	KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT		18	-0.55210614	-1.3545848	0.12208258	0.6357157	1.0	1404	tags=22%, list=7%, signal=24%	
KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY		90	-0.409041	-1.3272722	0.061919503	0.70813876	1.0	2665	tags=23%, list=14%, signal=27%	
KEGG_MEDICUS_REFERENCE_AGE_RAGE_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_AGE_RAGE_SIGNALING_PATHWAY		16	-0.558573	-1.3161374	0.1590106	0.72008073	1.0	831	tags=13%, list=4%, signal=13%	
KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION_AT_THE_MINUS_ENDS	KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION_AT_THE_MINUS_ENDS		19	-0.5394837	-1.30647	0.1393298	0.72707134	1.0	1945	tags=26%, list=10%, signal=29%	
KEGG_MEDICUS_REFERENCE_KINETOCHORE_FIBER_ORGANIZATION	KEGG_MEDICUS_REFERENCE_KINETOCHORE_FIBER_ORGANIZATION		22	-0.51707345	-1.3014263	0.1445993	0.71788096	1.0	3633	tags=36%, list=19%, signal=45%	
KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119	KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119		20	-0.5212027	-1.2856932	0.14821428	0.75287014	1.0	4364	tags=40%, list=22%, signal=52%	
KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY		87	-0.39162385	-1.2823839	0.09667674	0.7382027	1.0	2665	tags=25%, list=14%, signal=29%	
KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY		81	-0.40043694	-1.2748369	0.08598726	0.7411152	1.0	2665	tags=27%, list=14%, signal=31%	
KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY		16	-0.5351459	-1.2674321	0.18472469	0.7435279	1.0	2940	tags=56%, list=15%, signal=66%	
KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL	KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL		24	-0.48978525	-1.2639961	0.15436241	0.7309445	1.0	2665	tags=38%, list=14%, signal=43%	
KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER	KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER		17	-0.5358735	-1.2637534	0.17137809	0.7089516	1.0	4461	tags=53%, list=23%, signal=69%	
KEGG_MEDICUS_REFERENCE_CCR_CXCR_GNB_G_PI3K_RAC_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CCR_CXCR_GNB_G_PI3K_RAC_SIGNALING_PATHWAY		31	-0.46336442	-1.2524619	0.14705883	0.7254558	1.0	646	tags=13%, list=3%, signal=13%	
KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT	KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT		18	-0.5216014	-1.2522175	0.18563923	0.7050749	1.0	1404	tags=22%, list=7%, signal=24%	
KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA	KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA		30	-0.46189407	-1.2514775	0.1616341	0.68760747	1.0	4994	tags=47%, list=26%, signal=63%	
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_LGR_RSPO	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_LGR_RSPO		17	-0.51755565	-1.2314546	0.21090908	0.7341181	1.0	2940	tags=53%, list=15%, signal=62%	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_AGE_RAGE_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_AGE_RAGE_SIGNALING_PATHWAY		17	-0.51587224	-1.2208186	0.21319798	0.75006133	1.0	831	tags=12%, list=4%, signal=12%	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_MET_TO_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_MET_TO_RAS_ERK_SIGNALING_PATHWAY		15	-0.5202605	-1.206873	0.24144144	0.77776563	1.0	540	tags=13%, list=3%, signal=14%	
KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION	KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION		32	-0.43572927	-1.1995925	0.21391304	0.7811116	1.0	4461	tags=38%, list=23%, signal=49%	
KEGG_MEDICUS_REFERENCE_KINETOCHORE_MICROTUBULE_ATTACHMENT	KEGG_MEDICUS_REFERENCE_KINETOCHORE_MICROTUBULE_ATTACHMENT		19	-0.49514082	-1.1979536	0.22743055	0.76706547	1.0	3474	tags=32%, list=18%, signal=38%	
KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_ESPG_TO_MICROTUBULE_RHOA_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_ESPG_TO_MICROTUBULE_RHOA_SIGNALING_PATHWAY		16	-0.50634694	-1.1944606	0.25274727	0.76008755	1.0	1404	tags=19%, list=7%, signal=20%	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_DCTN1_TO_RETROGRADE_AXONAL_TRANSPORT	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_DCTN1_TO_RETROGRADE_AXONAL_TRANSPORT		17	-0.49817342	-1.1933538	0.24768947	0.7455555	1.0	1404	tags=18%, list=7%, signal=19%	
KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_PTP	KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_PTP		20	-0.48555097	-1.1877114	0.22719449	0.7461419	1.0	1719	tags=35%, list=9%, signal=38%	
KEGG_MEDICUS_REFERENCE_RTK_PLCG_ITPR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_RTK_PLCG_ITPR_SIGNALING_PATHWAY		53	-0.3935739	-1.1758275	0.19767442	0.7671088	1.0	2665	tags=26%, list=14%, signal=31%	
KEGG_MEDICUS_REFERENCE_PROMOTION_OF_MICROTUBULE_GROWTH	KEGG_MEDICUS_REFERENCE_PROMOTION_OF_MICROTUBULE_GROWTH		21	-0.46591404	-1.174145	0.23905109	0.75490904	1.0	3474	tags=29%, list=18%, signal=35%	
KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY		31	-0.4259263	-1.1715239	0.25385934	0.74701136	1.0	1283	tags=16%, list=7%, signal=17%	
KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR	KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR		26	-0.451558	-1.166276	0.23633157	0.74712235	1.0	3240	tags=38%, list=17%, signal=46%	
KEGG_MEDICUS_REFERENCE_CCR2_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CCR2_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY		31	-0.42621958	-1.1505837	0.24871355	0.77884966	1.0	1283	tags=16%, list=7%, signal=17%	
KEGG_MEDICUS_REFERENCE_FSHR_GNAS_PKA_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_FSHR_GNAS_PKA_SIGNALING_PATHWAY		16	-0.48864597	-1.1461253	0.30809858	0.77741694	1.0	1510	tags=19%, list=8%, signal=20%	
KEGG_MEDICUS_REFERENCE_BRANCHING_MICROTUBULE_NUCLEATION	KEGG_MEDICUS_REFERENCE_BRANCHING_MICROTUBULE_NUCLEATION		30	-0.42322633	-1.1383426	0.27158555	0.78592527	1.0	1894	tags=20%, list=10%, signal=22%	
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY		30	-0.42476967	-1.1368326	0.2798574	0.7747907	1.0	3853	tags=37%, list=20%, signal=46%	
KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_INNER_KINETOCHORE	KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_INNER_KINETOCHORE		15	-0.49874997	-1.1354432	0.29787233	0.7645428	1.0	4441	tags=60%, list=23%, signal=78%	
KEGG_MEDICUS_REFERENCE_MICROTUBULE_NUCLEATION	KEGG_MEDICUS_REFERENCE_MICROTUBULE_NUCLEATION		26	-0.43798998	-1.1226763	0.3125	0.78797066	1.0	1404	tags=15%, list=7%, signal=17%	
KEGG_MEDICUS_REFERENCE_GNRH_GNRHR_PLCB_PKC_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GNRH_GNRHR_PLCB_PKC_SIGNALING_PATHWAY		21	-0.4452612	-1.1143239	0.31161973	0.7981166	1.0	995	tags=14%, list=5%, signal=15%	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ANTEROGRADE_AXONAL_TRANSPORT	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ANTEROGRADE_AXONAL_TRANSPORT		24	-0.42894998	-1.112772	0.28135592	0.78857756	1.0	1404	tags=17%, list=7%, signal=18%	
KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY		19	-0.4494703	-1.0959517	0.33580706	0.8251394	1.0	2602	tags=32%, list=13%, signal=36%	
KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION	KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION		29	-0.4023149	-1.0882177	0.33511585	0.8345712	1.0	3240	tags=24%, list=17%, signal=29%	
KEGG_MEDICUS_REFERENCE_FANCONI_ANEMIA_PATHWAY	KEGG_MEDICUS_REFERENCE_FANCONI_ANEMIA_PATHWAY		17	-0.4578542	-1.0836052	0.35753176	0.8327522	1.0	4449	tags=47%, list=23%, signal=61%	
