NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASCL2	ASCL2	17	0.5218711495399475	0.017979821	Yes	
row_1	EBI3	EBI3	33	0.4756406843662262	0.034392938	Yes	
row_2	CSF2RB	CSF2RB	68	0.39479783177375793	0.04687986	Yes	
row_3	LILRA3	LILRA3	98	0.355196088552475	0.058198065	Yes	
row_4	HLA-G	HLA-G	111	0.3407754600048065	0.069891244	Yes	
row_5	PSG9	PSG9	114	0.3359873294830322	0.08193863	Yes	
row_6	HLA-DRB5	HLA-DRB5	134	0.3158223330974579	0.09236006	Yes	
row_7	GATA3	GATA3	135	0.3155768811702728	0.10377467	Yes	
row_8	HLA-DRB1	HLA-DRB1	155	0.2888084053993225	0.113218985	Yes	
row_9	CXCL13	CXCL13	169	0.27838295698165894	0.12260265	Yes	
row_10	FCGR3B	FCGR3B	178	0.2732527256011963	0.13206445	Yes	
row_11	CX3CR1	CX3CR1	184	0.2681888937950134	0.14150131	Yes	
row_12	CLC	CLC	201	0.25444096326828003	0.14986075	Yes	
row_13	IL2RB	IL2RB	216	0.24601733684539795	0.15802099	Yes	
row_14	IGLL1	IGLL1	232	0.2378259003162384	0.1658322	Yes	
row_15	PRKCB	PRKCB	262	0.22178101539611816	0.1723247	Yes	
row_16	EPHB2	EPHB2	295	0.20908741652965546	0.17819984	Yes	
row_17	CD19	CD19	309	0.19886259734630585	0.18470721	Yes	
row_18	PDCD1LG2	PDCD1LG2	311	0.19811639189720154	0.19182046	Yes	
row_19	IL6	IL6	326	0.19431431591510773	0.19811057	Yes	
row_20	TLR8	TLR8	359	0.18648694455623627	0.20316824	Yes	
row_21	UNC13D	UNC13D	360	0.1863640546798706	0.20990914	Yes	
row_22	C4BPB	C4BPB	361	0.1862146407365799	0.21664464	Yes	
row_23	JCHAIN	JCHAIN	368	0.18346624076366425	0.22296429	Yes	
row_24	FCMR	FCMR	371	0.1830279380083084	0.22947904	Yes	
row_25	SIGLEC10	SIGLEC10	381	0.18054728209972382	0.23553489	Yes	
row_26	GAPT	GAPT	417	0.17367307841777802	0.23997086	Yes	
row_27	SLAMF6	SLAMF6	424	0.17333462834358215	0.24592404	Yes	
row_28	NOD2	NOD2	434	0.17130976915359497	0.25164574	Yes	
row_29	IL7R	IL7R	437	0.1701515167951584	0.25769475	Yes	
row_30	STAT4	STAT4	456	0.16672192513942719	0.26277587	Yes	
row_31	BATF	BATF	467	0.16455867886543274	0.26820067	Yes	
row_32	SAMSN1	SAMSN1	474	0.1620229333639145	0.2737447	Yes	
