NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DRB5	HLA-DRB5	134	0.3158223330974579	0.117226675	Yes	
row_1	HLA-DRB1	HLA-DRB1	155	0.2888084053993225	0.22971454	Yes	
row_2	THBS1	THBS1	448	0.16753260791301727	0.28050578	Yes	
row_3	CTSS	CTSS	535	0.15105080604553223	0.3354427	Yes	
row_4	PYCARD	PYCARD	780	0.12232936918735504	0.3709418	Yes	
row_5	HLA-DOA	HLA-DOA	794	0.12141101062297821	0.41799328	Yes	
row_6	HLA-DPB1	HLA-DPB1	828	0.11737644672393799	0.46242747	Yes	
row_7	FCER1G	FCER1G	856	0.11437288671731949	0.5059905	Yes	
row_8	HLA-DRA	HLA-DRA	1000	0.10388827323913574	0.53945005	Yes	
row_9	HLA-DPA1	HLA-DPA1	1125	0.09584903717041016	0.5707295	Yes	
row_10	CTSV	CTSV	1174	0.09283290803432465	0.604743	Yes	
row_11	HLA-DRB3	HLA-DRB3	1220	0.09015842527151108	0.63786	Yes	
row_12	CD74	CD74	1226	0.09000362455844879	0.67297906	Yes	
row_13	HLA-DOB	HLA-DOB	1530	0.07483121007680893	0.6867657	Yes	
row_14	HLA-DMA	HLA-DMA	1592	0.07241417467594147	0.71208286	Yes	
row_15	HLA-DMB	HLA-DMB	1733	0.06749985367059708	0.73139423	Yes	
row_16	UNC93B1	UNC93B1	1838	0.06385985016822815	0.7511315	Yes	
row_17	TREM2	TREM2	2556	0.045167434960603714	0.7319072	Yes	
row_18	FCGR2B	FCGR2B	2685	0.042152419686317444	0.74187434	Yes	
row_19	CTSF	CTSF	2687	0.04211527854204178	0.75837666	Yes	
row_20	DNM2	DNM2	2854	0.03921717405319214	0.76523024	Yes	
row_21	HLA-DRB4	HLA-DRB4	2908	0.03807135671377182	0.77746123	Yes	
row_22	IFI30	IFI30	4876	0.0160610880702734	0.6823302	No	
row_23	LGMN	LGMN	5548	0.01168065145611763	0.6523159	No	
row_24	CTSE	CTSE	5617	0.011233152821660042	0.6532243	No	
row_25	TRAF6	TRAF6	5699	0.010804172605276108	0.6532936	No	
row_26	PIKFYVE	PIKFYVE	10588	-0.006842473056167364	0.4038944	No	
row_27	B2M	B2M	11132	-0.008914320729672909	0.3793941	No	
row_28	CTSL	CTSL	12140	-0.012845362536609173	0.33250916	No	
row_29	CTSD	CTSD	14154	-0.024070195853710175	0.2381538	No	
row_30	HLA-DQA2	HLA-DQA2	14325	-0.025341974571347237	0.23934734	No	
row_31	HLA-DQB1	HLA-DQB1	14587	-0.027505621314048767	0.23669818	No	
row_32	ARL8B	ARL8B	15152	-0.032070010900497437	0.2202165	No	
