NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-G	HLA-G	111	0.3407754600048065	0.075408675	Yes	
row_1	CX3CR1	CX3CR1	184	0.2681888937950134	0.13554776	Yes	
row_2	NCF1	NCF1	220	0.24228516221046448	0.1914292	Yes	
row_3	MNDA	MNDA	253	0.22631457448005676	0.24366292	Yes	
row_4	CLEC5A	CLEC5A	273	0.21937376260757446	0.29491514	Yes	
row_5	NCF2	NCF2	280	0.2168358713388443	0.34623417	Yes	
row_6	CXCL9	CXCL9	355	0.18728871643543243	0.3870076	Yes	
row_7	LBP	LBP	356	0.18701395392417908	0.43153575	Yes	
row_8	FCMR	FCMR	371	0.1830279380083084	0.47439212	Yes	
row_9	C5AR1	C5AR1	530	0.15308693051338196	0.5026857	Yes	
row_10	TYROBP	TYROBP	837	0.1159641444683075	0.5145	Yes	
row_11	SH2D1A	SH2D1A	882	0.11207909882068634	0.53891474	Yes	
row_12	PRF1	PRF1	887	0.11132920533418655	0.56521577	Yes	
row_13	LY96	LY96	1150	0.09466710686683655	0.57423073	Yes	
row_14	CXCR2	CXCR2	1164	0.09344079345464706	0.59580797	Yes	
row_15	LILRB2	LILRB2	1367	0.08207232505083084	0.60492146	Yes	
row_16	KLRG1	KLRG1	1371	0.08184826374053955	0.6242547	Yes	
row_17	BCL10	BCL10	1433	0.07891961932182312	0.6398965	Yes	
row_18	RAB23	RAB23	1599	0.07207643240690231	0.6485401	Yes	
row_19	PTK2B	PTK2B	1628	0.07069224119186401	0.6639265	Yes	
row_20	CCR2	CCR2	1871	0.06262771040201187	0.6663453	Yes	
row_21	TRAT1	TRAT1	1875	0.0624740868806839	0.68106556	Yes	
row_22	KIR2DL4	KIR2DL4	1985	0.05945466458797455	0.6895948	Yes	
row_23	KLRC2	KLRC2	2031	0.058249350637197495	0.70114094	Yes	
row_24	KIR3DL2	KIR3DL2	2167	0.053604040294885635	0.7069349	Yes	
row_25	ITGB1	ITGB1	2206	0.05282575637102127	0.71755105	Yes	
row_26	ITK	ITK	2440	0.047318268567323685	0.7167893	Yes	
row_27	NCR1	NCR1	2533	0.04562520608305931	0.7229033	Yes	
row_28	CCR3	CCR3	2756	0.040801819413900375	0.72115785	Yes	
row_29	IL33	IL33	2789	0.04018816724419594	0.7290747	Yes	
row_30	GNLY	GNLY	2960	0.03699487820267677	0.7291072	Yes	
row_31	CD300C	CD300C	2993	0.036638293415308	0.7361789	Yes	
row_32	ADORA2A	ADORA2A	3395	0.03006642870604992	0.72263664	No	
row_33	LGALS3BP	LGALS3BP	3631	0.027294345200061798	0.71700394	No	
row_34	CCR5	CCR5	3771	0.025772085413336754	0.7159646	No	
row_35	ZNF148	ZNF148	3875	0.024868905544281006	0.7165687	No	
row_36	LSP1	LSP1	3958	0.0240174513310194	0.7180541	No	
row_37	VEZF1	VEZF1	4119	0.022399963811039925	0.7151278	No	
row_38	BECN1	BECN1	4296	0.020698552951216698	0.7109704	No	
row_39	CCR6	CCR6	5546	0.011686434969305992	0.6492751	No	
row_40	KIR2DS3	KIR2DS3	5572	0.011488527059555054	0.65071994	No	
row_41	TCIRG1	TCIRG1	6770	0.006200801115483046	0.59040296	No	
row_42	NCR2	NCR2	8772	-7.0779217639938E-4	0.48727274	No	
row_43	CCR9	CCR9	9274	-0.0023783219512552023	0.46197563	No	
row_44	UMOD	UMOD	9542	-0.003167780116200447	0.4489464	No	
row_45	SPN	SPN	12217	-0.013155586086213589	0.31403735	No	
row_46	KLRC3	KLRC3	13134	-0.01762661337852478	0.27094707	No	
row_47	CD5L	CD5L	14571	-0.027359014376997948	0.20332985	No	
row_48	RELA	RELA	14761	-0.02872779779136181	0.20041311	No	
row_49	FOSL1	FOSL1	14768	-0.028792234137654305	0.20695882	No	
row_50	DCDC2	DCDC2	17735	-0.06693015992641449	0.069779456	No	
row_51	IL1RL2	IL1RL2	17951	-0.07248147577047348	0.075938284	No	
