NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASCL2	ASCL2	17	0.5218711495399475	0.028872414	Yes	
row_1	LILRA2	LILRA2	91	0.3614713251590729	0.045669433	Yes	
row_2	DNASE1L3	DNASE1L3	106	0.3472302556037903	0.06473928	Yes	
row_3	GATA3	GATA3	135	0.3155768811702728	0.08127196	Yes	
row_4	PRAM1	PRAM1	148	0.2972685992717743	0.09759717	Yes	
row_5	HLA-DRB1	HLA-DRB1	155	0.2888084053993225	0.113753624	Yes	
row_6	CX3CR1	CX3CR1	184	0.2681888937950134	0.12758386	Yes	
row_7	CD19	CD19	309	0.19886259734630585	0.13244095	Yes	
row_8	IL6	IL6	326	0.19431431591510773	0.14268573	Yes	
row_9	LBP	LBP	356	0.18701395392417908	0.15183443	Yes	
row_10	UNC13D	UNC13D	360	0.1863640546798706	0.16230555	Yes	
row_11	PGLYRP1	PGLYRP1	369	0.18340753018856049	0.17234662	Yes	
row_12	CBL	CBL	405	0.1762714982032776	0.18056898	Yes	
row_13	GAPT	GAPT	417	0.17367307841777802	0.18989806	Yes	
row_14	SLAMF6	SLAMF6	424	0.17333462834358215	0.19946927	Yes	
row_15	STAT4	STAT4	456	0.16672192513942719	0.20735618	Yes	
row_16	BATF	BATF	467	0.16455867886543274	0.21621777	Yes	
row_17	IL27RA	IL27RA	478	0.16122111678123474	0.22488903	Yes	
row_18	STXBP2	STXBP2	490	0.15912355482578278	0.23338838	Yes	
row_19	RASGRP1	RASGRP1	532	0.15258431434631348	0.23994617	Yes	
row_20	SH2D1B	SH2D1B	563	0.14651624858379364	0.24673308	Yes	
row_21	DLL1	DLL1	621	0.13994379341602325	0.25173342	Yes	
row_22	SPI1	SPI1	627	0.139492467045784	0.25942695	Yes	
row_23	ITGAM	ITGAM	630	0.13864682614803314	0.26722914	Yes	
row_24	FGL2	FGL2	647	0.13659000396728516	0.27418202	Yes	
row_25	SYK	SYK	652	0.1359904259443283	0.28172812	Yes	
row_26	FGR	FGR	710	0.1295594722032547	0.28613627	Yes	
row_27	CORO1A	CORO1A	715	0.12893307209014893	0.29327992	Yes	
row_28	GATA2	GATA2	723	0.12812690436840057	0.30022073	Yes	
row_29	GPR183	GPR183	724	0.12789392471313477	0.30751428	Yes	
row_30	RAC2	RAC2	735	0.12714168429374695	0.31424206	Yes	
row_31	BTK	BTK	750	0.1256890445947647	0.32067782	Yes	
row_32	PIK3CG	PIK3CG	753	0.12506315112113953	0.32770535	Yes	
row_33	TNFSF4	TNFSF4	769	0.12356238812208176	0.33396757	Yes	
row_34	PYCARD	PYCARD	780	0.12232936918735504	0.3404209	Yes	
row_35	ITGB2	ITGB2	786	0.12200488150119781	0.34711716	Yes	
row_36	MYB	MYB	787	0.12187421321868896	0.35406741	Yes	
row_37	PIK3CD	PIK3CD	789	0.12175723165273666	0.36095873	Yes	
row_38	IRF8	IRF8	815	0.11858905106782913	0.36641443	Yes	
row_39	ENPP3	ENPP3	836	0.1161942332983017	0.371995	Yes	
row_40	TYROBP	TYROBP	837	0.1159641444683075	0.37860823	Yes	
row_41	CD300A	CD300A	838	0.1159019023180008	0.38521788	Yes	
row_42	ANXA3	ANXA3	839	0.11587552726268768	0.39182603	Yes	
row_43	CCL3	CCL3	842	0.11551102250814438	0.39830884	Yes	
row_44	BCL6	BCL6	845	0.11507319658994675	0.40476665	Yes	
row_45	FCER1G	FCER1G	856	0.11437288671731949	0.41076624	Yes	
row_46	CLNK	CLNK	867	0.1132933720946312	0.41670427	Yes	
row_47	PTGDR	PTGDR	917	0.1092863529920578	0.42037457	Yes	
row_48	PTGDS	PTGDS	918	0.1092534214258194	0.42660508	Yes	
row_49	LAT2	LAT2	952	0.10712326318025589	0.43098864	Yes	
row_50	PTGER4	PTGER4	964	0.10618512332439423	0.436469	Yes	
row_51	DOCK2	DOCK2	981	0.10507424175739288	0.44162458	Yes	
row_52	HLA-DRA	HLA-DRA	1000	0.10388827323913574	0.44660795	Yes	
row_53	DOCK10	DOCK10	1015	0.10289041697978973	0.45174357	Yes	
row_54	CR1	CR1	1063	0.0992097407579422	0.45494378	Yes	
row_55	FES	FES	1120	0.09625369310379028	0.45750484	Yes	
row_56	PLCL2	PLCL2	1128	0.09579723328351974	0.46260196	Yes	
row_57	NLRP3	NLRP3	1133	0.09547854959964752	0.46783778	Yes	
row_58	SLAMF1	SLAMF1	1167	0.0933186262845993	0.47143406	Yes	
row_59	IL6R	IL6R	1177	0.09267143905162811	0.47624835	Yes	
row_60	GRP	GRP	1188	0.09205807000398636	0.48097536	Yes	
row_61	CD74	CD74	1226	0.09000362455844879	0.48417345	Yes	
row_62	FCGR3A	FCGR3A	1249	0.08842006325721741	0.48806557	Yes	
row_63	GATA1	GATA1	1318	0.0845714583992958	0.48933294	Yes	
row_64	ADORA2B	ADORA2B	1322	0.08436328172683716	0.49398717	Yes	
row_65	DOCK11	DOCK11	1365	0.0822247713804245	0.4964802	Yes	
row_66	ITGAL	ITGAL	1427	0.07918870449066162	0.49780664	Yes	
row_67	VAMP8	VAMP8	1472	0.07711690664291382	0.4999038	Yes	
row_68	IFNG	IFNG	1473	0.0771113708615303	0.5043013	Yes	
row_69	SEMA4A	SEMA4A	1478	0.07694905251264572	0.5084804	Yes	
row_70	ATP7A	ATP7A	1491	0.07643025368452072	0.5122116	Yes	
row_71	CD86	CD86	1507	0.07568219304084778	0.5157433	Yes	
row_72	CD40	CD40	1540	0.07446616142988205	0.5183168	Yes	
row_73	PTK2B	PTK2B	1628	0.07069224119186401	0.5177992	Yes	
row_74	CD80	CD80	1637	0.07057611644268036	0.52140576	Yes	
row_75	NKG7	NKG7	1651	0.07001285254955292	0.5247187	Yes	
row_76	NMI	NMI	1684	0.06878234446048737	0.526968	Yes	
row_77	LEF1	LEF1	1687	0.06873048096895218	0.530783	Yes	
row_78	CLEC4D	CLEC4D	1700	0.0683031752705574	0.53405076	Yes	
row_79	ITM2A	ITM2A	1729	0.06756407767534256	0.5364398	Yes	
row_80	HLA-DMB	HLA-DMB	1733	0.06749985367059708	0.5401323	Yes	
row_81	CD1C	CD1C	1757	0.06693581491708755	0.5427469	Yes	
row_82	CD177	CD177	1760	0.06680786609649658	0.5464522	Yes	
row_83	CCL19	CCL19	1763	0.06675305217504501	0.55015445	Yes	
row_84	CD244	CD244	1765	0.06664473563432693	0.5539028	Yes	
row_85	ZFPM1	ZFPM1	1812	0.06488657742738724	0.5551979	Yes	
row_86	APBB1IP	APBB1IP	1819	0.06466131657361984	0.5585717	Yes	
row_87	MFNG	MFNG	1824	0.0645185336470604	0.56204194	Yes	
row_88	CCR2	CCR2	1871	0.06262771040201187	0.5632082	Yes	
row_89	BCL3	BCL3	1937	0.060377832502126694	0.56325275	Yes	
row_90	JAK1	JAK1	1955	0.05998871475458145	0.56578493	Yes	
row_91	PTPN6	PTPN6	2001	0.05910864099860191	0.56680286	Yes	
row_92	LY9	LY9	2017	0.05864463746547699	0.5693629	Yes	
row_93	KLRC2	KLRC2	2031	0.058249350637197495	0.57200503	Yes	
row_94	PLCG2	PLCG2	2092	0.05601544678211212	0.5720622	Yes	
row_95	PTAFR	PTAFR	2150	0.054091423749923706	0.57216656	Yes	
row_96	TNF	TNF	2156	0.053836192935705185	0.5749753	Yes	
row_97	SLC15A4	SLC15A4	2254	0.05149022117257118	0.5728398	Yes	
row_98	C17orf99	C17orf99	2257	0.05145089328289032	0.57566935	Yes	
row_99	SWAP70	SWAP70	2298	0.05052787438035011	0.57645935	Yes	
row_100	FCER1A	FCER1A	2329	0.049920085817575455	0.57773757	Yes	
row_101	F2RL1	F2RL1	2335	0.049739591777324677	0.58031267	Yes	
row_102	NOTCH2	NOTCH2	2350	0.049243368208408356	0.58238894	Yes	
row_103	KIT	KIT	2499	0.04625518620014191	0.5772882	Yes	
row_104	IL12RB1	IL12RB1	2553	0.04523741081357002	0.57709676	Yes	
row_105	TREM2	TREM2	2556	0.045167434960603714	0.57956797	Yes	
row_106	SNAP23	SNAP23	2569	0.04488760232925415	0.5815004	Yes	
row_107	IFNA8	IFNA8	2589	0.04456568881869316	0.5830484	Yes	
row_108	LOXL3	LOXL3	2625	0.043789640069007874	0.5837156	Yes	
row_109	FCGR2B	FCGR2B	2685	0.042152419686317444	0.5830345	Yes	
