NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCR6	CXCR6	15	0.5300582647323608	0.02457592	Yes	
row_1	JAML	JAML	146	0.30098357796669006	0.032178532	Yes	
row_2	PPBP	PPBP	157	0.2863685190677643	0.045356736	Yes	
row_3	CXCR1	CXCR1	165	0.28151410818099976	0.05845955	Yes	
row_4	CXCL13	CXCL13	169	0.27838295698165894	0.07162172	Yes	
row_5	ARHGEF16	ARHGEF16	174	0.2755542993545532	0.08459627	Yes	
row_6	CX3CR1	CX3CR1	184	0.2681888937950134	0.09695697	Yes	
row_7	PGF	PGF	189	0.26579606533050537	0.10946464	Yes	
row_8	FFAR2	FFAR2	192	0.26224568486213684	0.12190702	Yes	
row_9	S100A12	S100A12	202	0.2541860342025757	0.13359776	Yes	
row_10	SCG2	SCG2	234	0.2372158169746399	0.1433262	Yes	
row_11	ADAM8	ADAM8	261	0.22353599965572357	0.15266158	Yes	
row_12	EPHB1	EPHB1	278	0.2169240415096283	0.1622035	Yes	
row_13	FPR2	FPR2	286	0.21284402906894684	0.17202085	Yes	
row_14	CH25H	CH25H	313	0.19791017472743988	0.18013018	Yes	
row_15	IL6	IL6	326	0.19431431591510773	0.18879953	Yes	
row_16	S100A8	S100A8	351	0.18882274627685547	0.19657867	Yes	
row_17	S100A9	S100A9	354	0.18732379376888275	0.20543645	Yes	
row_18	CXCL9	CXCL9	355	0.18728871643543243	0.21439716	Yes	
row_19	LBP	LBP	356	0.18701395392417908	0.22334471	Yes	
row_20	RARRES2	RARRES2	370	0.18316379189491272	0.23142828	Yes	
row_21	BIN2	BIN2	400	0.17679570615291595	0.23837054	Yes	
row_22	RAC3	RAC3	407	0.17616724967956543	0.2464854	Yes	
row_23	CXCL5	CXCL5	409	0.17603735625743866	0.25485548	Yes	
row_24	PREX1	PREX1	413	0.1747867614030838	0.26306117	Yes	
row_25	NOD2	NOD2	434	0.17130976915359497	0.27021158	Yes	
row_26	CXCL12	CXCL12	435	0.17120639979839325	0.2784028	Yes	
row_27	THBS1	THBS1	448	0.16753260791301727	0.28579083	Yes	
row_28	TGFB2	TGFB2	520	0.15425793826580048	0.28945857	Yes	
row_29	TIAM1	TIAM1	524	0.15406617522239685	0.29667288	Yes	
row_30	PF4V1	PF4V1	529	0.15309691429138184	0.30378854	Yes	
row_31	C5AR1	C5AR1	530	0.15308693051338196	0.31111288	Yes	
row_32	LOX	LOX	534	0.15114012360572815	0.3181872	Yes	
row_33	VEGFC	VEGFC	631	0.138625830411911	0.3197998	Yes	
row_34	CCR1	CCR1	639	0.13755130767822266	0.32601482	Yes	
row_35	GPSM3	GPSM3	648	0.13650912046432495	0.3321277	Yes	
row_36	SYK	SYK	652	0.1359904259443283	0.33847716	Yes	
row_37	CCL14	CCL14	665	0.13450828194618225	0.34428516	Yes	
row_38	CCL5	CCL5	671	0.1337711066007614	0.35042387	Yes	
row_39	CTSG	CTSG	672	0.13369500637054443	0.35682043	Yes	
row_40	VAV1	VAV1	687	0.13210347294807434	0.36240876	Yes	
row_41	CORO1A	CORO1A	715	0.12893307209014893	0.36716563	Yes	
row_42	GPR183	GPR183	724	0.12789392471313477	0.3728663	Yes	
row_43	RAC2	RAC2	735	0.12714168429374695	0.37842643	Yes	
row_44	PIK3CG	PIK3CG	753	0.12506315112113953	0.38352105	Yes	
row_45	ITGB2	ITGB2	786	0.12200488150119781	0.387685	Yes	
row_46	PIK3CD	PIK3CD	789	0.12175723165273666	0.3934058	Yes	
row_47	CCL3	CCL3	842	0.11551102250814438	0.39621326	Yes	
row_48	CXCL16	CXCL16	843	0.11550761014223099	0.40173963	Yes	
row_49	FCER1G	FCER1G	856	0.11437288671731949	0.40658423	Yes	
row_50	C3AR1	C3AR1	871	0.11294931173324585	0.41125616	Yes	
row_51	AIF1	AIF1	873	0.11292823404073715	0.41660684	Yes	
row_52	NEDD9	NEDD9	916	0.10941281914710999	0.41964543	Yes	
row_53	CAMK1D	CAMK1D	922	0.10895894467830658	0.42459705	Yes	
row_54	TMSB4X	TMSB4X	961	0.10640550404787064	0.4277009	Yes	
row_55	DEFA1	DEFA1	973	0.10551182925701141	0.43217385	Yes	
row_56	CXCL6	CXCL6	993	0.1042654737830162	0.43616885	Yes	
row_57	PERP	PERP	1010	0.10322887450456619	0.44027114	Yes	
row_58	CCL3L3	CCL3L3	1017	0.10254067182540894	0.44486338	Yes	
row_59	TPBG	TPBG	1029	0.10132770985364914	0.44913614	Yes	
row_60	SLAMF8	SLAMF8	1052	0.09988018870353699	0.45276445	Yes	
row_61	SERPINE1	SERPINE1	1075	0.09827707707881927	0.45631605	Yes	
row_62	SLIT2	SLIT2	1077	0.098186194896698	0.46096143	Yes	
row_63	ACKR3	ACKR3	1094	0.097503662109375	0.46478978	Yes	
row_64	ARRB2	ARRB2	1107	0.09678078442811966	0.4687927	Yes	
row_65	IL17RA	IL17RA	1155	0.0940338522195816	0.47083405	Yes	
row_66	CXCR2	CXCR2	1164	0.09344079345464706	0.47488633	Yes	
row_67	SLAMF1	SLAMF1	1167	0.0933186262845993	0.4792465	Yes	
row_68	CXCL8	CXCL8	1169	0.09313951432704926	0.48365042	Yes	
row_69	IL6R	IL6R	1177	0.09267143905162811	0.4877182	Yes	
row_70	LYST	LYST	1187	0.09210937470197678	0.4916545	Yes	
row_71	MMP28	MMP28	1190	0.09195353835821152	0.49594936	Yes	
row_72	CD74	CD74	1226	0.09000362455844879	0.49842536	Yes	
row_73	CXCR4	CXCR4	1236	0.08905178308486938	0.5022154	Yes	
row_74	VCAM1	VCAM1	1346	0.08344150334596634	0.50050795	Yes	
row_75	PRKCQ	PRKCQ	1362	0.08239687234163284	0.5036658	Yes	
row_76	DEFA1B	DEFA1B	1368	0.08202239871025085	0.5073286	Yes	
row_77	VAV3	VAV3	1385	0.08127867430448532	0.51038074	Yes	
row_78	ANO6	ANO6	1408	0.07969871908426285	0.51304346	Yes	
row_79	CCL13	CCL13	1411	0.07959263026714325	0.51674694	Yes	
row_80	GPR18	GPR18	1423	0.0793195590376854	0.5199667	Yes	
row_81	IL16	IL16	1457	0.07772976160049438	0.5219601	Yes	
row_82	RIN3	RIN3	1539	0.07448027282953262	0.52128804	Yes	
row_83	PDGFD	PDGFD	1541	0.07444676011800766	0.52479756	Yes	
row_84	PRKCD	PRKCD	1578	0.07285360991954803	0.52640074	Yes	
row_85	CCL21	CCL21	1597	0.07210978865623474	0.52890956	Yes	
row_86	CSF1R	CSF1R	1598	0.07209634780883789	0.532359	Yes	
row_87	GREM1	GREM1	1623	0.0708056315779686	0.53449166	Yes	
row_88	NRP1	NRP1	1625	0.0707840770483017	0.537826	Yes	
row_89	PTK2B	PTK2B	1628	0.07069224119186401	0.5411036	Yes	
row_90	PTPRO	PTPRO	1647	0.0700940489768982	0.543516	Yes	
row_91	LEF1	LEF1	1687	0.06873048096895218	0.54476506	Yes	
row_92	CCL19	CCL19	1763	0.06675305217504501	0.54403704	Yes	
row_93	NOTCH1	NOTCH1	1843	0.06373537331819534	0.54295546	Yes	
row_94	CCR2	CCR2	1871	0.06262771040201187	0.54454	Yes	
row_95	EDN2	EDN2	1872	0.06255466490983963	0.5475329	Yes	
row_96	DPP4	DPP4	1886	0.06218165159225464	0.5498282	Yes	
row_97	FOLR2	FOLR2	1887	0.0621277391910553	0.5528006	Yes	
row_98	CSF3R	CSF3R	1918	0.06117105111479759	0.55415857	Yes	
row_99	SLC12A2	SLC12A2	1940	0.06031234562397003	0.5559461	Yes	
row_100	MAPK3	MAPK3	1947	0.06014203652739525	0.5585098	Yes	
row_101	CCL2	CCL2	1967	0.0597388781607151	0.56037444	Yes	
row_102	CMKLR1	CMKLR1	2037	0.058092571794986725	0.5595458	Yes	
row_103	STK39	STK39	2106	0.05539742112159729	0.55864054	Yes	
row_104	CCL23	CCL23	2131	0.05466905236244202	0.5600012	Yes	
row_105	S1PR1	S1PR1	2275	0.05096018686890602	0.5549618	Yes	
row_106	SWAP70	SWAP70	2298	0.05052787438035011	0.5562289	Yes	
row_107	DAPK2	DAPK2	2302	0.05044468119740486	0.5584855	Yes	
row_108	CKLF	CKLF	2307	0.05033256486058235	0.5606845	Yes	
row_109	STAP1	STAP1	2308	0.05032648146152496	0.56309235	Yes	
row_110	F2RL1	F2RL1	2335	0.049739591777324677	0.56411254	Yes	
row_111	GAS6	GAS6	2362	0.04902229458093643	0.5650984	Yes	
row_112	XCL1	XCL1	2365	0.04896342754364014	0.56733644	Yes	
row_113	PTPRJ	PTPRJ	2367	0.04894667863845825	0.569626	Yes	
row_114	CCL18	CCL18	2369	0.048895977437496185	0.5719131	Yes	
row_115	CXCL2	CXCL2	2373	0.04883662983775139	0.5740928	Yes	
row_116	PDGFB	PDGFB	2387	0.0484355129301548	0.5757304	Yes	
row_117	KIT	KIT	2499	0.04625518620014191	0.5721392	No	
row_118	ALOX5	ALOX5	2532	0.04563460499048233	0.57264924	No	
row_119	MPP1	MPP1	2640	0.043256502598524094	0.56912374	No	
row_120	PTN	PTN	2729	0.041310958564281464	0.5664987	No	
row_121	CCR3	CCR3	2756	0.040801819413900375	0.5670913	No	
row_122	CCR7	CCR7	2796	0.039999451488256454	0.56696576	No	
row_123	PDGFRA	PDGFRA	2827	0.03964756429195404	0.56729394	No	
row_124	FGF1	FGF1	2846	0.039344578981399536	0.5682351	No	
row_125	WNK1	WNK1	2929	0.03767119348049164	0.56574965	No	
row_126	FGFR1	FGFR1	2955	0.0370902381837368	0.56621695	No	
row_127	PADI2	PADI2	2978	0.03682786598801613	0.5668286	No	
row_128	RHOG	RHOG	2983	0.036753859370946884	0.5683779	No	
row_129	SMOC2	SMOC2	3035	0.03595650568604469	0.5674314	No	
row_130	RAC1	RAC1	3136	0.03419311344623566	0.5638383	No	
row_131	AZU1	AZU1	3287	0.03177545964717865	0.557515	No	
row_132	CXCR3	CXCR3	3397	0.030050398781895638	0.5532531	No	
row_133	DNM1L	DNM1L	3444	0.029478108510375023	0.55225813	No	
row_134	AKIRIN1	AKIRIN1	3498	0.02880636416375637	0.550865	No	
row_135	NINJ1	NINJ1	3539	0.028265701606869698	0.5501257	No	
row_136	CCL17	CCL17	3580	0.027889544144272804	0.54936844	No	
row_137	S100A14	S100A14	3720	0.026273488998413086	0.54335713	No	
row_138	CCR5	CCR5	3771	0.025772085413336754	0.5419757	No	
row_139	MAPK1	MAPK1	3932	0.024344583973288536	0.53477395	No	
row_140	C5AR2	C5AR2	3937	0.024309806525707245	0.5357279	No	
row_141	CCRL2	CCRL2	3949	0.024154743179678917	0.53630835	No	
row_142	VEGFA	VEGFA	3999	0.02365737035870552	0.534878	No	
row_143	TMEM102	TMEM102	4019	0.023514635860919952	0.53500956	No	
row_144	SLC8B1	SLC8B1	4032	0.023413388058543205	0.53550225	No	
row_145	WNT5A	WNT5A	4088	0.022768501192331314	0.5337156	No	
row_146	GAB1	GAB1	4239	0.021216165274381638	0.5268872	No	
row_147	ELMO2	ELMO2	4382	0.01989264227449894	0.5204137	No	
row_148	PLXNB3	PLXNB3	4507	0.018885783851146698	0.5148333	No	
row_149	FGF4	FGF4	4520	0.01882937178015709	0.5151067	No	
row_150	TRPM4	TRPM4	4535	0.018723756074905396	0.5152704	No	
row_151	CCL11	CCL11	4542	0.01868208684027195	0.5158505	No	
row_152	PARVA	PARVA	4654	0.01769128441810608	0.5108927	No	
row_153	MSTN	MSTN	4790	0.01678362488746643	0.5046365	No	
row_154	HMGB1	HMGB1	5051	0.014707732014358044	0.4917447	No	
row_155	CRKL	CRKL	5302	0.013028246350586414	0.47929546	No	
row_156	SAA1	SAA1	5343	0.012779079377651215	0.47781524	No	
row_157	TNFAIP6	TNFAIP6	5523	0.01181186642497778	0.46902043	No	
row_158	CCR6	CCR6	5546	0.011686434969305992	0.46842915	No	
row_159	LGMN	LGMN	5548	0.01168065145611763	0.46893573	No	
row_160	DEFB104A	DEFB104A	5640	0.011126450262963772	0.46470964	No	
row_161	NBL1	NBL1	5867	0.010004308074712753	0.4533707	No	
row_162	LYN	LYN	5977	0.009533155709505081	0.44812715	No	
row_163	MIF	MIF	6105	0.009044422768056393	0.441919	No	
row_164	PLA2G1B	PLA2G1B	6121	0.008958066813647747	0.44156322	No	
row_165	CCL24	CCL24	6213	0.00859243143349886	0.43721592	No	
row_166	CXCR5	CXCR5	6296	0.008180854842066765	0.4333195	No	
row_167	PF4	PF4	6537	0.007176065817475319	0.42111316	No	
row_168	RPS19	RPS19	6810	0.006011373363435268	0.4071778	No	
row_169	ANXA1	ANXA1	6826	0.005944819189608097	0.40667787	No	
row_170	C5	C5	6852	0.005853794980794191	0.4056507	No	
row_171	RPL13A	RPL13A	6889	0.005677135661244392	0.40403986	No	
row_172	IL34	IL34	6934	0.005511345341801643	0.40200278	No	
row_173	EDN3	EDN3	6946	0.005468057934194803	0.4016892	No	
row_174	CCL27	CCL27	6990	0.0052992976270616055	0.39969426	No	
row_175	ARHGEF5	ARHGEF5	7080	0.004945211112499237	0.39527702	No	
row_176	DEFB114	DEFB114	7470	0.0034902228508144617	0.3751031	No	
row_177	DEFB103B	DEFB103B	7629	0.002951035974547267	0.3669824	No	
row_178	BSG	BSG	7704	0.0026915790513157845	0.36324167	No	
row_179	XCR1	XCR1	7747	0.0025834159459918737	0.3611691	No	
row_180	CCL1	CCL1	8046	0.0015913972165435553	0.3456627	No	
