NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	YOD1	YOD1	1546	0.07406725734472275	-0.062318493	No	
row_1	RNF175	RNF175	2300	0.05047506466507912	-0.089230016	No	
row_2	RCN3	RCN3	2327	0.04995690658688545	-0.078635976	No	
row_3	DNAJB2	DNAJB2	2476	0.04656318947672844	-0.075167745	No	
row_4	FAM8A1	FAM8A1	2541	0.04545122757554054	-0.067617446	No	
row_5	CAV1	CAV1	2823	0.03968936949968338	-0.07267613	No	
row_6	FBXO6	FBXO6	3074	0.035302937030792236	-0.07717862	No	
row_7	UBXN6	UBXN6	3138	0.03419087454676628	-0.07226781	No	
row_8	UBQLN2	UBQLN2	3333	0.03098471462726593	-0.07490381	No	
row_9	FAF1	FAF1	3845	0.025050504133105278	-0.09536597	No	
row_10	MAN1A1	MAN1A1	4069	0.022948017343878746	-0.10142379	No	
row_11	BRSK2	BRSK2	4203	0.021475572139024734	-0.103175156	No	
row_12	ANKZF1	ANKZF1	4742	0.017089717090129852	-0.12693746	No	
row_13	DNAJC10	DNAJC10	5140	0.014065230265259743	-0.14412451	No	
row_14	ATXN3	ATXN3	5352	0.012712962925434113	-0.15200742	No	
row_15	TMX1	TMX1	5439	0.012207642197608948	-0.1535411	No	
row_16	OS9	OS9	5582	0.011447452008724213	-0.15815504	No	
row_17	FBXO2	FBXO2	5843	0.010112683288753033	-0.16919565	No	
row_18	RNF121	RNF121	6910	0.0055929068475961685	-0.22303492	No	
row_19	UGGT2	UGGT2	7034	0.005132768303155899	-0.22817464	No	
row_20	UBXN1	UBXN1	7757	0.00255664624273777	-0.26493418	No	
row_21	CALR3	CALR3	8791	-7.70095968618989E-4	-0.31821805	No	
row_22	FBXO44	FBXO44	9110	-0.0018323617987334728	-0.33423975	No	
row_23	CLGN	CLGN	9288	-0.002411816967651248	-0.3428248	No	
row_24	CANX	CANX	9335	-0.0025674370117485523	-0.34459212	No	
row_25	UBE4B	UBE4B	9399	-0.00275944615714252	-0.34719348	No	
row_26	FBXO27	FBXO27	9484	-0.0029817926697432995	-0.35082865	No	
row_27	UMOD	UMOD	9542	-0.003167780116200447	-0.35302186	No	
row_28	UBE2G2	UBE2G2	9663	-0.003552357666194439	-0.358384	No	
row_29	RNF139	RNF139	9703	-0.0036961857695132494	-0.35951927	No	
row_30	TRIM13	TRIM13	10162	-0.005272975657135248	-0.381965	No	
row_31	BCAP31	BCAP31	11006	-0.008421400561928749	-0.42358583	No	
row_32	UBE4A	UBE4A	11206	-0.009153662249445915	-0.4316983	No	
