NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPGRIP1	RPGRIP1	1860	0.06297855079174042	-0.054754417	No	
row_1	PRKCI	PRKCI	2658	0.04284882918000221	-0.06784378	No	
row_2	TULP1	TULP1	3129	0.03432158753275871	-0.069642946	No	
row_3	VEGFA	VEGFA	3999	0.02365737035870552	-0.098995104	No	
row_4	THRB	THRB	5138	0.01406798791140318	-0.14849225	No	
row_5	RPGRIP1L	RPGRIP1L	6003	0.009435542859137058	-0.18688607	No	
row_6	OLFM3	OLFM3	6107	0.009039748460054398	-0.1862876	No	
row_7	GNAT1	GNAT1	6956	0.005421509500592947	-0.22648092	No	
row_8	DIO3	DIO3	7366	0.0038568475283682346	-0.24505447	No	
row_9	MFRP	MFRP	7653	0.0028652807231992483	-0.25793228	No	
row_10	FSCN2	FSCN2	7781	0.002482450334355235	-0.26285946	No	
row_11	USH1C	USH1C	7924	0.0020635754335671663	-0.26883423	No	
row_12	PDE6C	PDE6C	8011	0.001714129000902176	-0.27214912	No	
row_13	NRL	NRL	8206	0.0010202035773545504	-0.28148818	No	
row_14	RP1	RP1	9017	-0.0015295356279239058	-0.32226646	No	
row_15	CEP290	CEP290	9088	-0.0017663573380559683	-0.32472193	No	
row_16	CRB1	CRB1	9748	-0.003849257482215762	-0.35619503	No	
row_17	GNAT2	GNAT2	10954	-0.008228742517530918	-0.41296616	No	
row_18	PAX6	PAX6	13119	-0.017538288608193398	-0.51311344	No	
row_19	NR2E3	NR2E3	14941	-0.030284682288765907	-0.58723456	No	
row_20	HCN1	HCN1	15197	-0.03243973106145859	-0.57917494	No	
row_21	CABP4	CABP4	16109	-0.041614193469285965	-0.5989516	No	
row_22	BBS4	BBS4	17017	-0.0530678816139698	-0.61103237	Yes	
row_23	SAMD7	SAMD7	17180	-0.05579008534550667	-0.5829073	Yes	
row_24	CRB2	CRB2	17256	-0.056868068873882294	-0.54959005	Yes	
row_25	RORB	RORB	17312	-0.05776550620794296	-0.51465446	Yes	
row_26	THY1	THY1	17324	-0.05822356045246124	-0.47714984	Yes	
row_27	NAGLU	NAGLU	17806	-0.06834282726049423	-0.45727015	Yes	
row_28	SAMD11	SAMD11	18029	-0.07447997480630875	-0.4200186	Yes	
row_29	PRDM1	PRDM1	18283	-0.08316559344530106	-0.37868655	Yes	
row_30	TH	TH	18521	-0.09306596964597702	-0.33005545	Yes	
row_31	NTRK2	NTRK2	18530	-0.0934915691614151	-0.2693346	Yes	
row_32	RDH13	RDH13	18757	-0.10694507509469986	-0.21106072	Yes	
row_33	MYO7A	MYO7A	18947	-0.12448719888925552	-0.13940774	Yes	
row_34	GNGT1	GNGT1	19381	-0.25058525800704956	0.0021147192	Yes	
