NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHD7	CHD7	2391	0.0484105609357357	-0.09108458	No	
row_1	BAX	BAX	3178	0.03352292999625206	-0.109339744	No	
row_2	SRD5A1	SRD5A1	3181	0.033444762229919434	-0.08724484	No	
row_3	WNT5A	WNT5A	4088	0.022768501192331314	-0.11882191	No	
row_4	LHX1	LHX1	6920	0.005556791555136442	-0.26102397	No	
row_5	BAK1	BAK1	9940	-0.004528211895376444	-0.41359696	No	
row_6	AXL	AXL	13007	-0.016929514706134796	-0.560361	No	
row_7	ESR1	ESR1	14611	-0.027698300778865814	-0.6245847	No	
row_8	SRD5A2	SRD5A2	14723	-0.02841060608625412	-0.6114481	No	
row_9	TYRO3	TYRO3	16957	-0.05233278498053551	-0.6917872	Yes	
row_10	FGF10	FGF10	17769	-0.06764540076255798	-0.6886829	Yes	
row_11	MERTK	MERTK	18024	-0.07432502508163452	-0.65244126	Yes	
row_12	TP63	TP63	18199	-0.0801577940583229	-0.6082057	Yes	
row_13	CYP19A1	CYP19A1	19167	-0.15815114974975586	-0.55307	Yes	
row_14	RBP4	RBP4	19244	-0.18062686920166016	-0.43710077	Yes	
row_15	TBX3	TBX3	19286	-0.19238288700580597	-0.31152517	Yes	
row_16	LRP2	LRP2	19337	-0.21501851081848145	-0.17138961	Yes	
row_17	STRA6	STRA6	19392	-0.26474764943122864	0.0015460596	Yes	
