NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BMP6	BMP6	857	0.11423977464437485	0.0014633231	No	
row_1	CHD7	CHD7	2391	0.0484105609357357	-0.058282707	No	
row_2	PDGFRA	PDGFRA	2827	0.03964756429195404	-0.06487394	No	
row_3	BAX	BAX	3178	0.03352292999625206	-0.069528334	No	
row_4	SRD5A1	SRD5A1	3181	0.033444762229919434	-0.056256402	No	
row_5	WNT5A	WNT5A	4088	0.022768501192331314	-0.09390252	No	
row_6	KLHL10	KLHL10	4365	0.020010266453027725	-0.10014229	No	
row_7	TIFAB	TIFAB	4976	0.015223516151309013	-0.12553152	No	
row_8	AR	AR	5417	0.012322558090090752	-0.1433085	No	
row_9	CTNNB1	CTNNB1	5777	0.010458171367645264	-0.1576513	No	
row_10	NIPBL	NIPBL	6218	0.008569533005356789	-0.17692919	No	
row_11	LHCGR	LHCGR	6408	0.00771678052842617	-0.18359594	No	
row_12	LHX1	LHX1	6920	0.005556791555136442	-0.20774244	No	
row_13	DCANP1	DCANP1	7352	0.0039028893224895	-0.22842218	No	
row_14	PTPN11	PTPN11	7387	0.003773814532905817	-0.22866744	No	
row_15	WNT9B	WNT9B	8924	-0.0012607343960553408	-0.3074243	No	
row_16	SYCP2	SYCP2	9635	-0.003477571066468954	-0.34267116	No	
row_17	BAK1	BAK1	9940	-0.004528211895376444	-0.35654733	No	
row_18	NEUROG1	NEUROG1	10266	-0.0056344266049563885	-0.37106475	No	
row_19	HSD17B3	HSD17B3	12067	-0.012502343393862247	-0.4589489	No	
row_20	FGF8	FGF8	12073	-0.012516156770288944	-0.4542015	No	
row_21	DNAJC19	DNAJC19	12133	-0.012812301516532898	-0.45212215	No	
row_22	AXL	AXL	13007	-0.016929514706134796	-0.49040052	No	
row_23	ESR1	ESR1	14611	-0.027698300778865814	-0.5620419	No	
row_24	SRD5A2	SRD5A2	14723	-0.02841060608625412	-0.55640787	No	
row_25	SHH	SHH	15504	-0.035357553511857986	-0.5825175	No	
row_26	WT1	WT1	15802	-0.03798721730709076	-0.5826516	Yes	
row_27	ROR2	ROR2	16001	-0.04019195958971977	-0.57679546	Yes	
row_28	DHCR24	DHCR24	16043	-0.040833234786987305	-0.56258124	Yes	
row_29	HOXD13	HOXD13	16678	-0.048693180084228516	-0.5758238	Yes	
row_30	HOXA13	HOXA13	16813	-0.05046456679701805	-0.56255686	Yes	
row_31	PKD1	PKD1	16931	-0.05198615416884422	-0.5478042	Yes	
row_32	TYRO3	TYRO3	16957	-0.05233278498053551	-0.52816546	Yes	
row_33	FGF10	FGF10	17769	-0.06764540076255798	-0.5429623	Yes	
row_34	MERTK	MERTK	18024	-0.07432502508163452	-0.52634543	Yes	
row_35	TP63	TP63	18199	-0.0801577940583229	-0.5032677	Yes	
row_36	FOXF2	FOXF2	18926	-0.12245757132768631	-0.49175805	Yes	
row_37	LGR4	LGR4	19048	-0.13764800131320953	-0.44295412	Yes	
row_38	BMP5	BMP5	19092	-0.14417150616645813	-0.38751635	Yes	
row_39	CYP19A1	CYP19A1	19167	-0.15815114974975586	-0.32808757	Yes	
row_40	RBP4	RBP4	19244	-0.18062686920166016	-0.25977355	Yes	
row_41	TBX3	TBX3	19286	-0.19238288700580597	-0.184952	Yes	
row_42	LRP2	LRP2	19337	-0.21501851081848145	-0.10154252	Yes	
row_43	STRA6	STRA6	19392	-0.26474764943122864	0.0015481021	Yes	
