NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNA1H	CACNA1H	730	0.12749478220939636	0.02983125	No	
row_1	CYP11B2	CYP11B2	3324	0.031121358275413513	-0.08737443	No	
row_2	DGKQ	DGKQ	4018	0.02351628988981247	-0.11065609	No	
row_3	DKK3	DKK3	4166	0.02186404913663864	-0.10666481	No	
row_4	YWHAH	YWHAH	4187	0.02166832610964775	-0.09623002	No	
row_5	CYP17A1	CYP17A1	4457	0.01929081231355667	-0.09988968	No	
row_6	CRH	CRH	7824	0.0023392559960484505	-0.2721749	No	
row_7	MECP2	MECP2	9638	-0.0034902459010481834	-0.3637913	No	
row_8	CYP11B1	CYP11B1	10723	-0.007345920894294977	-0.41578624	No	
row_9	BMP2	BMP2	11930	-0.01191862765699625	-0.47165084	No	
row_10	SERPINA6	SERPINA6	12652	-0.015215085819363594	-0.50076854	No	
row_11	NR3C1	NR3C1	12779	-0.01584036275744438	-0.4988821	No	
row_12	ATP1A1	ATP1A1	13415	-0.019269561395049095	-0.52142096	No	
row_13	STUB1	STUB1	15119	-0.03182812035083771	-0.5923716	No	
row_14	CYP11A1	CYP11A1	15121	-0.0318385548889637	-0.57557577	No	
row_15	REST	REST	15840	-0.03840308263897896	-0.5922688	No	
row_16	CYP21A2	CYP21A2	16636	-0.04811955988407135	-0.60778993	No	
row_17	CBR1	CBR1	17673	-0.06564080715179443	-0.6264636	Yes	
row_18	H6PD	H6PD	17966	-0.07286129891872406	-0.6029621	Yes	
row_19	BMP5	BMP5	19092	-0.14417150616645813	-0.58466923	Yes	
row_20	GAL	GAL	19204	-0.16574357450008392	-0.5026881	Yes	
row_21	STAR	STAR	19321	-0.20926786959171295	-0.3979338	Yes	
row_22	HSD11B2	HSD11B2	19358	-0.22516214847564697	-0.2806449	Yes	
row_23	WNT4	WNT4	19384	-0.25380849838256836	-0.14763068	Yes	
row_24	APOA1	APOA1	19404	-0.28260016441345215	9.280075E-4	Yes	
