NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JAML	JAML	146	0.30098357796669006	0.024081368	Yes	
row_1	PPBP	PPBP	157	0.2863685190677643	0.053672012	Yes	
row_2	CXCR1	CXCR1	165	0.28151410818099976	0.08290769	Yes	
row_3	CXCL13	CXCL13	169	0.27838295698165894	0.112021394	Yes	
row_4	S100A12	S100A12	202	0.2541860342025757	0.1370886	Yes	
row_5	SCG2	SCG2	234	0.2372158169746399	0.16042337	Yes	
row_6	S100A8	S100A8	351	0.18882274627685547	0.17426641	Yes	
row_7	S100A9	S100A9	354	0.18732379376888275	0.19385798	Yes	
row_8	CXCL9	CXCL9	355	0.18728871643543243	0.21354948	Yes	
row_9	LBP	LBP	356	0.18701395392417908	0.2332121	Yes	
row_10	RARRES2	RARRES2	370	0.18316379189491272	0.2517964	Yes	
row_11	CXCL5	CXCL5	409	0.17603735625743866	0.2683362	Yes	
row_12	PREX1	PREX1	413	0.1747867614030838	0.28655782	Yes	
row_13	NOD2	NOD2	434	0.17130976915359497	0.30353314	Yes	
row_14	THBS1	THBS1	448	0.16753260791301727	0.320474	Yes	
row_15	TGFB2	TGFB2	520	0.15425793826580048	0.33301425	Yes	
row_16	PF4V1	PF4V1	529	0.15309691429138184	0.34869638	Yes	
row_17	C5AR1	C5AR1	530	0.15308693051338196	0.3647919	Yes	
row_18	SYK	SYK	652	0.1359904259443283	0.37282112	Yes	
row_19	CCL14	CCL14	665	0.13450828194618225	0.3863416	Yes	
row_20	CCL5	CCL5	671	0.1337711066007614	0.40014723	Yes	
row_21	VAV1	VAV1	687	0.13210347294807434	0.41325945	Yes	
row_22	RAC2	RAC2	735	0.12714168429374695	0.4241921	Yes	
row_23	PIK3CG	PIK3CG	753	0.12506315112113953	0.4364605	Yes	
row_24	ITGB2	ITGB2	786	0.12200488150119781	0.4476302	Yes	
row_25	PIK3CD	PIK3CD	789	0.12175723165273666	0.4603281	Yes	
row_26	CCL3	CCL3	842	0.11551102250814438	0.4697789	Yes	
row_27	FCER1G	FCER1G	856	0.11437288671731949	0.48113054	Yes	
row_28	C3AR1	C3AR1	871	0.11294931173324585	0.4922807	Yes	
row_29	CAMK1D	CAMK1D	922	0.10895894467830658	0.5011462	Yes	
row_30	CXCL6	CXCL6	993	0.1042654737830162	0.5084821	Yes	
row_31	PERP	PERP	1010	0.10322887450456619	0.51850665	Yes	
row_32	CCL3L3	CCL3L3	1017	0.10254067182540894	0.52897686	Yes	
row_33	SLIT2	SLIT2	1077	0.098186194896698	0.5362435	Yes	
row_34	IL17RA	IL17RA	1155	0.0940338522195816	0.54214096	Yes	
row_35	CXCR2	CXCR2	1164	0.09344079345464706	0.5515508	Yes	
row_36	SLAMF1	SLAMF1	1167	0.0933186262845993	0.56125873	Yes	
row_37	CXCL8	CXCL8	1169	0.09313951432704926	0.57099956	Yes	
row_38	CD74	CD74	1226	0.09000362455844879	0.57756126	Yes	
row_39	VAV3	VAV3	1385	0.08127867430448532	0.5779212	Yes	
row_40	CCL13	CCL13	1411	0.07959263026714325	0.5849944	Yes	
row_41	CCL21	CCL21	1597	0.07210978865623474	0.5829915	Yes	
row_42	CSF1R	CSF1R	1598	0.07209634780883789	0.5905717	Yes	
row_43	CCL19	CCL19	1763	0.06675305217504501	0.58909357	Yes	
row_44	EDN2	EDN2	1872	0.06255466490983963	0.59007525	Yes	
row_45	DPP4	DPP4	1886	0.06218165159225464	0.5959395	Yes	
row_46	CSF3R	CSF3R	1918	0.06117105111479759	0.600765	Yes	
row_47	MAPK3	MAPK3	1947	0.06014203652739525	0.60563767	Yes	
row_48	CCL2	CCL2	1967	0.0597388781607151	0.61093426	Yes	
row_49	CMKLR1	CMKLR1	2037	0.058092571794986725	0.61346734	Yes	
row_50	CCL23	CCL23	2131	0.05466905236244202	0.6143971	Yes	
row_51	DAPK2	DAPK2	2302	0.05044468119740486	0.6108934	Yes	
row_52	CKLF	CKLF	2307	0.05033256486058235	0.6159782	Yes	
row_53	XCL1	XCL1	2365	0.04896342754364014	0.6181731	Yes	
row_54	PTPRJ	PTPRJ	2367	0.04894667863845825	0.62326753	Yes	
row_55	CCL18	CCL18	2369	0.048895977437496185	0.62835664	Yes	
row_56	CXCL2	CXCL2	2373	0.04883662983775139	0.6333359	Yes	
row_57	MPP1	MPP1	2640	0.043256502598524094	0.62410295	No	
