NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LILRA2	LILRA2	91	0.3614713251590729	0.0139752	Yes	
row_1	HLA-G	HLA-G	111	0.3407754600048065	0.030647289	Yes	
row_2	PSG9	PSG9	114	0.3359873294830322	0.047961246	Yes	
row_3	FPR1	FPR1	132	0.31867027282714844	0.06359205	Yes	
row_4	GATA3	GATA3	135	0.3155768811702728	0.07984786	Yes	
row_5	PRAM1	PRAM1	148	0.2972685992717743	0.09463093	Yes	
row_6	HLA-DRB1	HLA-DRB1	155	0.2888084053993225	0.109289534	Yes	
row_7	FCGR3B	FCGR3B	178	0.2732527256011963	0.122303955	Yes	
row_8	FFAR2	FFAR2	192	0.26224568486213684	0.13521896	Yes	
row_9	FCN1	FCN1	226	0.2411249577999115	0.14599182	Yes	
row_10	SCIMP	SCIMP	236	0.23705171048641205	0.15781012	Yes	
row_11	MNDA	MNDA	253	0.22631457448005676	0.16870525	Yes	
row_12	PRKCB	PRKCB	262	0.22178101539611816	0.17978424	Yes	
row_13	FPR2	FPR2	286	0.21284402906894684	0.18961452	Yes	
row_14	CD19	CD19	309	0.19886259734630585	0.1987723	Yes	
row_15	LBP	LBP	356	0.18701395392417908	0.2060592	Yes	
row_16	FCMR	FCMR	371	0.1830279380083084	0.21481495	Yes	
row_17	HCK	HCK	402	0.1764581948518753	0.22239235	Yes	
row_18	NOD2	NOD2	434	0.17130976915359497	0.22965048	Yes	
row_19	TRIL	TRIL	486	0.15957877039909363	0.23525327	Yes	
row_20	BANK1	BANK1	494	0.15862877666950226	0.24311058	Yes	
row_21	C5AR1	C5AR1	530	0.15308693051338196	0.24921456	Yes	
row_22	VTCN1	VTCN1	538	0.1504555195569992	0.25664815	Yes	
row_23	CD33	CD33	551	0.14823104441165924	0.26370463	Yes	
row_24	TLR1	TLR1	580	0.14412662386894226	0.26971057	Yes	
row_25	KLHL6	KLHL6	590	0.14286619424819946	0.276646	Yes	
row_26	FCHO1	FCHO1	598	0.14218221604824066	0.28365067	Yes	
row_27	CD160	CD160	612	0.14106251299381256	0.29028314	Yes	
row_28	ITGAM	ITGAM	630	0.13864682614803314	0.29658094	Yes	
row_29	SYK	SYK	652	0.1359904259443283	0.3025316	Yes	
row_30	VAV1	VAV1	687	0.13210347294807434	0.30760005	Yes	
row_31	LTF	LTF	689	0.13200514018535614	0.3143913	Yes	
row_32	TLR6	TLR6	696	0.1311957836151123	0.32087874	Yes	
row_33	FGR	FGR	710	0.1295594722032547	0.32691488	Yes	
row_34	KLRD1	KLRD1	721	0.1285196989774704	0.33305416	Yes	
row_35	BTK	BTK	750	0.1256890445947647	0.33810425	Yes	
row_36	PIK3CD	PIK3CD	789	0.12175723165273666	0.3424269	Yes	
row_37	HLA-DPB1	HLA-DPB1	828	0.11737644672393799	0.34652245	Yes	
row_38	TYROBP	TYROBP	837	0.1159641444683075	0.3521155	Yes	
row_39	CD300A	CD300A	838	0.1159019023180008	0.35812426	Yes	
row_40	FCER1G	FCER1G	856	0.11437288671731949	0.36316362	Yes	
row_41	TLR2	TLR2	864	0.11352262645959854	0.36868247	Yes	
row_42	C3AR1	C3AR1	871	0.11294931173324585	0.374224	Yes	
row_43	SH2D1A	SH2D1A	882	0.11207909882068634	0.37951094	Yes	
row_44	CD8A	CD8A	888	0.1113223284482956	0.38502046	Yes	
row_45	CLEC7A	CLEC7A	898	0.11076729744672775	0.39029178	Yes	
row_46	FCGR1A	FCGR1A	914	0.10949275642633438	0.39518285	Yes	
row_47	THEMIS	THEMIS	919	0.10924039036035538	0.4006368	Yes	
row_48	LAT2	LAT2	952	0.10712326318025589	0.40451494	Yes	
row_49	CD79A	CD79A	998	0.10409919172525406	0.40755564	Yes	
row_50	PTPN22	PTPN22	1022	0.10197082906961441	0.41163787	Yes	
row_51	CR1	CR1	1063	0.0992097407579422	0.4146869	Yes	
row_52	PVRIG	PVRIG	1064	0.0990537628531456	0.41982216	Yes	
row_53	FCGR2A	FCGR2A	1105	0.09691119194030762	0.422752	Yes	
row_54	PLCL2	PLCL2	1128	0.09579723328351974	0.42656654	Yes	
row_55	LY96	LY96	1150	0.09466710686683655	0.43037486	Yes	
row_56	LAPTM5	LAPTM5	1153	0.09442465007305145	0.4351654	Yes	
row_57	CD47	CD47	1168	0.09328483790159225	0.4392686	Yes	
row_58	HLA-DRB3	HLA-DRB3	1220	0.09015842527151108	0.44127238	Yes	
row_59	MYO1G	MYO1G	1227	0.08994277566671371	0.44562116	Yes	
row_60	FCGR3A	FCGR3A	1249	0.08842006325721741	0.44910562	Yes	
row_61	PELI1	PELI1	1256	0.08792468905448914	0.45334977	Yes	
row_62	CD247	CD247	1261	0.08770022541284561	0.457687	Yes	
row_63	PIK3AP1	PIK3AP1	1340	0.08366190642118454	0.4579403	Yes	
row_64	PRKCQ	PRKCQ	1362	0.08239687234163284	0.4611125	Yes	
row_65	LILRB2	LILRB2	1367	0.08207232505083084	0.46515796	Yes	
row_66	VAV3	VAV3	1385	0.08127867430448532	0.4684816	Yes	
row_67	BLK	BLK	1414	0.07953368127346039	0.47113883	Yes	
row_68	BCL10	BCL10	1433	0.07891961932182312	0.47428784	Yes	
row_69	CD22	CD22	1449	0.0781075730919838	0.47755182	Yes	
row_70	CD40	CD40	1540	0.07446616142988205	0.4767001	Yes	
row_71	PAK1	PAK1	1551	0.07390117645263672	0.48000777	Yes	
row_72	RAB29	RAB29	1566	0.07324463129043579	0.48307198	Yes	
row_73	PRKCD	PRKCD	1578	0.07285360991954803	0.48627302	Yes	
row_74	BPIFB1	BPIFB1	1585	0.072604238986969	0.4897229	Yes	
row_75	NCR3	NCR3	1613	0.07161834836006165	0.49202216	Yes	
row_76	LAX1	LAX1	1657	0.06953451037406921	0.4933756	Yes	
row_77	THEMIS2	THEMIS2	1674	0.0690729022026062	0.49611884	Yes	
row_78	MAP3K1	MAP3K1	1681	0.06886196881532669	0.49937472	Yes	
row_79	NMI	NMI	1684	0.06878234446048737	0.50283587	Yes	
row_80	CLEC4D	CLEC4D	1700	0.0683031752705574	0.5055916	Yes	
row_81	TNFAIP3	TNFAIP3	1743	0.06731614470481873	0.50688237	Yes	
row_82	SKAP1	SKAP1	1754	0.06699107587337494	0.50983185	Yes	
row_83	CD3D	CD3D	1784	0.06611289829015732	0.5117409	Yes	
row_84	APPL1	APPL1	1846	0.0636003166437149	0.5118443	Yes	
row_85	VAV2	VAV2	1849	0.06351929157972336	0.51503265	Yes	
row_86	LPXN	LPXN	1852	0.06344860792160034	0.51821727	Yes	
row_87	TRAT1	TRAT1	1875	0.0624740868806839	0.52030426	Yes	
row_88	KIR2DL1	KIR2DL1	1963	0.05988603085279465	0.5188537	Yes	
row_89	SH2B2	SH2B2	1970	0.059687912464141846	0.521634	Yes	
row_90	CD14	CD14	1971	0.059686802327632904	0.52472836	Yes	
row_91	CD276	CD276	2000	0.05912002921104431	0.5263273	Yes	
row_92	PTPN6	PTPN6	2001	0.05910864099860191	0.52939165	Yes	
row_93	KLRC2	KLRC2	2031	0.058249350637197495	0.5308931	Yes	
row_94	CMKLR1	CMKLR1	2037	0.058092571794986725	0.533643	Yes	
row_95	PLCG2	PLCG2	2092	0.05601544678211212	0.53371966	Yes	
row_96	CSK	CSK	2136	0.05456075817346573	0.5342969	Yes	
row_97	FCRL3	FCRL3	2145	0.05418188497424126	0.53668696	Yes	
row_98	FCER2	FCER2	2295	0.050586506724357605	0.531508	Yes	
row_99	STAP1	STAP1	2308	0.05032648146152496	0.5334888	Yes	
row_100	FCER1A	FCER1A	2329	0.049920085817575455	0.53502965	Yes	
row_101	CTLA4	CTLA4	2332	0.0498487651348114	0.53750926	Yes	
row_102	F2RL1	F2RL1	2335	0.049739591777324677	0.5399832	Yes	
row_103	IRF3	IRF3	2361	0.04904550313949585	0.5412169	Yes	
row_104	PTPRJ	PTPRJ	2367	0.04894667863845825	0.5434927	Yes	
row_105	GBP1	GBP1	2371	0.04885200783610344	0.5458683	Yes	
row_106	BTNL3	BTNL3	2378	0.04871741309762001	0.5480798	Yes	
row_107	MICB	MICB	2383	0.04854891821742058	0.55038726	Yes	
row_108	LIME1	LIME1	2392	0.04838288202881813	0.55247676	Yes	
row_109	CD3G	CD3G	2397	0.04826437681913376	0.55476946	Yes	
row_110	FPR3	FPR3	2408	0.04803092032670975	0.556736	Yes	
row_111	ITK	ITK	2440	0.047318268567323685	0.557566	Yes	
row_112	EZR	EZR	2485	0.0464625209569931	0.55767095	Yes	
row_113	KIT	KIT	2499	0.04625518620014191	0.55938834	Yes	
row_114	IRAK1	IRAK1	2509	0.0460616759955883	0.5613051	Yes	
row_115	TREM2	TREM2	2556	0.045167434960603714	0.5612382	Yes	
row_116	DENND1B	DENND1B	2578	0.04473146051168442	0.5624577	Yes	
row_117	PDE4D	PDE4D	2601	0.044253867119550705	0.56360006	Yes	
row_118	CD3E	CD3E	2623	0.04385408014059067	0.5647741	Yes	
row_119	FCGR2B	FCGR2B	2685	0.042152419686317444	0.5637655	Yes	
row_120	GPR32	GPR32	2688	0.04209550842642784	0.56584316	Yes	
row_121	CD28	CD28	2712	0.041615065187215805	0.56679636	Yes	
row_122	MAPK8	MAPK8	2769	0.04053801670670509	0.5659659	Yes	
row_123	TLR5	TLR5	2775	0.04044019430875778	0.56780064	Yes	
row_124	ECSIT	ECSIT	2777	0.04041389748454094	0.5698435	Yes	
row_125	MAPK9	MAPK9	2790	0.04016789421439171	0.5712976	Yes	
row_126	PTPRC	PTPRC	2792	0.04014039412140846	0.57332623	Yes	
row_127	CCR7	CCR7	2796	0.039999451488256454	0.5752429	Yes	
row_128	PLEKHA1	PLEKHA1	2835	0.039486099034547806	0.57530034	Yes	
row_129	INPP5D	INPP5D	2904	0.03813638910651207	0.57371706	Yes	
row_130	LIPA	LIPA	2922	0.03792276605963707	0.574793	Yes	
row_131	WNK1	WNK1	2929	0.03767119348049164	0.5764319	Yes	
row_132	FLOT1	FLOT1	3055	0.035599235445261	0.5717326	No	
row_133	ELF1	ELF1	3065	0.03545701876282692	0.57309955	No	
row_134	MEF2C	MEF2C	3095	0.0349588505923748	0.5733935	No	
row_135	BTLA	BTLA	3131	0.03422369807958603	0.57333523	No	
row_136	PIGR	PIGR	3155	0.03386363387107849	0.5738866	No	
row_137	GRB2	GRB2	3167	0.03361888229846954	0.5750536	No	
row_138	BAX	BAX	3178	0.03352292999625206	0.5762679	No	
