NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JAML	JAML	146	0.30098357796669006	0.0109729795	Yes	
row_1	PPBP	PPBP	157	0.2863685190677643	0.028127579	Yes	
row_2	CXCR1	CXCR1	165	0.28151410818099976	0.04513881	Yes	
row_3	CXCL13	CXCL13	169	0.27838295698165894	0.06216512	Yes	
row_4	CX3CR1	CX3CR1	184	0.2681888937950134	0.07798928	Yes	
row_5	PGF	PGF	189	0.26579606533050537	0.094186604	Yes	
row_6	FFAR2	FFAR2	192	0.26224568486213684	0.110268965	Yes	
row_7	S100A12	S100A12	202	0.2541860342025757	0.12548925	Yes	
row_8	SCG2	SCG2	234	0.2372158169746399	0.1385162	Yes	
row_9	ADAM8	ADAM8	261	0.22353599965572357	0.15095922	Yes	
row_10	FPR2	FPR2	286	0.21284402906894684	0.16284649	Yes	
row_11	CH25H	CH25H	313	0.19791017472743988	0.17370781	Yes	
row_12	IL6	IL6	326	0.19431431591510773	0.1850764	Yes	
row_13	S100A8	S100A8	351	0.18882274627685547	0.195481	Yes	
row_14	S100A9	S100A9	354	0.18732379376888275	0.20693897	Yes	
row_15	CXCL9	CXCL9	355	0.18728871643543243	0.21849896	Yes	
row_16	LBP	LBP	356	0.18701395392417908	0.23004198	Yes	
row_17	RARRES2	RARRES2	370	0.18316379189491272	0.24067023	Yes	
row_18	CXCL5	CXCL5	409	0.17603735625743866	0.24955648	Yes	
row_19	PREX1	PREX1	413	0.1747867614030838	0.26018855	Yes	
row_20	NOD2	NOD2	434	0.17130976915359497	0.26972052	Yes	
row_21	CXCL12	CXCL12	435	0.17120639979839325	0.28028786	Yes	
row_22	THBS1	THBS1	448	0.16753260791301727	0.29000342	Yes	
row_23	TGFB2	TGFB2	520	0.15425793826580048	0.29582652	Yes	
row_24	PF4V1	PF4V1	529	0.15309691429138184	0.3048594	Yes	
row_25	C5AR1	C5AR1	530	0.15308693051338196	0.31430838	Yes	
row_26	VEGFC	VEGFC	631	0.138625830411911	0.31765613	Yes	
row_27	CCR1	CCR1	639	0.13755130767822266	0.32578158	Yes	
row_28	GPSM3	GPSM3	648	0.13650912046432495	0.3337906	Yes	
row_29	SYK	SYK	652	0.1359904259443283	0.34202805	Yes	
row_30	CCL14	CCL14	665	0.13450828194618225	0.34970525	Yes	
row_31	CCL5	CCL5	671	0.1337711066007614	0.35770154	Yes	
row_32	CTSG	CTSG	672	0.13369500637054443	0.36595356	Yes	
row_33	VAV1	VAV1	687	0.13210347294807434	0.37337816	Yes	
row_34	CORO1A	CORO1A	715	0.12893307209014893	0.37992993	Yes	
row_35	GPR183	GPR183	724	0.12789392471313477	0.3874072	Yes	
row_36	RAC2	RAC2	735	0.12714168429374695	0.3947339	Yes	
row_37	PIK3CG	PIK3CG	753	0.12506315112113953	0.40156767	Yes	
row_38	ITGB2	ITGB2	786	0.12200488150119781	0.4074314	Yes	
row_39	PIK3CD	PIK3CD	789	0.12175723165273666	0.41484243	Yes	
row_40	CCL3	CCL3	842	0.11551102250814438	0.4192636	Yes	
row_41	CXCL16	CXCL16	843	0.11550761014223099	0.42639306	Yes	
row_42	FCER1G	FCER1G	856	0.11437288671731949	0.43282744	Yes	
row_43	C3AR1	C3AR1	871	0.11294931173324585	0.43906978	Yes	
row_44	AIF1	AIF1	873	0.11292823404073715	0.44598794	Yes	
row_45	NEDD9	NEDD9	916	0.10941281914710999	0.4505536	Yes	
row_46	CAMK1D	CAMK1D	922	0.10895894467830658	0.4570184	Yes	
row_47	DEFA1	DEFA1	973	0.10551182925701141	0.4609266	Yes	
row_48	CXCL6	CXCL6	993	0.1042654737830162	0.46637252	Yes	
row_49	PERP	PERP	1010	0.10322887450456619	0.47191072	Yes	
row_50	CCL3L3	CCL3L3	1017	0.10254067182540894	0.4779273	Yes	
row_51	SLAMF8	SLAMF8	1052	0.09988018870353699	0.48232123	Yes	
row_52	SERPINE1	SERPINE1	1075	0.09827707707881927	0.48724127	Yes	
row_53	SLIT2	SLIT2	1077	0.098186194896698	0.49324954	Yes	
row_54	IL17RA	IL17RA	1155	0.0940338522195816	0.49504292	Yes	
row_55	CXCR2	CXCR2	1164	0.09344079345464706	0.5003937	Yes	
row_56	SLAMF1	SLAMF1	1167	0.0933186262845993	0.5060494	Yes	
row_57	CXCL8	CXCL8	1169	0.09313951432704926	0.5117461	Yes	
row_58	IL6R	IL6R	1177	0.09267143905162811	0.51710147	Yes	
row_59	LYST	LYST	1187	0.09210937470197678	0.52231795	Yes	
row_60	MMP28	MMP28	1190	0.09195353835821152	0.5278894	Yes	
row_61	CD74	CD74	1226	0.09000362455844879	0.53162163	Yes	
row_62	CXCR4	CXCR4	1236	0.08905178308486938	0.5366494	Yes	
row_63	DEFA1B	DEFA1B	1368	0.08202239871025085	0.53488874	Yes	
row_64	VAV3	VAV3	1385	0.08127867430448532	0.53907216	Yes	
row_65	ANO6	ANO6	1408	0.07969871908426285	0.5428455	Yes	
row_66	CCL13	CCL13	1411	0.07959263026714325	0.547654	Yes	
row_67	GPR18	GPR18	1423	0.0793195590376854	0.55197686	Yes	
row_68	IL16	IL16	1457	0.07772976160049438	0.55505574	Yes	
row_69	RIN3	RIN3	1539	0.07448027282953262	0.55543387	Yes	
row_70	CCL21	CCL21	1597	0.07210978865623474	0.55691576	Yes	
row_71	CSF1R	CSF1R	1598	0.07209634780883789	0.5613658	Yes	
row_72	GREM1	GREM1	1623	0.0708056315779686	0.564486	Yes	
row_73	PTK2B	PTK2B	1628	0.07069224119186401	0.568641	Yes	
row_74	PTPRO	PTPRO	1647	0.0700940489768982	0.5720298	Yes	
row_75	CCL19	CCL19	1763	0.06675305217504501	0.57016015	Yes	
row_76	CCR2	CCR2	1871	0.06262771040201187	0.5684525	Yes	
row_77	EDN2	EDN2	1872	0.06255466490983963	0.57231355	Yes	
row_78	DPP4	DPP4	1886	0.06218165159225464	0.57547444	Yes	
row_79	FOLR2	FOLR2	1887	0.0621277391910553	0.57930917	Yes	
row_80	CSF3R	CSF3R	1918	0.06117105111479759	0.5815222	Yes	
row_81	SLC12A2	SLC12A2	1940	0.06031234562397003	0.584151	Yes	
row_82	MAPK3	MAPK3	1947	0.06014203652739525	0.58755064	Yes	
row_83	CCL2	CCL2	1967	0.0597388781607151	0.5902483	Yes	
row_84	CMKLR1	CMKLR1	2037	0.058092571794986725	0.59024	Yes	
row_85	STK39	STK39	2106	0.05539742112159729	0.5901174	Yes	
row_86	CCL23	CCL23	2131	0.05466905236244202	0.59224164	Yes	
row_87	S1PR1	S1PR1	2275	0.05096018686890602	0.5879388	Yes	
row_88	SWAP70	SWAP70	2298	0.05052787438035011	0.5899116	Yes	
row_89	DAPK2	DAPK2	2302	0.05044468119740486	0.5928689	Yes	
