NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRAM1	PRAM1	148	0.2972685992717743	0.046715084	Yes	
row_1	UNC13D	UNC13D	360	0.1863640546798706	0.06989149	Yes	
row_2	HCK	HCK	402	0.1764581948518753	0.10004319	Yes	
row_3	CBL	CBL	405	0.1762714982032776	0.13217656	Yes	
row_4	STXBP2	STXBP2	490	0.15912355482578278	0.15693551	Yes	
row_5	RASGRP1	RASGRP1	532	0.15258431434631348	0.18272114	Yes	
row_6	SPI1	SPI1	627	0.139492467045784	0.20337306	Yes	
row_7	ITGAM	ITGAM	630	0.13864682614803314	0.22862558	Yes	
row_8	SYK	SYK	652	0.1359904259443283	0.25241023	Yes	
row_9	FGR	FGR	710	0.1295594722032547	0.27315804	Yes	
row_10	CORO1A	CORO1A	715	0.12893307209014893	0.29653072	Yes	
row_11	GATA2	GATA2	723	0.12812690436840057	0.31960094	Yes	
row_12	RAC2	RAC2	735	0.12714168429374695	0.3422842	Yes	
row_13	BTK	BTK	750	0.1256890445947647	0.36454675	Yes	
row_14	PIK3CG	PIK3CG	753	0.12506315112113953	0.38731506	Yes	
row_15	ITGB2	ITGB2	786	0.12200488150119781	0.40797347	Yes	
row_16	PIK3CD	PIK3CD	789	0.12175723165273666	0.43013722	Yes	
row_17	CD300A	CD300A	838	0.1159019023180008	0.44885248	Yes	
row_18	ANXA3	ANXA3	839	0.11587552726268768	0.47004393	Yes	
row_19	CCL3	CCL3	842	0.11551102250814438	0.49106535	Yes	
row_20	CLNK	CLNK	867	0.1132933720946312	0.5105441	Yes	
row_21	PTGDR	PTGDR	917	0.1092863529920578	0.52799785	Yes	
row_22	PTGDS	PTGDS	918	0.1092534214258194	0.5479782	Yes	
row_23	LAT2	LAT2	952	0.10712326318025589	0.5658634	Yes	
row_24	FES	FES	1120	0.09625369310379028	0.5748345	Yes	
row_25	GRP	GRP	1188	0.09205807000398636	0.5882072	Yes	
row_26	FCGR3A	FCGR3A	1249	0.08842006325721741	0.6012763	Yes	
row_27	GATA1	GATA1	1318	0.0845714583992958	0.613228	Yes	
row_28	ADORA2B	ADORA2B	1322	0.08436328172683716	0.6285015	Yes	
row_29	VAMP8	VAMP8	1472	0.07711690664291382	0.63490325	Yes	
row_30	NKG7	NKG7	1651	0.07001285254955292	0.6385069	Yes	
row_31	CD177	CD177	1760	0.06680786609649658	0.6451425	Yes	
row_32	CCR2	CCR2	1871	0.06262771040201187	0.6509103	Yes	
