NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASCL2	ASCL2	17	0.5218711495399475	0.020106275	Yes	
row_1	ITGA2B	ITGA2B	105	0.34764614701271057	0.029527048	Yes	
row_2	GATA3	GATA3	135	0.3155768811702728	0.04070253	Yes	
row_3	JAML	JAML	146	0.30098357796669006	0.05228835	Yes	
row_4	PPBP	PPBP	157	0.2863685190677643	0.06328609	Yes	
row_5	SELL	SELL	164	0.2816280424594879	0.0743031	Yes	
row_6	CXCR1	CXCR1	165	0.28151410818099976	0.08563053	Yes	
row_7	CXCL13	CXCL13	169	0.27838295698165894	0.096674465	Yes	
row_8	CX3CR1	CX3CR1	184	0.2681888937950134	0.1067307	Yes	
row_9	PGF	PGF	189	0.26579606533050537	0.11721567	Yes	
row_10	FFAR2	FFAR2	192	0.26224568486213684	0.12766278	Yes	
row_11	S100A12	S100A12	202	0.2541860342025757	0.13741809	Yes	
row_12	SCG2	SCG2	234	0.2372158169746399	0.14533551	Yes	
row_13	ADAM8	ADAM8	261	0.22353599965572357	0.152965	Yes	
row_14	FPR2	FPR2	286	0.21284402906894684	0.16026928	Yes	
row_15	CH25H	CH25H	313	0.19791017472743988	0.16686764	Yes	
row_16	IL6	IL6	326	0.19431431591510773	0.17405635	Yes	
row_17	GDF15	GDF15	331	0.19299134612083435	0.18161184	Yes	
row_18	S100A8	S100A8	351	0.18882274627685547	0.18821207	Yes	
row_19	S100A9	S100A9	354	0.18732379376888275	0.19564451	Yes	
row_20	CXCL9	CXCL9	355	0.18728871643543243	0.20318055	Yes	
row_21	LBP	LBP	356	0.18701395392417908	0.21070553	Yes	
row_22	RARRES2	RARRES2	370	0.18316379189491272	0.21739306	Yes	
row_23	F11R	F11R	380	0.1807032823562622	0.2241916	Yes	
row_24	HCK	HCK	402	0.1764581948518753	0.23018931	Yes	
row_25	RAC3	RAC3	407	0.17616724967956543	0.23706783	Yes	
row_26	CXCL5	CXCL5	409	0.17603735625743866	0.24409863	Yes	
row_27	PREX1	PREX1	413	0.1747867614030838	0.25097412	Yes	
row_28	NOD2	NOD2	434	0.17130976915359497	0.25681716	Yes	
row_29	CXCL12	CXCL12	435	0.17120639979839325	0.2637061	Yes	
row_30	THBS1	THBS1	448	0.16753260791301727	0.26981717	Yes	
row_31	IL27RA	IL27RA	478	0.16122111678123474	0.27478176	Yes	
row_32	TGFB2	TGFB2	520	0.15425793826580048	0.27883613	Yes	
row_33	PF4V1	PF4V1	529	0.15309691429138184	0.28457636	Yes	
row_34	C5AR1	C5AR1	530	0.15308693051338196	0.2907362	Yes	
row_35	BDKRB1	BDKRB1	552	0.14815038442611694	0.29559487	Yes	
row_36	ITGA4	ITGA4	606	0.1416163593530655	0.29851058	Yes	
row_37	ELANE	ELANE	610	0.14121870696544647	0.30403537	Yes	
row_38	CNN2	CNN2	622	0.13976536691188812	0.30908167	Yes	
row_39	VEGFC	VEGFC	631	0.138625830411911	0.31423962	Yes	
row_40	P2RY12	P2RY12	636	0.13812078535556793	0.31958723	Yes	
row_41	CCR1	CCR1	639	0.13755130767822266	0.32501695	Yes	
row_42	GPSM3	GPSM3	648	0.13650912046432495	0.33008975	Yes	
row_43	SYK	SYK	652	0.1359904259443283	0.33540416	Yes	
row_44	CCL14	CCL14	665	0.13450828194618225	0.34018642	Yes	
row_45	CCL5	CCL5	671	0.1337711066007614	0.34530652	Yes	
