NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WARS2	WARS2	1199	0.09144452214241028	-0.045351677	No	
row_1	TRMT61B	TRMT61B	1508	0.07563818246126175	-0.047370527	No	
row_2	MRPL30	MRPL30	1945	0.06015865504741669	-0.058892794	No	
row_3	FOXO3	FOXO3	2020	0.058534037321805954	-0.05192358	No	
row_4	MTRF1	MTRF1	2056	0.05724933370947838	-0.043167133	No	
row_5	RPUSD3	RPUSD3	2615	0.04398190230131149	-0.06401012	No	
row_6	TRIT1	TRIT1	2619	0.04391228407621384	-0.056055747	No	
row_7	THAP11	THAP11	3215	0.032982099801301956	-0.08085095	No	
row_8	SHMT2	SHMT2	3517	0.028591476380825043	-0.09119543	No	
row_9	KANSL1	KANSL1	3675	0.02670152671635151	-0.09441388	No	
row_10	PPARGC1B	PPARGC1B	3788	0.02554178051650524	-0.09551055	No	
row_11	MRPS27	MRPS27	4219	0.021385690197348595	-0.11388228	No	
row_12	MTO1	MTO1	4329	0.020397743210196495	-0.11577327	No	
row_13	TEFM	TEFM	4645	0.017786690965294838	-0.12884001	No	
row_14	MRPL34	MRPL34	4661	0.017643732950091362	-0.12636007	No	
row_15	RARS2	RARS2	4820	0.016489233821630478	-0.13151652	No	
row_16	GADD45GIP1	GADD45GIP1	4945	0.015468297526240349	-0.13509658	No	
row_17	RPUSD4	RPUSD4	5642	0.01110802125185728	-0.16917463	No	
row_18	PRKAA1	PRKAA1	5838	0.010168386623263359	-0.17741914	No	
row_19	MRPS35	MRPS35	5933	0.009745688177645206	-0.1804988	No	
row_20	PTCD3	PTCD3	6026	0.009339933283627033	-0.18354955	No	
row_21	MRPL18	MRPL18	6146	0.008843779563903809	-0.18809354	No	
row_22	MRPL3	MRPL3	6411	0.007710593752563	-0.2003738	No	
row_23	MTERF3	MTERF3	6461	0.007468036375939846	-0.20153815	No	
row_24	MTERF1	MTERF1	6707	0.006489133927971125	-0.2130577	No	
row_25	METTL8	METTL8	6716	0.006460234057158232	-0.21227984	No	
row_26	MRPL45	MRPL45	6915	0.005585731007158756	-0.22152646	No	
row_27	FASTKD3	FASTKD3	7046	0.0050664301961660385	-0.22733909	No	
row_28	MTG2	MTG2	7325	0.003994402009993792	-0.24103242	No	
row_29	METTL4	METTL4	8210	0.001013898872770369	-0.28673387	No	
row_30	GFM2	GFM2	8452	2.4041692086029798E-4	-0.29919985	No	
row_31	PUS1	PUS1	8752	-6.608915864489973E-4	-0.31459898	No	
row_32	MRPS31	MRPS31	8760	-6.830286583863199E-4	-0.3148362	No	
row_33	MRPL28	MRPL28	8892	-0.0011317150201648474	-0.32142743	No	
row_34	DAP3	DAP3	9355	-0.002615869976580143	-0.34492686	No	
row_35	NSUN3	NSUN3	9420	-0.002823504153639078	-0.34772766	No	
row_36	ALKBH1	ALKBH1	9434	-0.0028478738386183977	-0.34787652	No	
row_37	IARS2	IARS2	10170	-0.005300919990986586	-0.38505158	No	
row_38	TRMT10C	TRMT10C	10483	-0.006524348631501198	-0.40004262	No	
row_39	MRPL44	MRPL44	10487	-0.00653417082503438	-0.39899155	No	
row_40	TFB2M	TFB2M	10590	-0.006846462842077017	-0.40302193	No	
row_41	MRPL17	MRPL17	10694	-0.007240301463752985	-0.4070315	No	
row_42	TRMT5	TRMT5	10929	-0.008109032176434994	-0.41768086	No	
row_43	MRPS18C	MRPS18C	11099	-0.00875907577574253	-0.424836	No	
row_44	TUFM	TUFM	11207	-0.009156479500234127	-0.4286993	No	
row_45	MTERF2	MTERF2	11273	-0.009378516115248203	-0.43034136	No	
row_46	FASTKD2	FASTKD2	11342	-0.009614268317818642	-0.43209562	No	
row_47	SLC25A33	SLC25A33	11405	-0.009832589887082577	-0.43349808	No	
row_48	C1QBP	C1QBP	11503	-0.010257386602461338	-0.43663895	No	
row_49	TFAM	TFAM	11535	-0.010372547432780266	-0.4363325	No	
row_50	LRPPRC	LRPPRC	11807	-0.011423077434301376	-0.44829047	No	
row_51	MRPL50	MRPL50	11961	-0.012051263824105263	-0.454007	No	
row_52	MTIF2	MTIF2	11964	-0.012069452553987503	-0.45188174	No	
row_53	PNPT1	PNPT1	12340	-0.013685869053006172	-0.46882048	No	
row_54	MRPL35	MRPL35	12439	-0.014204578474164009	-0.47128427	No	
row_55	MRPL14	MRPL14	12681	-0.015359662473201752	-0.4809579	No	
row_56	MRPS21	MRPS21	12793	-0.015894772484898567	-0.48378435	No	
row_57	MRPL13	MRPL13	12797	-0.01590833067893982	-0.48100197	No	
row_58	MALSU1	MALSU1	12903	-0.016413550823926926	-0.48342118	No	
row_59	MRPS22	MRPS22	12911	-0.016457639634609222	-0.480745	No	
row_60	MTPAP	MTPAP	12928	-0.016551349312067032	-0.47851872	No	
row_61	MRPL11	MRPL11	13041	-0.017104031518101692	-0.48117375	No	
row_62	PTCD1	PTCD1	13377	-0.01903476193547249	-0.4950482	Yes	
row_63	CDK5RAP1	CDK5RAP1	13417	-0.01927817612886429	-0.49351224	Yes	
row_64	MRPS12	MRPS12	13477	-0.019639499485492706	-0.49294776	Yes	
row_65	MRPL39	MRPL39	13539	-0.020038187503814697	-0.49241346	Yes	
row_66	MRPL12	MRPL12	13552	-0.02010226994752884	-0.4893237	Yes	
row_67	MRPS9	MRPS9	13622	-0.02060147561132908	-0.48910066	Yes	
row_68	MRPS30	MRPS30	13624	-0.020627733319997787	-0.48534286	Yes	
row_69	ELAC2	ELAC2	13679	-0.021068459376692772	-0.4842549	Yes	
row_70	MRPS10	MRPS10	13726	-0.021397365257143974	-0.48269093	Yes	
row_71	GFM1	GFM1	13763	-0.021632393822073936	-0.48056445	Yes	
row_72	MRPL36	MRPL36	13812	-0.021892597898840904	-0.47901282	Yes	
