NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WARS2	WARS2	1199	0.09144452214241028	-0.04157068	No	
row_1	MRPL30	MRPL30	1945	0.06015865504741669	-0.066649705	No	
row_2	MTRF1	MTRF1	2056	0.05724933370947838	-0.05947629	No	
row_3	RPUSD3	RPUSD3	2615	0.04398190230131149	-0.078502394	No	
row_4	SHMT2	SHMT2	3517	0.028591476380825043	-0.11876416	No	
row_5	MRPS27	MRPS27	4219	0.021385690197348595	-0.15028201	No	
row_6	MRPL34	MRPL34	4661	0.017643732950091362	-0.16916771	No	
row_7	RARS2	RARS2	4820	0.016489233821630478	-0.17364754	No	
row_8	GADD45GIP1	GADD45GIP1	4945	0.015468297526240349	-0.17659502	No	
row_9	RPUSD4	RPUSD4	5642	0.01110802125185728	-0.21016492	No	
row_10	MRPS35	MRPS35	5933	0.009745688177645206	-0.22300163	No	
row_11	PTCD3	PTCD3	6026	0.009339933283627033	-0.22566892	No	
row_12	MRPL18	MRPL18	6146	0.008843779563903809	-0.22984695	No	
row_13	MRPL3	MRPL3	6411	0.007710593752563	-0.24179395	No	
row_14	METTL8	METTL8	6716	0.006460234057158232	-0.25609496	No	
row_15	MRPL45	MRPL45	6915	0.005585731007158756	-0.26509956	No	
row_16	FASTKD3	FASTKD3	7046	0.0050664301961660385	-0.27069706	No	
row_17	MTG2	MTG2	7325	0.003994402009993792	-0.2842052	No	
row_18	GFM2	GFM2	8452	2.4041692086029798E-4	-0.34250218	No	
row_19	MRPS31	MRPS31	8760	-6.830286583863199E-4	-0.3582578	No	
row_20	MRPL28	MRPL28	8892	-0.0011317150201648474	-0.36479193	No	
row_21	DAP3	DAP3	9355	-0.002615869976580143	-0.38814524	No	
row_22	NSUN3	NSUN3	9420	-0.002823504153639078	-0.39082688	No	
row_23	ALKBH1	ALKBH1	9434	-0.0028478738386183977	-0.39086014	No	
row_24	IARS2	IARS2	10170	-0.005300919990986586	-0.42775694	No	
row_25	TRMT10C	TRMT10C	10483	-0.006524348631501198	-0.44245812	No	
row_26	MRPL44	MRPL44	10487	-0.00653417082503438	-0.44114423	No	
row_27	MRPL17	MRPL17	10694	-0.007240301463752985	-0.45019132	No	
row_28	MRPS18C	MRPS18C	11099	-0.00875907577574253	-0.46915755	No	
row_29	TUFM	TUFM	11207	-0.009156479500234127	-0.4726434	No	
row_30	FASTKD2	FASTKD2	11342	-0.009614268317818642	-0.47742552	No	
row_31	C1QBP	C1QBP	11503	-0.010257386602461338	-0.48341036	No	
row_32	LRPPRC	LRPPRC	11807	-0.011423077434301376	-0.49654356	No	
row_33	MRPL50	MRPL50	11961	-0.012051263824105263	-0.5017623	No	
row_34	MTIF2	MTIF2	11964	-0.012069452553987503	-0.4991518	No	
row_35	MRPL35	MRPL35	12439	-0.014204578474164009	-0.520521	No	
row_36	MRPL14	MRPL14	12681	-0.015359662473201752	-0.52955604	No	
row_37	MRPS21	MRPS21	12793	-0.015894772484898567	-0.53173393	No	
row_38	MRPL13	MRPL13	12797	-0.01590833067893982	-0.528312	No	
row_39	MALSU1	MALSU1	12903	-0.016413550823926926	-0.5300624	No	
row_40	MRPS22	MRPS22	12911	-0.016457639634609222	-0.5267242	No	
row_41	MRPL11	MRPL11	13041	-0.017104031518101692	-0.529563	No	
row_42	PTCD1	PTCD1	13377	-0.01903476193547249	-0.54264283	Yes	
row_43	CDK5RAP1	CDK5RAP1	13417	-0.01927817612886429	-0.54032874	Yes	
row_44	MRPS12	MRPS12	13477	-0.019639499485492706	-0.5389698	Yes	
row_45	MRPL39	MRPL39	13539	-0.020038187503814697	-0.5376249	Yes	
row_46	MRPL12	MRPL12	13552	-0.02010226994752884	-0.53372633	Yes	
row_47	MRPS9	MRPS9	13622	-0.02060147561132908	-0.5326693	Yes	
row_48	MRPS30	MRPS30	13624	-0.020627733319997787	-0.52808255	Yes	
row_49	MRPS10	MRPS10	13726	-0.021397365257143974	-0.52850485	Yes	
row_50	GFM1	GFM1	13763	-0.021632393822073936	-0.5255059	Yes	
row_51	MRPL36	MRPL36	13812	-0.021892597898840904	-0.5230703	Yes	
row_52	MRPS26	MRPS26	13996	-0.02299746312201023	-0.52738214	Yes	
row_53	MRPL21	MRPL21	14022	-0.023215442895889282	-0.52345717	Yes	
