NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LILRA2	LILRA2	91	0.3614713251590729	0.04389558	Yes	
row_1	DNASE1L3	DNASE1L3	106	0.3472302556037903	0.08985995	Yes	
row_2	PRAM1	PRAM1	148	0.2972685992717743	0.1277096	Yes	
row_3	CX3CR1	CX3CR1	184	0.2681888937950134	0.1619596	Yes	
row_4	LBP	LBP	356	0.18701395392417908	0.17825873	Yes	
row_5	UNC13D	UNC13D	360	0.1863640546798706	0.20316209	Yes	
row_6	CBL	CBL	405	0.1762714982032776	0.22458723	Yes	
row_7	STXBP2	STXBP2	490	0.15912355482578278	0.24163722	Yes	
row_8	RASGRP1	RASGRP1	532	0.15258431434631348	0.2600326	Yes	
row_9	SPI1	SPI1	627	0.139492467045784	0.27392563	Yes	
row_10	ITGAM	ITGAM	630	0.13864682614803314	0.29246464	Yes	
row_11	SYK	SYK	652	0.1359904259443283	0.3096635	Yes	
row_12	FGR	FGR	710	0.1295594722032547	0.32413515	Yes	
row_13	GATA2	GATA2	723	0.12812690436840057	0.34074232	Yes	
row_14	RAC2	RAC2	735	0.12714168429374695	0.35726872	Yes	
row_15	BTK	BTK	750	0.1256890445947647	0.3734446	Yes	
row_16	PIK3CG	PIK3CG	753	0.12506315112113953	0.39015716	Yes	
row_17	PYCARD	PYCARD	780	0.12232936918735504	0.40526047	Yes	
row_18	ITGB2	ITGB2	786	0.12200488150119781	0.4214066	Yes	
row_19	PIK3CD	PIK3CD	789	0.12175723165273666	0.43767464	Yes	
row_20	ENPP3	ENPP3	836	0.1161942332983017	0.4509183	Yes	
row_21	TYROBP	TYROBP	837	0.1159641444683075	0.46651086	Yes	
row_22	CD300A	CD300A	838	0.1159019023180008	0.48209506	Yes	
row_23	ANXA3	ANXA3	839	0.11587552726268768	0.49767572	Yes	
row_24	CCL3	CCL3	842	0.11551102250814438	0.5131039	Yes	
row_25	FCER1G	FCER1G	856	0.11437288671731949	0.5278099	Yes	
row_26	CLNK	CLNK	867	0.1132933720946312	0.542526	Yes	
row_27	PTGDR	PTGDR	917	0.1092863529920578	0.55468565	Yes	
row_28	PTGDS	PTGDS	918	0.1092534214258194	0.5693759	Yes	
row_29	LAT2	LAT2	952	0.10712326318025589	0.58207244	Yes	
row_30	DOCK2	DOCK2	981	0.10507424175739288	0.59475213	Yes	
row_31	FES	FES	1120	0.09625369310379028	0.60055494	Yes	
row_32	SLAMF1	SLAMF1	1167	0.0933186262845993	0.6107227	Yes	
row_33	GRP	GRP	1188	0.09205807000398636	0.62206614	Yes	
row_34	GATA1	GATA1	1318	0.0845714583992958	0.62676376	Yes	
row_35	ADORA2B	ADORA2B	1322	0.08436328172683716	0.637952	Yes	
row_36	VAMP8	VAMP8	1472	0.07711690664291382	0.6406126	Yes	
row_37	IFNG	IFNG	1473	0.0771113708615303	0.650981	Yes	
row_38	NMI	NMI	1684	0.06878234446048737	0.649365	Yes	
row_39	CD177	CD177	1760	0.06680786609649658	0.6544678	Yes	
row_40	CCR2	CCR2	1871	0.06262771040201187	0.65719783	Yes	
row_41	PTPN6	PTPN6	2001	0.05910864099860191	0.6584717	Yes	
row_42	PLCG2	PLCG2	2092	0.05601544678211212	0.6613473	Yes	
row_43	PTAFR	PTAFR	2150	0.054091423749923706	0.6656715	Yes	
row_44	TNF	TNF	2156	0.053836192935705185	0.67265165	Yes	
row_45	FCER1A	FCER1A	2329	0.049920085817575455	0.6704654	Yes	
row_46	F2RL1	F2RL1	2335	0.049739591777324677	0.6768947	Yes	
row_47	KIT	KIT	2499	0.04625518620014191	0.67468125	Yes	
row_48	TREM2	TREM2	2556	0.045167434960603714	0.6778573	Yes	
row_49	SNAP23	SNAP23	2569	0.04488760232925415	0.68327206	Yes	
row_50	STXBP3	STXBP3	2783	0.04031360149383545	0.6776729	Yes	
row_51	IL33	IL33	2789	0.04018816724419594	0.682818	Yes	
row_52	HAVCR2	HAVCR2	2842	0.03937415033578873	0.68542194	Yes	
row_53	DYSF	DYSF	3076	0.0352814681828022	0.6781115	No	
row_54	PRKCE	PRKCE	3686	0.026574622839689255	0.65017766	No	
row_55	VAMP7	VAMP7	3822	0.02530374564230442	0.6465957	No	
row_56	CD84	CD84	4235	0.021265648305416107	0.62814	No	
row_57	LAT	LAT	5196	0.013778404332697392	0.5803263	No	
row_58	NR4A3	NR4A3	5260	0.013346817344427109	0.5788616	No	
row_59	IL4R	IL4R	5316	0.012950706295669079	0.5777575	No	
row_60	LYN	LYN	5977	0.009533155709505081	0.5448937	No	
row_61	IL13RA2	IL13RA2	6200	0.008632280863821507	0.5345691	No	
row_62	VAMP3	VAMP3	6756	0.0062985168769955635	0.50670266	No	
row_63	SCN11A	SCN11A	7171	0.004562682006508112	0.48589754	No	
row_64	IL13	IL13	7238	0.004277969244867563	0.4830582	No	
row_65	FER	FER	7645	0.002879276406019926	0.46244064	No	
row_66	MRGPRX2	MRGPRX2	8731	-5.685750511474907E-4	0.4063838	No	
row_67	GRN	GRN	8807	-8.113617077469826E-4	0.40261275	No	
row_68	TREX1	TREX1	8866	-0.0010302779264748096	0.3997506	No	
row_69	TICAM1	TICAM1	8913	-0.0012372746132314205	0.3975371	No	
row_70	CPLX2	CPLX2	10581	-0.006824661511927843	0.3122113	No	
row_71	PDPK1	PDPK1	10831	-0.007714640349149704	0.3003664	No	
row_72	STX4	STX4	11071	-0.00865746196359396	0.28916565	No	
row_73	SNX6	SNX6	11272	-0.009378297254443169	0.2800795	No	
row_74	MYD88	MYD88	11386	-0.009755129925906658	0.27554506	No	
row_75	PLA2G3	PLA2G3	12585	-0.014886799268424511	0.21556734	No	
row_76	SUCNR1	SUCNR1	12614	-0.015039931982755661	0.216141	No	
row_77	RABGEF1	RABGEF1	12948	-0.016637329012155533	0.20115006	No	
row_78	GAB2	GAB2	13177	-0.017828768119215965	0.19175158	No	
row_79	C12orf4	C12orf4	13503	-0.019817491993308067	0.17760213	No	
row_80	IFI35	IFI35	13699	-0.02120012789964676	0.17036423	No	
row_81	SBNO2	SBNO2	14659	-0.028009511530399323	0.12451584	No	
row_82	SNX4	SNX4	14781	-0.028908032923936844	0.12214279	No	
row_83	SPHK2	SPHK2	16463	-0.045786887407302856	0.041331545	No	
row_84	STXBP1	STXBP1	16872	-0.05128518119454384	0.027119184	No	
row_85	BCR	BCR	17186	-0.055878981947898865	0.018439403	No	
row_86	CHGA	CHGA	17548	-0.06262890994548798	0.008183903	No	
row_87	DNASE1	DNASE1	17995	-0.07367279380559921	-0.004984171	No	
row_88	VAMP2	VAMP2	18217	-0.08099279552698135	-0.0055274554	No	
row_89	S100A13	S100A13	18244	-0.08189059793949127	0.004138447	No	
row_90	SCNN1B	SCNN1B	18587	-0.09674658626317978	-5.4660265E-4	No	
row_91	FOXF1	FOXF1	18597	-0.09734951704740524	0.012077418	No	
row_92	SLC18A2	SLC18A2	18822	-0.11210942268371582	0.015562876	No	
row_93	LGALS9	LGALS9	18848	-0.11473174393177032	0.029696343	No	
