NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FN1	FN1	7	0.5741158127784729	0.03535714	Yes	
row_1	PLA2G10	PLA2G10	69	0.39382198452949524	0.056682605	Yes	
row_2	LILRA2	LILRA2	91	0.3614713251590729	0.07807939	Yes	
row_3	DNASE1L3	DNASE1L3	106	0.3472302556037903	0.09895482	Yes	
row_4	PRAM1	PRAM1	148	0.2972685992717743	0.11531477	Yes	
row_5	CX3CR1	CX3CR1	184	0.2681888937950134	0.13017799	Yes	
row_6	S100A12	S100A12	202	0.2541860342025757	0.14510784	Yes	
row_7	CD300LF	CD300LF	266	0.22094325721263885	0.15557246	Yes	
row_8	SNCA	SNCA	303	0.20165100693702698	0.16624354	Yes	
row_9	IL6	IL6	326	0.19431431591510773	0.17718759	Yes	
row_10	LBP	LBP	356	0.18701395392417908	0.18731268	Yes	
row_11	UNC13D	UNC13D	360	0.1863640546798706	0.19875206	Yes	
row_12	CBL	CBL	405	0.1762714982032776	0.20742717	Yes	
row_13	PREX1	PREX1	413	0.1747867614030838	0.2179378	Yes	
row_14	THBS1	THBS1	448	0.16753260791301727	0.22659022	Yes	
row_15	BATF	BATF	467	0.16455867886543274	0.23589127	Yes	
row_16	MT1G	MT1G	484	0.1603931337594986	0.24503736	Yes	
row_17	STXBP2	STXBP2	490	0.15912355482578278	0.25467762	Yes	
row_18	C5AR1	C5AR1	530	0.15308693051338196	0.2621707	Yes	
row_19	RASGRP1	RASGRP1	532	0.15258431434631348	0.2716125	Yes	
row_20	CD33	CD33	551	0.14823104441165924	0.27989763	Yes	
row_21	TLR1	TLR1	580	0.14412662386894226	0.28740636	Yes	
row_22	CD2	CD2	613	0.14082331955432892	0.2945011	Yes	
row_23	IL18RAP	IL18RAP	614	0.14077696204185486	0.30326036	Yes	
row_24	SPI1	SPI1	627	0.139492467045784	0.3113144	Yes	
row_25	ITGAM	ITGAM	630	0.13864682614803314	0.31983688	Yes	
row_26	SYK	SYK	652	0.1359904259443283	0.3272041	Yes	
row_27	CCL5	CCL5	671	0.1337711066007614	0.33458954	Yes	
row_28	CTSG	CTSG	672	0.13369500637054443	0.34290814	Yes	
row_29	TLR6	TLR6	696	0.1311957836151123	0.3498728	Yes	
row_30	FGR	FGR	710	0.1295594722032547	0.3572567	Yes	
row_31	CST7	CST7	712	0.12922868132591248	0.3652453	Yes	
row_32	GATA2	GATA2	723	0.12812690436840057	0.3726964	Yes	
row_33	RAC2	RAC2	735	0.12714168429374695	0.3800341	Yes	
row_34	BTK	BTK	750	0.1256890445947647	0.38712507	Yes	
row_35	PIK3CG	PIK3CG	753	0.12506315112113953	0.3948024	Yes	
row_36	PYCARD	PYCARD	780	0.12232936918735504	0.40105906	Yes	
row_37	ITGB2	ITGB2	786	0.12200488150119781	0.40838978	Yes	
row_38	PIK3CD	PIK3CD	789	0.12175723165273666	0.41586137	Yes	
row_39	CEBPA	CEBPA	810	0.11896230280399323	0.42222118	Yes	
row_40	ENPP3	ENPP3	836	0.1161942332983017	0.42814824	Yes	
row_41	TYROBP	TYROBP	837	0.1159641444683075	0.43536362	Yes	
row_42	CD300A	CD300A	838	0.1159019023180008	0.44257513	Yes	
row_43	ANXA3	ANXA3	839	0.11587552726268768	0.44978496	Yes	
row_44	LRRK2	LRRK2	840	0.11570987105369568	0.45698452	Yes	
row_45	CCL3	CCL3	842	0.11551102250814438	0.46411958	Yes	
row_46	FCER1G	FCER1G	856	0.11437288671731949	0.47055858	Yes	
row_47	TLR2	TLR2	864	0.11352262645959854	0.4772573	Yes	
row_48	CLNK	CLNK	867	0.1132933720946312	0.4842023	Yes	
row_49	AIF1	AIF1	873	0.11292823404073715	0.49096823	Yes	
row_50	VSIG4	VSIG4	906	0.11010197550058365	0.49615148	Yes	
row_51	PTGDR	PTGDR	917	0.1092863529920578	0.5024303	Yes	
row_52	PTGDS	PTGDS	918	0.1092534214258194	0.5092281	Yes	
row_53	LAT2	LAT2	952	0.10712326318025589	0.5141739	Yes	
row_54	DOCK2	DOCK2	981	0.10507424175739288	0.5192528	Yes	
row_55	CXCL6	CXCL6	993	0.1042654737830162	0.5251671	Yes	
row_56	C1QA	C1QA	1036	0.10090871155261993	0.5292573	Yes	
row_57	FES	FES	1120	0.09625369310379028	0.5309216	Yes	
row_58	CXCR2	CXCR2	1164	0.09344079345464706	0.534495	Yes	
row_59	SLAMF1	SLAMF1	1167	0.0933186262845993	0.54019713	Yes	
row_60	CXCL8	CXCL8	1169	0.09313951432704926	0.5459402	Yes	
row_61	GRP	GRP	1188	0.09205807000398636	0.5507302	Yes	
row_62	CD74	CD74	1226	0.09000362455844879	0.5544025	Yes	
row_63	FCGR3A	FCGR3A	1249	0.08842006325721741	0.5587577	Yes	
row_64	GATA1	GATA1	1318	0.0845714583992958	0.56047666	Yes	
row_65	ADORA2B	ADORA2B	1322	0.08436328172683716	0.56556946	Yes	
row_66	VAMP8	VAMP8	1472	0.07711690664291382	0.56260407	Yes	
row_67	IFNG	IFNG	1473	0.0771113708615303	0.567402	Yes	
row_68	BPI	BPI	1475	0.07698607444763184	0.57214004	Yes	
row_69	JAK2	JAK2	1502	0.07599054276943207	0.5755135	Yes	
row_70	PRKCD	PRKCD	1578	0.07285360991954803	0.5761386	Yes	
row_71	TSPAN32	TSPAN32	1627	0.07076753675937653	0.5780408	Yes	
row_72	NMI	NMI	1684	0.06878234446048737	0.57940257	Yes	
row_73	CLEC4D	CLEC4D	1700	0.0683031752705574	0.58287084	Yes	
row_74	CD177	CD177	1760	0.06680786609649658	0.5839535	Yes	
row_75	CCR2	CCR2	1871	0.06262771040201187	0.5821187	Yes	
row_76	EDN2	EDN2	1872	0.06255466490983963	0.5860109	Yes	
row_77	IFNGR2	IFNGR2	1917	0.06118800491094589	0.5875254	Yes	
row_78	RBPJ	RBPJ	1942	0.060251761227846146	0.5900238	Yes	
row_79	ATM	ATM	1981	0.059490982443094254	0.5917454	Yes	
row_80	PTPN6	PTPN6	2001	0.05910864099860191	0.5944332	Yes	
row_81	TGFBR2	TGFBR2	2082	0.05632215365767479	0.59376913	Yes	
row_82	PLCG2	PLCG2	2092	0.05601544678211212	0.59678555	Yes	
row_83	STK39	STK39	2106	0.05539742112159729	0.599555	Yes	
row_84	PTAFR	PTAFR	2150	0.054091423749923706	0.6006801	Yes	
row_85	TNF	TNF	2156	0.053836192935705185	0.6037693	Yes	
