NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERCC6	ERCC6	4602	0.018145106732845306	-0.22398758	No	
row_1	RPS3	RPS3	4779	0.016848361119627953	-0.22066732	No	
row_2	TERF2	TERF2	4886	0.01593783311545849	-0.21440692	No	
row_3	SMCHD1	SMCHD1	6198	0.008637337014079094	-0.2756637	No	
row_4	MAD2L2	MAD2L2	6933	0.005513160489499569	-0.30946165	No	
row_5	PLK1	PLK1	7332	0.003960420377552509	-0.3270736	No	
row_6	UBQLN4	UBQLN4	7572	0.0031281111296266317	-0.33709785	No	
row_7	RNF169	RNF169	11242	-0.009280395694077015	-0.51949054	No	
row_8	C1QBP	C1QBP	11503	-0.010257386602461338	-0.52535206	No	
row_9	HMGA2	HMGA2	11908	-0.011816741898655891	-0.53749275	No	
row_10	KMT5A	KMT5A	13112	-0.017497608438134193	-0.5866602	No	
row_11	RIF1	RIF1	13574	-0.020287802442908287	-0.5955075	No	
row_12	SENP3	SENP3	13714	-0.021267270669341087	-0.58702755	No	
row_13	TFIP11	TFIP11	14240	-0.024787722155451775	-0.5958645	Yes	
row_14	HSF1	HSF1	14334	-0.025392645969986916	-0.5819767	Yes	
row_15	CSNK2A1	CSNK2A1	14593	-0.027546603232622147	-0.5750136	Yes	
row_16	RMI2	RMI2	14998	-0.030784906819462776	-0.5731974	Yes	
row_17	KLHL15	KLHL15	15486	-0.035118307918310165	-0.5724732	Yes	
row_18	OTUB1	OTUB1	15843	-0.03844226151704788	-0.5625472	Yes	
row_19	ABL1	ABL1	16016	-0.04043431207537651	-0.541666	Yes	
row_20	HELB	HELB	16517	-0.04650423303246498	-0.5332344	Yes	
row_21	KAT5	KAT5	16580	-0.047241438180208206	-0.50167143	Yes	
row_22	TP53BP1	TP53BP1	16668	-0.04858599975705147	-0.47040847	Yes	
row_23	MAGEF1	MAGEF1	16846	-0.050991374999284744	-0.4420172	Yes	
row_24	OGG1	OGG1	17230	-0.0564490407705307	-0.42023414	Yes	
row_25	OTUB2	OTUB2	17332	-0.05840647965669632	-0.38246724	Yes	
row_26	POLQ	POLQ	17537	-0.06243410333991051	-0.34704882	Yes	
row_27	NUDT16L1	NUDT16L1	17578	-0.063258595764637	-0.30256572	Yes	
row_28	RECQL5	RECQL5	17733	-0.06685701012611389	-0.26131424	Yes	
row_29	FANCB	FANCB	18269	-0.08257908374071121	-0.22814369	Yes	
row_30	PARPBP	PARPBP	18506	-0.09234056621789932	-0.17237027	Yes	
row_31	TWIST1	TWIST1	19083	-0.14195109903812408	-0.09762798	Yes	
row_32	AUNIP	AUNIP	19156	-0.15637268126010895	0.013718562	Yes	
