NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMARCC1	SMARCC1	2177	0.053332772105932236	-0.08403161	No	
row_1	EIF3H	EIF3H	3078	0.035239193588495255	-0.11176319	No	
row_2	WAC	WAC	4371	0.019936297088861465	-0.16785844	No	
row_3	CAMLG	CAMLG	6222	0.008548625744879246	-0.2588054	No	
row_4	GABARAPL2	GABARAPL2	6368	0.007895859889686108	-0.2620946	No	
row_5	TTC36	TTC36	6505	0.007307836785912514	-0.2652317	No	
row_6	CSNK2A2	CSNK2A2	6608	0.006907500326633453	-0.26682657	No	
row_7	UCHL5	UCHL5	6641	0.006755791138857603	-0.26488894	No	
row_8	OGT	OGT	7267	0.004193044267594814	-0.29492092	No	
row_9	PRKCG	PRKCG	7565	0.0031514016445726156	-0.3085764	No	
row_10	UBXN1	UBXN1	7757	0.00255664624273777	-0.31707665	No	
row_11	KLHL40	KLHL40	7787	0.0024663156364113092	-0.31726316	No	
row_12	TLK2	TLK2	7819	0.0023520945105701685	-0.31761357	No	
row_13	BAG5	BAG5	8036	0.0016305629396811128	-0.32789624	No	
row_14	PSMF1	PSMF1	8065	0.0015385841252282262	-0.32852402	No	
row_15	STYX	STYX	8491	1.3227172894403338E-4	-0.35039037	No	
row_16	RPL11	RPL11	8685	-4.289374628569931E-4	-0.3601243	No	
row_17	PHF20L1	PHF20L1	8707	-5.023961421102285E-4	-0.3609413	No	
row_18	F8A1	F8A1	9923	-0.004453025758266449	-0.42128834	No	
row_19	F8A3	F8A3	10330	-0.005939007271081209	-0.43908888	No	
row_20	HSP90AB1	HSP90AB1	10841	-0.007760737091302872	-0.46128958	No	
row_21	TRIM39	TRIM39	10946	-0.00818802323192358	-0.46230733	No	
row_22	CCAR2	CCAR2	12023	-0.012306476011872292	-0.5113073	No	
row_23	CSNK2B	CSNK2B	13835	-0.022035442292690277	-0.59307575	No	
row_24	USP26	USP26	13879	-0.022291315719485283	-0.5834519	No	
row_25	CSNK2A1	CSNK2A1	14593	-0.027546603232622147	-0.6056184	No	
row_26	HFE	HFE	14849	-0.029544631019234657	-0.6030835	No	
row_27	ALAD	ALAD	15254	-0.03284565731883049	-0.6064854	Yes	
row_28	USP14	USP14	15408	-0.03432472422719002	-0.596146	Yes	
row_29	SHH	SHH	15504	-0.035357553511857986	-0.5822642	Yes	
row_30	GIPC1	GIPC1	15557	-0.03578603267669678	-0.5659352	Yes	
row_31	N4BP1	N4BP1	15737	-0.03749833628535271	-0.5552517	Yes	
row_32	FHIT	FHIT	15767	-0.037715449929237366	-0.5367105	Yes	
row_33	USP38	USP38	15970	-0.03986909240484238	-0.52595454	Yes	
row_34	PARK7	PARK7	16050	-0.04088590294122696	-0.50830966	Yes	
row_35	UBXN2A	UBXN2A	16199	-0.04266023635864258	-0.49328357	Yes	
row_36	MTM1	MTM1	16219	-0.042857348918914795	-0.47149435	Yes	
row_37	LAMP3	LAMP3	16411	-0.04504276067018509	-0.4574219	Yes	
row_38	MAP1A	MAP1A	16432	-0.045340847223997116	-0.4343648	Yes	
row_39	BAG6	BAG6	17138	-0.05518004298210144	-0.44143686	Yes	
row_40	USP7	USP7	17286	-0.05725317448377609	-0.41860598	Yes	
row_41	USP9X	USP9X	17301	-0.057552605867385864	-0.38875112	Yes	
row_42	USP25	USP25	17826	-0.06883370876312256	-0.37922662	Yes	
row_43	DDRGK1	DDRGK1	18430	-0.08922354876995087	-0.36294672	Yes	
row_44	SGTA	SGTA	18598	-0.0973820686340332	-0.31982785	Yes	
row_45	RYBP	RYBP	18647	-0.09997955709695816	-0.26918668	Yes	
row_46	AQP11	AQP11	19023	-0.13464418053627014	-0.21700664	Yes	
row_47	OPHN1	OPHN1	19188	-0.1624603271484375	-0.1391571	Yes	
row_48	PBK	PBK	19405	-0.2845560312271118	8.773451E-4	Yes	
