NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGFB2	TGFB2	520	0.15425793826580048	0.059657928	No	
row_1	NRP1	NRP1	1625	0.0707840770483017	0.04242081	No	
row_2	NRP2	NRP2	1891	0.062028493732213974	0.063527875	No	
row_3	TGFBR2	TGFBR2	2082	0.05632215365767479	0.0853028	No	
row_4	BMPR2	BMPR2	2802	0.03994939103722572	0.0706296	No	
row_5	PARVA	PARVA	4654	0.01769128441810608	-0.014876273	No	
row_6	TBX20	TBX20	5016	0.014948008581995964	-0.025107767	No	
row_7	ROBO2	ROBO2	7713	0.0026713861152529716	-0.1625938	No	
row_8	ENG	ENG	7873	0.002197343623265624	-0.16955887	No	
row_9	SMAD4	SMAD4	8838	-9.352532215416431E-4	-0.21873048	No	
row_10	BMPR1A	BMPR1A	8947	-0.001324970624409616	-0.22355539	No	
row_11	NKX2-5	NKX2-5	9444	-0.0028785760514438152	-0.24751154	No	
row_12	GATA6	GATA6	9777	-0.003929294645786285	-0.26242426	No	
row_13	ACVR1	ACVR1	10823	-0.007691723294556141	-0.31198442	No	
row_14	FGF8	FGF8	12073	-0.012516156770288944	-0.36935693	No	
row_15	TBX1	TBX1	12666	-0.015245499089360237	-0.3913301	No	
row_16	ROBO1	ROBO1	13600	-0.020436814054846764	-0.42797258	No	
row_17	SEMA3C	SEMA3C	14051	-0.02338772639632225	-0.43806154	No	
row_18	ZFPM2	ZFPM2	18984	-0.12902717292308807	-0.61999214	Yes	
row_19	SMAD6	SMAD6	18999	-0.13128656148910522	-0.547125	Yes	
row_20	MSX2	MSX2	19128	-0.15115928649902344	-0.46899563	Yes	
row_21	BMP4	BMP4	19200	-0.16471964120864868	-0.380327	Yes	
row_22	TBX2	TBX2	19300	-0.20178565382957458	-0.27232552	Yes	
row_23	LRP2	LRP2	19337	-0.21501851081848145	-0.15365899	Yes	
row_24	ISL1	ISL1	19403	-0.28186196088790894	9.796951E-4	Yes	
