NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EBI3	EBI3	33	0.4756406843662262	0.028467698	Yes	
row_1	HLA-G	HLA-G	111	0.3407754600048065	0.046078295	Yes	
row_2	HLA-DRB5	HLA-DRB5	134	0.3158223330974579	0.06497606	Yes	
row_3	GATA3	GATA3	135	0.3155768811702728	0.08500665	Yes	
row_4	HLA-DRB1	HLA-DRB1	155	0.2888084053993225	0.10234635	Yes	
row_5	IGF2	IGF2	160	0.285564661026001	0.120263174	Yes	
row_6	ADAM8	ADAM8	261	0.22353599965572357	0.12923163	Yes	
row_7	PDCD1LG2	PDCD1LG2	311	0.19811639189720154	0.13924885	Yes	
row_8	IL6	IL6	326	0.19431431591510773	0.15085174	Yes	
row_9	NOD2	NOD2	434	0.17130976915359497	0.15613985	Yes	
row_10	IL7R	IL7R	437	0.1701515167951584	0.16683547	Yes	
row_11	EFNB1	EFNB1	455	0.16674424707889557	0.1765318	Yes	
row_12	SIRPB1	SIRPB1	458	0.1666029840707779	0.18700218	Yes	
row_13	ZP4	ZP4	526	0.15379397571086884	0.19326653	Yes	
row_14	RASGRP1	RASGRP1	532	0.15258431434631348	0.2026905	Yes	
row_15	IGF1	IGF1	537	0.15075930953025818	0.21205083	Yes	
row_16	VTCN1	VTCN1	538	0.1504555195569992	0.22160068	Yes	
row_17	FCHO1	FCHO1	598	0.14218221604824066	0.22754559	Yes	
row_18	CD1D	CD1D	603	0.14194582402706146	0.2363465	Yes	
row_19	ITGA4	ITGA4	606	0.1416163593530655	0.2452309	Yes	
row_20	ELANE	ELANE	610	0.14121870696544647	0.25403786	Yes	
row_21	CD160	CD160	612	0.14106251299381256	0.2629393	Yes	
row_22	SYK	SYK	652	0.1359904259443283	0.2695352	Yes	
row_23	CD209	CD209	667	0.13414721190929413	0.27731913	Yes	
row_24	CCL5	CCL5	671	0.1337711066007614	0.28565338	Yes	
row_25	VAV1	VAV1	687	0.13210347294807434	0.29325536	Yes	
row_26	CORO1A	CORO1A	715	0.12893307209014893	0.30002972	Yes	
row_27	TNFSF4	TNFSF4	769	0.12356238812208176	0.30510595	Yes	
row_28	LEP	LEP	777	0.12279628962278366	0.3125348	Yes	
row_29	PYCARD	PYCARD	780	0.12232936918735504	0.32019502	Yes	
row_30	ITGB2	ITGB2	786	0.12200488150119781	0.32767802	Yes	
row_31	HLA-DOA	HLA-DOA	794	0.12141101062297821	0.33501893	Yes	
row_32	HLA-DPB1	HLA-DPB1	828	0.11737644672393799	0.34074655	Yes	
row_33	BCL6	BCL6	845	0.11507319658994675	0.34721538	Yes	
row_34	AIF1	AIF1	873	0.11292823404073715	0.35297385	Yes	
row_35	CD27	CD27	901	0.11048281937837601	0.3585771	Yes	
row_36	SIRPA	SIRPA	948	0.10745362937450409	0.36299628	Yes	
row_37	HLA-DRA	HLA-DRA	1000	0.10388827323913574	0.36692816	Yes	
row_38	CR1	CR1	1063	0.0992097407579422	0.3699889	Yes	
row_39	HLA-DPA1	HLA-DPA1	1125	0.09584903717041016	0.3728885	Yes	
row_40	NLRP3	NLRP3	1133	0.09547854959964752	0.3785834	Yes	
row_41	GP1BA	GP1BA	1159	0.09374434500932693	0.38322863	Yes	
row_42	SLAMF1	SLAMF1	1167	0.0933186262845993	0.38878644	Yes	
row_43	CD47	CD47	1168	0.09328483790159225	0.39470747	Yes	
row_44	CD4	CD4	1191	0.09190387278795242	0.3993925	Yes	
row_45	SASH3	SASH3	1195	0.09177432209253311	0.40506107	Yes	
row_46	HLA-DRB3	HLA-DRB3	1220	0.09015842527151108	0.40953088	Yes	
row_47	CD74	CD74	1226	0.09000362455844879	0.41498268	Yes	
row_48	TNFSF13B	TNFSF13B	1239	0.0889180600643158	0.42000017	Yes	
row_49	DOCK8	DOCK8	1258	0.08787734061479568	0.4246384	Yes	
row_50	VCAM1	VCAM1	1346	0.08344150334596634	0.42539325	Yes	
row_51	PRKCQ	PRKCQ	1362	0.08239687234163284	0.4298402	Yes	
row_52	LILRB2	LILRB2	1367	0.08207232505083084	0.43484077	Yes	
row_53	GPAM	GPAM	1419	0.07941325753927231	0.43721917	Yes	
row_54	BCL10	BCL10	1433	0.07891961932182312	0.4415498	Yes	
row_55	IFNG	IFNG	1473	0.0771113708615303	0.44440848	Yes	
row_56	CD6	CD6	1498	0.07614514231681824	0.44798884	Yes	
row_57	JAK2	JAK2	1502	0.07599054276943207	0.45265558	Yes	
row_58	CD86	CD86	1507	0.07568219304084778	0.45725057	Yes	
row_59	HLA-DOB	HLA-DOB	1530	0.07483121007680893	0.4608519	Yes	
row_60	HLA-DMA	HLA-DMA	1592	0.07241417467594147	0.46226403	Yes	
row_61	CCL21	CCL21	1597	0.07210978865623474	0.46663225	Yes	
row_62	EFNB3	EFNB3	1606	0.07178589701652527	0.4707711	Yes	
row_63	CD80	CD80	1637	0.07057611644268036	0.47368476	Yes	
row_64	SLC7A1	SLC7A1	1640	0.07039295881986618	0.4780484	Yes	
row_65	VNN1	VNN1	1665	0.06937060505151749	0.48119876	Yes	
row_66	IL6ST	IL6ST	1680	0.06888947635889053	0.48484057	Yes	
row_67	LEF1	LEF1	1687	0.06873048096895218	0.4888899	Yes	
row_68	CD5	CD5	1730	0.0675591230392456	0.49098566	Yes	
row_69	HLA-DMB	HLA-DMB	1733	0.06749985367059708	0.49516568	Yes	
row_70	FLOT2	FLOT2	1753	0.06699879467487335	0.4984265	Yes	
row_71	SKAP1	SKAP1	1754	0.06699107587337494	0.5026786	Yes	
row_72	CCL19	CCL19	1763	0.06675305217504501	0.50649804	Yes	
row_73	FUT7	FUT7	1775	0.06640510261058807	0.51013875	Yes	
row_74	MAP3K8	MAP3K8	1791	0.06577207148075104	0.5135305	Yes	
row_75	IL4I1	IL4I1	1821	0.06462296843528748	0.51611847	Yes	
row_76	CCR2	CCR2	1871	0.06262771040201187	0.5175358	Yes	
row_77	DPP4	DPP4	1886	0.06218165159225464	0.5207519	Yes	
row_78	SELP	SELP	1906	0.06150924414396286	0.52366424	Yes	
row_79	SOX4	SOX4	1931	0.0605073980987072	0.52625203	Yes	
row_80	CCL2	CCL2	1967	0.0597388781607151	0.52821684	Yes	
row_81	CD276	CD276	2000	0.05912002921104431	0.53029895	Yes	
row_82	PTPN6	PTPN6	2001	0.05910864099860191	0.5340507	Yes	
row_83	FOXO3	FOXO3	2020	0.058534037321805954	0.53682643	Yes	
row_84	IL7	IL7	2042	0.057802457362413406	0.53939915	Yes	
row_85	TGFBR2	TGFBR2	2082	0.05632215365767479	0.54093826	Yes	
row_86	RUNX3	RUNX3	2121	0.05497121810913086	0.5424438	Yes	
row_87	CD44	CD44	2126	0.054894834756851196	0.5457194	Yes	
row_88	CSK	CSK	2136	0.05456075817346573	0.5487127	Yes	
row_89	CD83	CD83	2141	0.05434883013367653	0.55195355	Yes	
row_90	PTAFR	PTAFR	2150	0.054091423749923706	0.5549693	Yes	
row_91	TNF	TNF	2156	0.053836192935705185	0.55812544	Yes	
row_92	SMARCC1	SMARCC1	2177	0.053332772105932236	0.56046665	Yes	
row_93	SMARCD3	SMARCD3	2196	0.05305430293083191	0.5628945	Yes	
row_94	ICOS	ICOS	2255	0.05147485062479973	0.5631342	Yes	
row_95	XCL1	XCL1	2365	0.04896342754364014	0.56055224	Yes	
row_96	IL2RG	IL2RG	2454	0.04693417251110077	0.55893767	Yes	
row_97	IRAK1	IRAK1	2509	0.0460616759955883	0.5590425	Yes	
row_98	IL2RA	IL2RA	2515	0.04587237536907196	0.56169313	Yes	
row_99	ALOX5	ALOX5	2532	0.04563460499048233	0.5637545	Yes	
row_100	IL12RB1	IL12RB1	2553	0.04523741081357002	0.56558186	Yes	
row_101	SOX12	SOX12	2597	0.0443589985370636	0.5661528	Yes	
row_102	CD3E	CD3E	2623	0.04385408014059067	0.56763136	Yes	
row_103	ITPKB	ITPKB	2629	0.043659839779138565	0.5701416	Yes	
row_104	TNFRSF14	TNFRSF14	2632	0.0435919351875782	0.5728041	Yes	
row_105	HSPH1	HSPH1	2646	0.043002527207136154	0.57485497	Yes	
row_106	CD28	CD28	2712	0.041615065187215805	0.5741034	Yes	
row_107	PTPRC	PTPRC	2792	0.04014039412140846	0.5725274	Yes	
row_108	CCR7	CCR7	2796	0.039999451488256454	0.5749097	Yes	
row_109	CAV1	CAV1	2823	0.03968936949968338	0.5760717	Yes	
row_110	HAVCR2	HAVCR2	2842	0.03937415033578873	0.5776313	Yes	
row_111	FUT4	FUT4	2853	0.03922566398978233	0.579599	Yes	
row_112	HLA-DRB4	HLA-DRB4	2908	0.03807135671377182	0.57919675	Yes	
row_113	GCNT1	GCNT1	2941	0.03735193610191345	0.57989717	Yes	
row_114	DUSP10	DUSP10	3164	0.03371499851346016	0.5704487	No	
row_115	CYLD	CYLD	3239	0.03262125700712204	0.56865644	No	
row_116	PIK3CA	PIK3CA	3279	0.03193967416882515	0.5686479	No	
row_117	CBFB	CBFB	3402	0.03003844991326332	0.56418616	No	
row_118	LILRB1	LILRB1	3462	0.029222236946225166	0.56296116	No	
row_119	SPTA1	SPTA1	3487	0.028964102268218994	0.5635468	No	
row_120	ETS1	ETS1	3501	0.028783220797777176	0.5646951	No	
row_121	NCK2	NCK2	3584	0.027852151542901993	0.56218255	No	
row_122	PPP3CA	PPP3CA	3699	0.026509147137403488	0.5579144	No	
row_123	TNFSF9	TNFSF9	3837	0.025097548961639404	0.55235595	No	
row_124	TGFB1	TGFB1	3874	0.024869229644536972	0.55205524	No	
row_125	MALT1	MALT1	3942	0.024219010025262833	0.5500951	No	
row_126	ZBTB16	ZBTB16	4197	0.021528543904423714	0.5382027	No	
row_127	HLA-E	HLA-E	4320	0.020473960787057877	0.5331338	No	
row_128	SIRPG	SIRPG	4337	0.020306533202528954	0.5335875	No	
row_129	RAG1	RAG1	4357	0.02007955126464367	0.5338702	No	
row_130	AKT1	AKT1	4410	0.019665246829390526	0.532404	No	
row_131	PHF10	PHF10	4568	0.018471766263246536	0.525381	No	
row_132	TMIGD2	TMIGD2	4624	0.017986029386520386	0.52365166	No	
row_133	RARA	RARA	4633	0.017915885895490646	0.5243712	No	
row_134	EPO	EPO	4657	0.01766609586775303	0.52429193	No	
row_135	RPS3	RPS3	4779	0.016848361119627953	0.5190451	No	
row_136	CD40LG	CD40LG	4794	0.016751395538449287	0.5193776	No	
row_137	NFKBID	NFKBID	4877	0.016049833968281746	0.5161159	No	
row_138	AGER	AGER	4907	0.015794694423675537	0.5156046	No	
row_139	HMGB1	HMGB1	5051	0.014707732014358044	0.50907356	No	
row_140	RHOA	RHOA	5090	0.01444021612405777	0.5080065	No	
row_141	IL36B	IL36B	5100	0.014363487251102924	0.50844836	No	
row_142	IL2	IL2	5137	0.014073195867240429	0.50746244	No	
row_143	IHH	IHH	5183	0.013843863271176815	0.5059921	No	
row_144	NR4A3	NR4A3	5260	0.013346817344427109	0.50287205	No	
row_145	IL4R	IL4R	5316	0.012950706295669079	0.5008231	No	
row_146	SMARCC2	SMARCC2	5398	0.01247259322553873	0.49738654	No	
row_147	SMARCA2	SMARCA2	5412	0.012365368194878101	0.4974928	No	
row_148	EP300	EP300	5449	0.012168396264314651	0.49638596	No	
row_149	TYK2	TYK2	5467	0.012108581140637398	0.4962671	No	
row_150	RHOH	RHOH	5676	0.010933260433375835	0.48610345	No	
row_151	TRAF6	TRAF6	5699	0.010804172605276108	0.4856408	No	
row_152	LCK	LCK	5742	0.010570538230240345	0.48411933	No	
row_153	LYN	LYN	5977	0.009533155709505081	0.47250956	No	
row_154	FOXP3	FOXP3	5996	0.009466081857681274	0.4721708	No	
row_155	ACTL6A	ACTL6A	6005	0.009435245767235756	0.4723521	No	
row_156	PBRM1	PBRM1	6056	0.009255809709429741	0.47032958	No	
row_157	CD70	CD70	6351	0.00792499165982008	0.45548573	No	
row_158	ARID1A	ARID1A	6390	0.00782066024839878	0.4539985	No	
row_159	AP3B1	AP3B1	6398	0.007770902942866087	0.45412636	No	
row_160	ZMIZ1	ZMIZ1	6491	0.007342290133237839	0.44978997	No	
row_161	FBXO38	FBXO38	6794	0.006070558913052082	0.4344108	No	
row_162	ANXA1	ANXA1	6826	0.005944819189608097	0.43316993	No	
row_163	YES1	YES1	7339	0.00394341628998518	0.40669373	No	
row_164	ACTB	ACTB	7384	0.0037902884650975466	0.4046375	No	
row_165	PTPN11	PTPN11	7387	0.003773814532905817	0.4047726	No	
row_166	IL15	IL15	7392	0.0037611054722219706	0.40480256	No	
row_167	RUNX1	RUNX1	7430	0.0036347222048789263	0.40310186	No	
row_168	ABL2	ABL2	7476	0.003470857860520482	0.40097314	No	
row_169	ARID2	ARID2	7741	0.0025941827334463596	0.38735694	No	
row_170	HHLA2	HHLA2	7756	0.0025600942317396402	0.38678864	No	
row_171	OPA1	OPA1	7849	0.0022658437956124544	0.38213003	No	
row_172	LGALS1	LGALS1	7978	0.0018681528745219111	0.375567	No	
row_173	IL23R	IL23R	8102	0.0013945014216005802	0.36923486	No	
