NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCF1C	NCF1C	209	0.25156065821647644	0.06365071	Yes	
row_1	NCF1	NCF1	220	0.24228516221046448	0.13482112	Yes	
row_2	NCF2	NCF2	280	0.2168358713388443	0.19593439	Yes	
row_3	S100A9	S100A9	354	0.18732379376888275	0.24759364	Yes	
row_4	LBP	LBP	356	0.18701395392417908	0.30287486	Yes	
row_5	JCHAIN	JCHAIN	368	0.18346624076366425	0.35659063	Yes	
row_6	HCK	HCK	402	0.1764581948518753	0.40709817	Yes	
row_7	RAC3	RAC3	407	0.17616724967956543	0.4590154	Yes	
row_8	NCF1B	NCF1B	553	0.1480768620967865	0.4953488	Yes	
row_9	NCF4	NCF4	680	0.13283218443393707	0.5281517	Yes	
row_10	RAC2	RAC2	735	0.12714168429374695	0.5629846	Yes	
row_11	PIK3CG	PIK3CG	753	0.12506315112113953	0.59911084	Yes	
row_12	PIK3CD	PIK3CD	789	0.12175723165273666	0.6333305	Yes	
row_13	CLEC7A	CLEC7A	898	0.11076729744672775	0.6605334	Yes	
row_14	CAMK1D	CAMK1D	922	0.10895894467830658	0.69158536	Yes	
row_15	CD52	CD52	931	0.10867780447006226	0.7233278	Yes	
row_16	SLAMF8	SLAMF8	1052	0.09988018870353699	0.7466905	Yes	
row_17	CYBB	CYBB	1097	0.09728261083364487	0.77320457	Yes	
row_18	NOXA1	NOXA1	1418	0.07941987365484238	0.78019786	Yes	
row_19	MPO	MPO	1739	0.06736497581005096	0.7836245	Yes	
row_20	TREM2	TREM2	2556	0.045167434960603714	0.7549005	No	
row_21	SLC11A1	SLC11A1	2840	0.039387766271829605	0.7519577	No	
row_22	LIPA	LIPA	2922	0.03792276605963707	0.7590003	No	
row_23	RAC1	RAC1	3136	0.03419311344623566	0.75813097	No	
row_24	DUSP10	DUSP10	3164	0.03371499851346016	0.7667138	No	
row_25	CYBA	CYBA	5575	0.01146923191845417	0.6458036	No	
row_26	RPS19	RPS19	6810	0.006011373363435268	0.5839346	No	
row_27	GRN	GRN	8807	-8.113617077469826E-4	0.48122436	No	
row_28	NOX1	NOX1	8958	-0.0013530373107641935	0.47388795	No	
row_29	NOXO1	NOXO1	9455	-0.0029110368341207504	0.44916642	No	
row_30	CD55	CD55	13875	-0.02227984368801117	0.22783399	No	
row_31	CD24	CD24	14350	-0.02549874782562256	0.21093033	No	
row_32	INS	INS	15270	-0.033007483929395676	0.17329597	No	
row_33	BCR	BCR	17186	-0.055878981947898865	0.09105674	No	
row_34	INSR	INSR	18243	-0.08186120539903641	0.06081077	No	
