NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WARS2	WARS2	1199	0.09144452214241028	-0.046793498	No	
row_1	TRMT61B	TRMT61B	1508	0.07563818246126175	-0.04998283	No	
row_2	TARBP1	TARBP1	1619	0.07129222899675369	-0.043623485	No	
row_3	NARS2	NARS2	2041	0.05783303827047348	-0.055697564	No	
row_4	OSGEPL1	OSGEPL1	2336	0.049727704375982285	-0.06254753	No	
row_5	DTWD1	DTWD1	2386	0.04851549118757248	-0.056876823	No	
row_6	TRMT12	TRMT12	2488	0.04645434767007828	-0.054256186	No	
row_7	TRIT1	TRIT1	2619	0.04391228407621384	-0.05357237	No	
row_8	ZCCHC7	ZCCHC7	3467	0.029199400916695595	-0.092623	No	
row_9	DTD2	DTD2	3577	0.02791765332221985	-0.093557015	No	
row_10	TRMT13	TRMT13	3742	0.026059089228510857	-0.09766262	No	
row_11	GTF3C4	GTF3C4	3869	0.024909615516662598	-0.09998906	No	
row_12	TSEN15	TSEN15	4086	0.022809473797678947	-0.107345976	No	
row_13	GON7	GON7	4089	0.02275046706199646	-0.10359717	No	
row_14	PUS7	PUS7	4164	0.021915938705205917	-0.10372955	No	
row_15	MTO1	MTO1	4329	0.020397743210196495	-0.10879388	No	
row_16	AKT1	AKT1	4410	0.019665246829390526	-0.109619066	No	
row_17	CLP1	CLP1	4635	0.017849158495664597	-0.11823154	No	
row_18	RARS2	RARS2	4820	0.016489233821630478	-0.1249966	No	
row_19	FAM98B	FAM98B	4889	0.015905745327472687	-0.12583514	No	
row_20	PUS10	PUS10	5240	0.01347628515213728	-0.14173292	No	
row_21	ADAT2	ADAT2	5411	0.012368849478662014	-0.14846855	No	
row_22	THUMPD1	THUMPD1	5527	0.01178830023854971	-0.15244566	No	
row_23	RPUSD4	RPUSD4	5642	0.01110802125185728	-0.15648602	No	
row_24	RPP30	RPP30	5768	0.010480741038918495	-0.16120398	No	
row_25	BRF1	BRF1	5851	0.010059736669063568	-0.16375971	No	
row_26	B3GNTL1	B3GNTL1	6127	0.008939065039157867	-0.17653015	No	
row_27	GRSF1	GRSF1	6164	0.008778994902968407	-0.1769134	No	
row_28	TRMT10B	TRMT10B	6307	0.00812821090221405	-0.18291278	No	
row_29	SSB	SSB	6379	0.007864486426115036	-0.1852689	No	
row_30	DICER1	DICER1	6463	0.007463191170245409	-0.18831627	No	
row_31	TSEN34	TSEN34	6710	0.006485417950898409	-0.19999589	No	
row_32	METTL8	METTL8	6716	0.006460234057158232	-0.19916159	No	
row_33	THG1L	THG1L	7019	0.005181803368031979	-0.21397075	No	
row_34	MTFMT	MTFMT	7087	0.004922445863485336	-0.21661732	No	
row_35	HARS2	HARS2	7179	0.004538793116807938	-0.22057547	No	
row_36	DUS3L	DUS3L	7438	0.0036047035828232765	-0.23336624	No	
row_37	DDX1	DDX1	7566	0.003150074277073145	-0.23942949	No	
row_38	NSUN2	NSUN2	7585	0.0030959465075284243	-0.23984018	No	
row_39	TYW1	TYW1	7874	0.002196808345615864	-0.25442764	No	
row_40	ANG	ANG	7969	0.0018908552592620254	-0.25899005	No	
row_41	TSEN2	TSEN2	7986	0.001831723260693252	-0.25951093	No	
row_42	PUS1	PUS1	8752	-6.608915864489973E-4	-0.29913515	No	
row_43	CTAG1B	CTAG1B	9173	-0.0020323621574789286	-0.3206069	No	
row_44	FTSJ1	FTSJ1	9272	-0.00237580225802958	-0.32529494	No	
row_45	GTDC1	GTDC1	9328	-0.002541671507060528	-0.32772136	No	
row_46	NSUN3	NSUN3	9420	-0.002823504153639078	-0.33196998	No	
row_47	ALKBH1	ALKBH1	9434	-0.0028478738386183977	-0.33216298	No	
row_48	RPP14	RPP14	9669	-0.0035791932605206966	-0.34371144	No	
row_49	TRUB1	TRUB1	10160	-0.0052696638740599155	-0.36827093	No	
row_50	IARS2	IARS2	10170	-0.005300919990986586	-0.36784074	No	
row_51	RPP38	RPP38	10213	-0.005469087511301041	-0.36909616	No	
row_52	BCDIN3D	BCDIN3D	10431	-0.006341026164591312	-0.3792939	No	
row_53	TRMT10C	TRMT10C	10483	-0.006524348631501198	-0.3808381	No	
row_54	THUMPD2	THUMPD2	10534	-0.006667467765510082	-0.38230613	No	
row_55	TPRKB	TPRKB	10539	-0.00668188463896513	-0.38138235	No	
row_56	POLR3A	POLR3A	10760	-0.00749567523598671	-0.39154035	No	
row_57	ALKBH8	ALKBH8	10836	-0.0077312118373811245	-0.3941268	No	
row_58	GTPBP3	GTPBP3	10867	-0.007878189906477928	-0.39435095	No	
row_59	TRMT1L	TRMT1L	10884	-0.007945748046040535	-0.39383647	No	
row_60	ELP3	ELP3	10885	-0.007949062623083591	-0.39249033	No	
row_61	TRMT5	TRMT5	10929	-0.008109032176434994	-0.39335063	No	
row_62	CTAG1A	CTAG1A	11564	-0.010452589951455593	-0.42451215	No	
row_63	DUS4L	DUS4L	11565	-0.010454709641635418	-0.4227417	No	
row_64	POLR2F	POLR2F	11724	-0.01112597156316042	-0.4290645	No	
row_65	RPP21	RPP21	11808	-0.011424328200519085	-0.43144107	No	
row_66	TRPT1	TRPT1	12110	-0.012707438319921494	-0.44492388	No	
row_67	LSM6	LSM6	12120	-0.012754416093230247	-0.44323143	No	
row_68	DTWD2	DTWD2	12233	-0.01323249563574791	-0.44680816	No	
row_69	PNPT1	PNPT1	12340	-0.013685869053006172	-0.44999644	No	
row_70	OSGEP	OSGEP	12372	-0.013882482424378395	-0.4492557	No	
row_71	ELP6	ELP6	12481	-0.014367573894560337	-0.45243242	No	
row_72	FARSB	FARSB	12637	-0.015132715925574303	-0.45792088	No	
row_73	TRMT6	TRMT6	12642	-0.015154522843658924	-0.4555623	No	
row_74	DTD1	DTD1	12796	-0.015907322987914085	-0.4608157	No	
row_75	GTF3C6	GTF3C6	12957	-0.016699735075235367	-0.4662985	No	
