NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RNF125	RNF125	1320	0.08451638370752335	-0.04967847	No	
row_1	P4HA1	P4HA1	1409	0.0796695351600647	-0.036630157	No	
row_2	INSIG1	INSIG1	1630	0.07067842036485672	-0.032404173	No	
row_3	TAP2	TAP2	2057	0.05716051906347275	-0.04183286	No	
row_4	RYR1	RYR1	2286	0.05076367035508156	-0.042421892	No	
row_5	NBAS	NBAS	2500	0.04625212401151657	-0.043231122	No	
row_6	FAM8A1	FAM8A1	2541	0.04545122757554054	-0.035258707	No	
row_7	ORMDL3	ORMDL3	2726	0.04138210415840149	-0.035642378	No	
row_8	PIGT	PIGT	3288	0.03176170960068703	-0.057674505	No	
row_9	PIGC	PIGC	3482	0.029038647189736366	-0.06125187	No	
row_10	FAF1	FAF1	3845	0.025050504133105278	-0.07446203	No	
row_11	ARL6IP1	ARL6IP1	4103	0.022590745240449905	-0.082778424	No	
row_12	INSIG2	INSIG2	4456	0.019299644976854324	-0.09674156	No	
row_13	SREBF2	SREBF2	4787	0.016787992790341377	-0.11012047	No	
row_14	UGT1A1	UGT1A1	4952	0.015431289561092854	-0.115203045	No	
row_15	DNAJC10	DNAJC10	5140	0.014065230265259743	-0.121778525	No	
row_16	SEC11A	SEC11A	5236	0.013503188267350197	-0.123714074	No	
row_17	OS9	OS9	5582	0.011447452008724213	-0.13904989	No	
row_18	HSD17B12	HSD17B12	5672	0.010960504412651062	-0.14123662	No	
row_19	ERN2	ERN2	5982	0.009509517811238766	-0.15513647	No	
row_20	SRP9	SRP9	6052	0.009260844439268112	-0.1566631	No	
row_21	EMC8	EMC8	6058	0.00924487505108118	-0.1548791	No	
row_22	CAMLG	CAMLG	6222	0.008548625744879246	-0.16143082	No	
row_23	MMGT1	MMGT1	6381	0.007852429524064064	-0.16787747	No	
row_24	TAP1	TAP1	7085	0.004925611428916454	-0.20319313	No	
row_25	UBXN1	UBXN1	7757	0.00255664624273777	-0.2373752	No	
row_26	PIGA	PIGA	8178	0.0010919735068455338	-0.25888315	No	
row_27	MAGT1	MAGT1	8356	5.481885746121407E-4	-0.26792777	No	
row_28	PIGM	PIGM	8686	-4.2917372775264084E-4	-0.28486985	No	
row_29	DNAJB11	DNAJB11	8808	-8.1199302803725E-4	-0.2909563	No	
row_30	TREX1	TREX1	8866	-0.0010302779264748096	-0.2936803	No	
row_31	UGT3A2	UGT3A2	9162	-0.0020037959329783916	-0.30851376	No	
row_32	RNF139	RNF139	9703	-0.0036961857695132494	-0.33566034	No	
row_33	SPCS1	SPCS1	9915	-0.004421354737132788	-0.34560972	No	
row_34	ZW10	ZW10	10680	-0.007187154144048691	-0.38358444	No	
row_35	B2M	B2M	11132	-0.008914320729672909	-0.40496913	No	
row_36	ELOVL6	ELOVL6	11174	-0.009050482884049416	-0.4050923	No	
row_37	UGT3A1	UGT3A1	11377	-0.00972443912178278	-0.41340378	No	
row_38	UBXN7	UBXN7	11462	-0.01004370953887701	-0.41553417	No	
row_39	PDIA3	PDIA3	11742	-0.011201120913028717	-0.4275067	No	
row_40	DDOST	DDOST	12057	-0.012455632910132408	-0.4410144	No	
row_41	PIGQ	PIGQ	12181	-0.013018850237131119	-0.44450694	No	
row_42	HLA-A	HLA-A	12358	-0.013788377866148949	-0.45057398	No	
row_43	OSTC	OSTC	12617	-0.015062112361192703	-0.46060583	No	
row_44	P4HB	P4HB	12751	-0.015678642317652702	-0.46402845	No	
row_45	PIGP	PIGP	12758	-0.015697086229920387	-0.46087041	No	
row_46	KRTCAP2	KRTCAP2	12988	-0.016835058107972145	-0.46900874	No	
row_47	PIGS	PIGS	13272	-0.01836371421813965	-0.47960562	No	
row_48	HSP90B1	HSP90B1	13555	-0.02014595828950405	-0.48975685	No	
row_49	DERL1	DERL1	13563	-0.02021486684679985	-0.48565227	No	
row_50	DAD1	DAD1	13682	-0.021110663190484047	-0.48709777	No	
row_51	RINT1	RINT1	13842	-0.022067414596676826	-0.49045497	No	
row_52	GPAA1	GPAA1	13907	-0.022465338930487633	-0.4888048	No	
row_53	RPN1	RPN1	13981	-0.02291470766067505	-0.48752135	No	
row_54	SPCS2	SPCS2	14032	-0.023277226835489273	-0.48496675	No	
row_55	CALR	CALR	14232	-0.02472253516316414	-0.4898086	No	
row_56	FAF2	FAF2	14275	-0.02503962628543377	-0.48645028	No	
row_57	EMC4	EMC4	14278	-0.025047466158866882	-0.4810189	No	
row_58	PRKCSH	PRKCSH	14488	-0.02657533437013626	-0.48596916	No	
row_59	RP9	RP9	14920	-0.030055342242121696	-0.50164646	Yes	
row_60	SEC61G	SEC61G	14990	-0.03068993054330349	-0.4984377	Yes	
row_61	MLEC	MLEC	15044	-0.03120027668774128	-0.49428764	Yes	
row_62	MZB1	MZB1	15136	-0.03194982931017876	-0.49193972	Yes	
row_63	EMC7	EMC7	15387	-0.03413473814725876	-0.49734265	Yes	
row_64	SSR4	SSR4	15471	-0.034929145127534866	-0.4939221	Yes	
row_65	HM13	HM13	15717	-0.03723743557929993	-0.49838048	Yes	
row_66	HSPA5	HSPA5	15919	-0.039293717592954636	-0.500106	Yes	
row_67	SRPRB	SRPRB	15927	-0.03937086462974548	-0.49176833	Yes	
row_68	STT3A	STT3A	15936	-0.03950884938240051	-0.48345196	Yes	
row_69	GANAB	GANAB	16013	-0.040403127670288086	-0.4784593	Yes	
