NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLTP	PLTP	2472	0.04663795232772827	-0.091783956	No	
row_1	SAA2	SAA2	3884	0.024812281131744385	-0.1455562	No	
row_2	LIPC	LIPC	4062	0.023073432967066765	-0.13703984	No	
row_3	APOA2	APOA2	5145	0.014029604382812977	-0.1820949	No	
row_4	PON1	PON1	5227	0.013542619533836842	-0.1759164	No	
row_5	SAA1	SAA1	5343	0.012779079377651215	-0.17207453	No	
row_6	HPR	HPR	5856	0.01005337480455637	-0.19078375	No	
row_7	APOC4	APOC4	5980	0.009512326680123806	-0.189852	No	
row_8	CLU	CLU	6002	0.00943600945174694	-0.18372007	No	
row_9	APOL1	APOL1	6635	0.006769160740077496	-0.21112686	No	
row_10	APOA5	APOA5	8162	0.001168712042272091	-0.28890523	No	
row_11	APOH	APOH	8522	2.0071207472938113E-5	-0.30739793	No	
row_12	APOA4	APOA4	10766	-0.007510266732424498	-0.41729215	No	
row_13	APOF	APOF	12267	-0.013346574269235134	-0.4844192	No	
row_14	HDLBP	HDLBP	12641	-0.015153804793953896	-0.49206266	No	
row_15	APOE	APOE	13239	-0.018216557800769806	-0.5089126	No	
row_16	SAA4	SAA4	14304	-0.025200968608260155	-0.5444983	No	
row_17	APOC1	APOC1	14796	-0.029051033779978752	-0.5475997	No	
row_18	LCAT	LCAT	15608	-0.03614208847284317	-0.56177676	No	
row_19	APOC2	APOC2	16645	-0.04825633019208908	-0.57829124	No	
row_20	APOO	APOO	18279	-0.08308999985456467	-0.5989506	Yes	
row_21	APOM	APOM	18569	-0.09533527493476868	-0.5409584	Yes	
row_22	PLA2G7	PLA2G7	18880	-0.11748926341533661	-0.4671103	Yes	
row_23	CETP	CETP	19067	-0.14001229405403137	-0.36964884	Yes	
row_24	APOC3	APOC3	19354	-0.2246686816215515	-0.21261626	Yes	
row_25	APOA1	APOA1	19404	-0.28260016441345215	9.279624E-4	Yes	
