NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMDT1	SMDT1	2352	0.04920470342040062	-0.10793845	No	
row_1	NDUFA4L2	NDUFA4L2	2483	0.04647377133369446	-0.10157085	No	
row_2	TIMM10B	TIMM10B	2860	0.03898368775844574	-0.11005475	No	
row_3	IMMP2L	IMMP2L	3046	0.035751331597566605	-0.10955804	No	
row_4	GRPEL2	GRPEL2	3314	0.031314291059970856	-0.114558786	No	
row_5	NDUFS5	NDUFS5	4047	0.023214243352413177	-0.14592485	No	
row_6	SDHD	SDHD	4096	0.022654669359326363	-0.14202474	No	
row_7	TIMM9	TIMM9	4406	0.019670555368065834	-0.15248282	No	
row_8	MCUB	MCUB	4463	0.01925831101834774	-0.14995441	No	
row_9	TIMM21	TIMM21	4481	0.019117822870612144	-0.14544582	No	
row_10	MPC1	MPC1	4551	0.018631944432854652	-0.14376724	No	
row_11	UQCRC2	UQCRC2	4564	0.01847994700074196	-0.1391795	No	
row_12	PDSS1	PDSS1	5305	0.012987143360078335	-0.17384273	No	
row_13	COX6A2	COX6A2	6179	0.00870589166879654	-0.21660075	No	
row_14	TRMT10B	TRMT10B	6307	0.00812821090221405	-0.22088678	No	
row_15	SAMM50	SAMM50	6607	0.006908032577484846	-0.23442453	No	
row_16	NDUFB5	NDUFB5	6654	0.006724193226546049	-0.2349114	No	
row_17	NDUFS1	NDUFS1	7763	0.002525343094021082	-0.2915821	No	
row_18	UQCRH	UQCRH	7806	0.0023791813291609287	-0.2930866	No	
row_19	WDR93	WDR93	7809	0.002375575713813305	-0.29252055	No	
row_20	DNAJC15	DNAJC15	8597	-1.898899208754301E-4	-0.33322522	No	
row_21	NDUFB10	NDUFB10	9004	-0.0015194920124486089	-0.35382336	No	
row_22	COX4I1	COX4I1	9111	-0.0018337505171075463	-0.35879612	No	
row_23	NDUFAB1	NDUFAB1	9545	-0.00317238736897707	-0.38032666	No	
row_24	MPC2	MPC2	9773	-0.003920458257198334	-0.3909777	No	
row_25	NDUFS6	NDUFS6	9808	-0.00403903191909194	-0.3916	No	
row_26	SDHA	SDHA	10168	-0.005295773036777973	-0.40869957	No	
row_27	COX5B	COX5B	10276	-0.005689478944987059	-0.41263726	No	
row_28	COX8C	COX8C	10464	-0.006444604601711035	-0.42050523	No	
row_29	NDUFA5	NDUFA5	10465	-0.0064449794590473175	-0.4186885	No	
row_30	COX6A1	COX6A1	10651	-0.007084254175424576	-0.42627257	No	
row_31	COX6B1	COX6B1	10672	-0.0071624345146119595	-0.4252894	No	
row_32	COX5A	COX5A	10817	-0.007661876268684864	-0.4305873	No	
row_33	SDHB	SDHB	11382	-0.009736798703670502	-0.4570518	No	
row_34	NDUFB8	NDUFB8	11501	-0.010244132950901985	-0.4602753	No	
row_35	PDSS2	PDSS2	11515	-0.010312075726687908	-0.45804176	No	
row_36	COX7C	COX7C	11572	-0.010485277511179447	-0.45798633	No	
row_37	NDUFS4	NDUFS4	11672	-0.010927043855190277	-0.4600333	No	
row_38	PHB2	PHB2	11676	-0.01094005350023508	-0.45710483	No	
row_39	IMMT	IMMT	12079	-0.01253193523734808	-0.47439158	No	
row_40	DNAJC19	DNAJC19	12133	-0.012812301516532898	-0.47352484	No	
row_41	NDUFB4	NDUFB4	12252	-0.013312146067619324	-0.4758835	No	
row_42	NDUFV2	NDUFV2	12513	-0.014522522687911987	-0.48525506	No	
