NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPL30	MRPL30	1945	0.06015865504741669	-0.072200336	No	
row_1	MRPL34	MRPL34	4661	0.017643732950091362	-0.20410828	No	
row_2	GADD45GIP1	GADD45GIP1	4945	0.015468297526240349	-0.21146259	No	
row_3	NSUN4	NSUN4	5772	0.010476024821400642	-0.2491968	No	
row_4	MRPL18	MRPL18	6146	0.008843779563903809	-0.2643066	No	
row_5	MRPL3	MRPL3	6411	0.007710593752563	-0.27432	No	
row_6	MRPL45	MRPL45	6915	0.005585731007158756	-0.29767102	No	
row_7	MRPL28	MRPL28	8892	-0.0011317150201648474	-0.3991692	No	
row_8	NSUN3	NSUN3	9420	-0.002823504153639078	-0.42505556	No	
row_9	MRPL44	MRPL44	10487	-0.00653417082503438	-0.47703162	No	
row_10	MRPL17	MRPL17	10694	-0.007240301463752985	-0.4842709	No	
row_11	MRPL50	MRPL50	11961	-0.012051263824105263	-0.543985	No	
row_12	MRPL35	MRPL35	12439	-0.014204578474164009	-0.5619493	No	
row_13	MRPL14	MRPL14	12681	-0.015359662473201752	-0.567186	No	
row_14	MRPL13	MRPL13	12797	-0.01590833067893982	-0.5656592	No	
row_15	MRPL11	MRPL11	13041	-0.017104031518101692	-0.57018065	No	
row_16	MRPL39	MRPL39	13539	-0.020038187503814697	-0.5864403	Yes	
row_17	MRPL12	MRPL12	13552	-0.02010226994752884	-0.57762736	Yes	
row_18	MRPS30	MRPS30	13624	-0.020627733319997787	-0.57161427	Yes	
row_19	MRPL36	MRPL36	13812	-0.021892597898840904	-0.5709972	Yes	
row_20	MRPL21	MRPL21	14022	-0.023215442895889282	-0.5708954	Yes	
row_21	MRPL51	MRPL51	14124	-0.02387230284512043	-0.56490886	Yes	
row_22	MRPL15	MRPL15	14151	-0.02405739575624466	-0.5549629	Yes	
row_23	MTERF4	MTERF4	14233	-0.0247256588190794	-0.5475432	Yes	
row_24	MRPL9	MRPL9	14412	-0.0260089710354805	-0.54453	Yes	
row_25	MRPL10	MRPL10	14469	-0.026473741978406906	-0.5349992	Yes	
row_26	MRPL22	MRPL22	14661	-0.028017329052090645	-0.5317148	Yes	
row_27	MRPL43	MRPL43	14880	-0.02978372387588024	-0.52899563	Yes	
row_28	MRPL32	MRPL32	14886	-0.029812220484018326	-0.51526505	Yes	
row_29	MRPL24	MRPL24	15341	-0.033631402999162674	-0.52292615	Yes	
row_30	MRPL37	MRPL37	15352	-0.033759113401174545	-0.5076017	Yes	
row_31	MRPL2	MRPL2	15370	-0.033894915133714676	-0.492575	Yes	
row_32	MRPL47	MRPL47	15857	-0.0386136956512928	-0.49955052	Yes	
row_33	MRPL55	MRPL55	15969	-0.03986434265971184	-0.48657638	Yes	
row_34	MRPL42	MRPL42	16004	-0.04022957757115364	-0.46945503	Yes	
row_35	MRPL23	MRPL23	16080	-0.04125639423727989	-0.45396888	Yes	
row_36	MRPL33	MRPL33	16247	-0.04322002828121185	-0.44226006	Yes	
row_37	MRPL16	MRPL16	16354	-0.04445187374949455	-0.42687514	Yes	
row_38	MRPL19	MRPL19	16408	-0.0450177863240242	-0.40848807	Yes	
row_39	MRPL41	MRPL41	16534	-0.04671819135546684	-0.39302078	Yes	
row_40	MRPL20	MRPL20	16646	-0.048281315714120865	-0.37609717	Yes	
row_41	MRPL48	MRPL48	16726	-0.04937349632382393	-0.35700876	Yes	
row_42	MRPL1	MRPL1	16816	-0.05050874873995781	-0.337904	Yes	
row_43	MRPL58	MRPL58	16868	-0.05124260485172272	-0.3164928	Yes	
row_44	MRPL57	MRPL57	16978	-0.052589595317840576	-0.29744434	Yes	
row_45	MRPL27	MRPL27	17497	-0.06175627186894417	-0.29521298	Yes	
row_46	MRPL46	MRPL46	17510	-0.06202400475740433	-0.2667291	Yes	
row_47	MRPL52	MRPL52	17664	-0.06540550291538239	-0.24393892	Yes	
row_48	MRPL54	MRPL54	17725	-0.06680761277675629	-0.21568887	Yes	
row_49	MRPL49	MRPL49	17756	-0.0673297569155693	-0.18564478	Yes	
row_50	MRPL4	MRPL4	18002	-0.07381119579076767	-0.16366076	Yes	
row_51	MRPL53	MRPL53	18098	-0.07667526602745056	-0.1325877	Yes	
row_52	MRPL38	MRPL38	18203	-0.08037076145410538	-0.10024532	Yes	
row_53	MRPL40	MRPL40	18604	-0.09769212454557419	-0.07505897	Yes	
row_54	MRPS18A	MRPS18A	18877	-0.11729137599468231	-0.034066882	Yes	
row_55	MPV17L2	MPV17L2	19009	-0.13246360421180725	0.021324884	Yes	
