NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPL30	MRPL30	1945	0.06015865504741669	-0.093604766	No	
row_1	POLG2	POLG2	2069	0.056815192103385925	-0.09268101	No	
row_2	SMDT1	SMDT1	2352	0.04920470342040062	-0.101026565	No	
row_3	NDUFA4L2	NDUFA4L2	2483	0.04647377133369446	-0.10180263	No	
row_4	TIMM10B	TIMM10B	2860	0.03898368775844574	-0.11636678	No	
row_5	IMMP2L	IMMP2L	3046	0.035751331597566605	-0.12139354	No	
row_6	BAX	BAX	3178	0.03352292999625206	-0.12389357	No	
row_7	GRPEL2	GRPEL2	3314	0.031314291059970856	-0.12688717	No	
row_8	DNA2	DNA2	3346	0.030808644369244576	-0.124525726	No	
row_9	NDUFS5	NDUFS5	4047	0.023214243352413177	-0.158012	No	
row_10	SDHD	SDHD	4096	0.022654669359326363	-0.15758918	No	
row_11	MRPS27	MRPS27	4219	0.021385690197348595	-0.16118695	No	
row_12	SLC25A5	SLC25A5	4375	0.01992076262831688	-0.16669375	No	
row_13	TIMM9	TIMM9	4406	0.019670555368065834	-0.165718	No	
row_14	MCUB	MCUB	4463	0.01925831101834774	-0.16615057	No	
row_15	TIMM21	TIMM21	4481	0.019117822870612144	-0.16456863	No	
row_16	MPC1	MPC1	4551	0.018631944432854652	-0.16575961	No	
row_17	UQCRC2	UQCRC2	4564	0.01847994700074196	-0.16399942	No	
row_18	TOMM20	TOMM20	4655	0.017672408372163773	-0.16640875	No	
row_19	MRPL34	MRPL34	4661	0.017643732950091362	-0.1643917	No	
row_20	GADD45GIP1	GADD45GIP1	4945	0.015468297526240349	-0.17714444	No	
row_21	TOMM20L	TOMM20L	5040	0.014757106080651283	-0.18013857	No	
row_22	PDSS1	PDSS1	5305	0.012987143360078335	-0.19222137	No	
row_23	LYRM4	LYRM4	5457	0.012134269811213017	-0.19852485	No	
row_24	POLG	POLG	5650	0.011087092570960522	-0.20710038	No	
row_25	NSUN4	NSUN4	5772	0.010476024821400642	-0.21205437	No	
row_26	MRPS35	MRPS35	5933	0.009745688177645206	-0.21913527	No	
row_27	NFS1	NFS1	5941	0.009711208753287792	-0.21824646	No	
row_28	PTCD3	PTCD3	6026	0.009339933283627033	-0.22141872	No	
row_29	SLC25A31	SLC25A31	6029	0.009333506226539612	-0.2203181	No	
row_30	MRPL18	MRPL18	6146	0.008843779563903809	-0.2252222	No	
row_31	COX6A2	COX6A2	6179	0.00870589166879654	-0.22576614	No	
row_32	TOMM7	TOMM7	6278	0.0082808006554842	-0.22980478	No	
row_33	TRMT10B	TRMT10B	6307	0.00812821090221405	-0.23021482	No	
row_34	MRPL3	MRPL3	6411	0.007710593752563	-0.23458767	No	
row_35	SAMM50	SAMM50	6607	0.006908032577484846	-0.24385904	No	
row_36	NDUFB5	NDUFB5	6654	0.006724193226546049	-0.24538846	No	
row_37	MRPL45	MRPL45	6915	0.005585731007158756	-0.25821823	No	
row_38	VDAC1	VDAC1	7077	0.004952868912369013	-0.26596996	No	
row_39	NDUFS1	NDUFS1	7763	0.002525343094021082	-0.30134523	No	
row_40	UQCRH	UQCRH	7806	0.0023791813291609287	-0.30322707	No	
row_41	WDR93	WDR93	7809	0.002375575713813305	-0.30302465	No	
row_42	DNAJC15	DNAJC15	8597	-1.898899208754301E-4	-0.34401748	No	
row_43	MRPS31	MRPS31	8760	-6.830286583863199E-4	-0.35237253	No	
row_44	MRPL28	MRPL28	8892	-0.0011317150201648474	-0.35905397	No	
row_45	MFN1	MFN1	8992	-0.0014739518519490957	-0.36402345	No	
row_46	NDUFB10	NDUFB10	9004	-0.0015194920124486089	-0.3644006	No	
row_47	COX4I1	COX4I1	9111	-0.0018337505171075463	-0.36968845	No	
row_48	DAP3	DAP3	9355	-0.002615869976580143	-0.3820156	No	
row_49	NSUN3	NSUN3	9420	-0.002823504153639078	-0.3849867	No	
row_50	NDUFAB1	NDUFAB1	9545	-0.00317238736897707	-0.39103988	No	
row_51	MPC2	MPC2	9773	-0.003920458257198334	-0.4023647	No	
row_52	NDUFS6	NDUFS6	9808	-0.00403903191909194	-0.40361533	No	
row_53	SDHA	SDHA	10168	-0.005295773036777973	-0.42164227	No	
row_54	COX5B	COX5B	10276	-0.005689478944987059	-0.4264845	No	
row_55	TOMM70	TOMM70	10377	-0.006104026455432177	-0.43090838	No	
row_56	COX8C	COX8C	10464	-0.006444604601711035	-0.43455866	No	
row_57	NDUFA5	NDUFA5	10465	-0.0064449794590473175	-0.43372667	No	
row_58	TRMT10C	TRMT10C	10483	-0.006524348631501198	-0.43377045	No	
row_59	MRPL44	MRPL44	10487	-0.00653417082503438	-0.4330833	No	
row_60	COX6A1	COX6A1	10651	-0.007084254175424576	-0.4406641	No	
row_61	COX6B1	COX6B1	10672	-0.0071624345146119595	-0.4407819	No	
row_62	MRPL17	MRPL17	10694	-0.007240301463752985	-0.44094172	No	
row_63	COX5A	COX5A	10817	-0.007661876268684864	-0.4463111	No	
row_64	MRPS18C	MRPS18C	11099	-0.00875907577574253	-0.45982572	No	
row_65	SDHB	SDHB	11382	-0.009736798703670502	-0.4732662	No	
row_66	NDUFB8	NDUFB8	11501	-0.010244132950901985	-0.4780938	No	
row_67	PDSS2	PDSS2	11515	-0.010312075726687908	-0.47744015	No	
row_68	COX7C	COX7C	11572	-0.010485277511179447	-0.47900522	No	
row_69	NDUFS4	NDUFS4	11672	-0.010927043855190277	-0.48275438	No	
row_70	PHB2	PHB2	11676	-0.01094005350023508	-0.48149848	No	
row_71	MRPL50	MRPL50	11961	-0.012051263824105263	-0.49474445	No	
row_72	IMMT	IMMT	12079	-0.01253193523734808	-0.49922457	No	
row_73	DNAJC19	DNAJC19	12133	-0.012812301516532898	-0.5003329	No	
row_74	TIMM13	TIMM13	12247	-0.01328477542847395	-0.50450736	No	
row_75	NDUFB4	NDUFB4	12252	-0.013312146067619324	-0.50299734	No	
row_76	CLPX	CLPX	12283	-0.013436486944556236	-0.5028264	No	
row_77	PNPT1	PNPT1	12340	-0.013685869053006172	-0.5039783	No	
row_78	MRPL35	MRPL35	12439	-0.014204578474164009	-0.5072522	No	
row_79	NDUFV2	NDUFV2	12513	-0.014522522687911987	-0.50918216	No	
row_80	MRPL14	MRPL14	12681	-0.015359662473201752	-0.5159032	No	
row_81	TOMM40L	TOMM40L	12708	-0.015448695048689842	-0.515264	No	
row_82	MRPS21	MRPS21	12793	-0.015894772484898567	-0.51759005	No	
row_83	MRPL13	MRPL13	12797	-0.01590833067893982	-0.5156928	No	
row_84	NDUFA4	NDUFA4	12827	-0.016047321259975433	-0.51513267	No	
row_85	MRPS22	MRPS22	12911	-0.016457639634609222	-0.517334	No	
row_86	NDUFA9	NDUFA9	12959	-0.01670699194073677	-0.5176268	No	
row_87	AGK	AGK	13005	-0.01692887581884861	-0.5177868	No	
row_88	MRPL11	MRPL11	13041	-0.017104031518101692	-0.51740295	No	
row_89	CYC1	CYC1	13047	-0.01712777279317379	-0.5154525	No	
row_90	NDUFB3	NDUFB3	13082	-0.017277395352721214	-0.51499414	No	
row_91	TIMM50	TIMM50	13083	-0.017310786992311478	-0.5127595	No	
row_92	MTX3	MTX3	13144	-0.017678851261734962	-0.5136044	No	
row_93	COX7B	COX7B	13171	-0.017819885164499283	-0.51265913	No	
row_94	NDUFA12	NDUFA12	13361	-0.01891338638961315	-0.520068	Yes	
row_95	SLC25A4	SLC25A4	13381	-0.019051434472203255	-0.51859885	Yes	
row_96	NDUFV1	NDUFV1	13385	-0.0190788134932518	-0.51629233	Yes	
row_97	NDUFC2	NDUFC2	13427	-0.019335908815264702	-0.5159331	Yes	
row_98	UQCRB	UQCRB	13476	-0.01963684894144535	-0.51589984	Yes	
row_99	MRPS12	MRPS12	13477	-0.019639499485492706	-0.51336455	Yes	
row_100	MRPL39	MRPL39	13539	-0.020038187503814697	-0.513957	Yes	
row_101	TOMM22	TOMM22	13543	-0.020051874220371246	-0.51152486	Yes	
row_102	MRPL12	MRPL12	13552	-0.02010226994752884	-0.5093468	Yes	
row_103	NDUFV3	NDUFV3	13590	-0.02037964202463627	-0.50864434	Yes	
row_104	MRPS9	MRPS9	13622	-0.02060147561132908	-0.50760055	Yes	
row_105	MRPS30	MRPS30	13624	-0.020627733319997787	-0.5049898	Yes	
row_106	COX7A1	COX7A1	13640	-0.020775137469172478	-0.50308967	Yes	
row_107	TIMM10	TIMM10	13692	-0.02117152139544487	-0.5030147	Yes	
row_108	MRPS10	MRPS10	13726	-0.021397365257143974	-0.5019724	Yes	
row_109	ROMO1	ROMO1	13748	-0.02158217504620552	-0.5002808	Yes	
row_110	NDUFB7	NDUFB7	13809	-0.021887196227908134	-0.50058246	Yes	
row_111	MRPL36	MRPL36	13812	-0.021892597898840904	-0.49786058	Yes	
row_112	TOMM40	TOMM40	13837	-0.022036487236618996	-0.4962667	Yes	
row_113	NDUFA10	NDUFA10	13861	-0.022177888080477715	-0.49460247	Yes	
row_114	SDHC	SDHC	13865	-0.022188816219568253	-0.49189442	Yes	
row_115	NDUFB6	NDUFB6	13895	-0.022404231131076813	-0.49051368	Yes	
row_116	HSPA9	HSPA9	13956	-0.02277771383523941	-0.4907004	Yes	
row_117	NDUFA8	NDUFA8	13976	-0.022892918437719345	-0.48873538	Yes	
row_118	MRPS26	MRPS26	13996	-0.02299746312201023	-0.48675686	Yes	
row_119	MRPL21	MRPL21	14022	-0.023215442895889282	-0.48506293	Yes	
row_120	UQCRFS1	UQCRFS1	14058	-0.0234437994658947	-0.48386067	Yes	
row_121	MRPL51	MRPL51	14124	-0.02387230284512043	-0.48416668	Yes	
row_122	MRPL15	MRPL15	14151	-0.02405739575624466	-0.48241618	Yes	
row_123	NDUFB1	NDUFB1	14160	-0.02410556562244892	-0.4797213	Yes	
row_124	TIMM22	TIMM22	14207	-0.024433137848973274	-0.47896466	Yes	
row_125	MTERF4	MTERF4	14233	-0.0247256588190794	-0.47707576	Yes	
row_126	HADHB	HADHB	14274	-0.025037631392478943	-0.47592837	Yes	
row_127	MRPS16	MRPS16	14354	-0.025533897802233696	-0.47674954	Yes	
row_128	COX7A2	COX7A2	14397	-0.02588549628853798	-0.4755969	Yes	
row_129	MRPL9	MRPL9	14412	-0.0260089710354805	-0.47296906	Yes	
row_130	NDUFA1	NDUFA1	14447	-0.02633543312549591	-0.4713414	Yes	
row_131	NDUFA11	NDUFA11	14453	-0.026375478133559227	-0.46819717	Yes	
row_132	MRPL10	MRPL10	14469	-0.026473741978406906	-0.46556142	Yes	
row_133	MICU2	MICU2	14540	-0.02710275538265705	-0.465711	Yes	
row_134	GRPEL1	GRPEL1	14556	-0.027204366400837898	-0.46298093	Yes	
row_135	MCU	MCU	14600	-0.027593357488512993	-0.46165997	Yes	
row_136	BCS1L	BCS1L	14639	-0.027895715087652206	-0.46003938	Yes	
row_137	MRPL22	MRPL22	14661	-0.028017329052090645	-0.45751706	Yes	
row_138	MRPS33	MRPS33	14685	-0.028193891048431396	-0.45507622	Yes	
row_139	MTX2	MTX2	14818	-0.029332580044865608	-0.45816928	Yes	
row_140	MRPL43	MRPL43	14880	-0.02978372387588024	-0.4575037	Yes	
row_141	UQCRC1	UQCRC1	14881	-0.02979740872979164	-0.45365712	Yes	
row_142	MRPL32	MRPL32	14886	-0.029812220484018326	-0.4500171	Yes	
row_143	MCCC1	MCCC1	14908	-0.0299261212348938	-0.4472484	Yes	
row_144	NDUFS7	NDUFS7	14910	-0.02993599884212017	-0.44343603	Yes	
row_145	NDUFS8	NDUFS8	14945	-0.030292412266135216	-0.4412976	Yes	
row_146	MRPS25	MRPS25	14991	-0.03070184402167797	-0.4396796	Yes	
row_147	COX6C	COX6C	15010	-0.030870405957102776	-0.43663263	Yes	
row_148	FXN	FXN	15035	-0.031117109581828117	-0.43386653	Yes	
row_149	UQCRQ	UQCRQ	15067	-0.031358685344457626	-0.43143407	Yes	
row_150	MRPS11	MRPS11	15078	-0.0314280167222023	-0.42789817	Yes	
row_151	MRPS23	MRPS23	15094	-0.03159099444746971	-0.42460182	Yes	
row_152	NDUFB2	NDUFB2	15141	-0.03198191896080971	-0.4228707	Yes	
row_153	MRPL24	MRPL24	15341	-0.033631402999162674	-0.42890078	Yes	
row_154	MRPL37	MRPL37	15352	-0.033759113401174545	-0.42506397	Yes	
row_155	MRPL2	MRPL2	15370	-0.033894915133714676	-0.42157444	Yes	
row_156	AFG3L2	AFG3L2	15449	-0.03476383909583092	-0.421152	Yes	
row_157	NDUFS3	NDUFS3	15513	-0.035437554121017456	-0.41986078	Yes	
row_158	NDUFC1	NDUFC1	15543	-0.03572096303105354	-0.41676095	Yes	
row_159	TIMM8A	TIMM8A	15611	-0.03616058826446533	-0.4155849	Yes	
row_160	MRPS17	MRPS17	15662	-0.036635205149650574	-0.41346154	Yes	
row_161	NDUFB11	NDUFB11	15700	-0.037104833871126175	-0.41060004	Yes	
row_162	NDUFA7	NDUFA7	15708	-0.03718380257487297	-0.40616474	Yes	
row_163	MRPL47	MRPL47	15857	-0.0386136956512928	-0.40889362	Yes	
row_164	MRPS24	MRPS24	15858	-0.038623541593551636	-0.40390766	Yes	
row_165	PAM16	PAM16	15879	-0.038890622556209564	-0.39992958	Yes	
row_166	AURKAIP1	AURKAIP1	15921	-0.03929561749100685	-0.39699373	Yes	
row_167	ISCU	ISCU	15930	-0.03941924124956131	-0.392322	Yes	
row_168	PMPCB	PMPCB	15956	-0.03973232954740524	-0.38849586	Yes	
row_169	MRPL55	MRPL55	15969	-0.03986434265971184	-0.38397515	Yes	
row_170	MRPL42	MRPL42	16004	-0.04022957757115364	-0.3805539	Yes	
row_171	UQCR11	UQCR11	16007	-0.04033421725034714	-0.37545136	Yes	
row_172	TIMM23	TIMM23	16022	-0.04048869013786316	-0.37095428	Yes	
row_173	MRPL23	MRPL23	16080	-0.04125639423727989	-0.3685992	Yes	
row_174	HADHA	HADHA	16138	-0.041903190314769745	-0.36616063	Yes	
row_175	IMMP1L	IMMP1L	16221	-0.04286519065499306	-0.36490083	Yes	
row_176	MRPL33	MRPL33	16247	-0.04322002828121185	-0.36062446	Yes	
row_177	COX8A	COX8A	16295	-0.04384390637278557	-0.3574142	Yes	
row_178	HSD17B10	HSD17B10	16314	-0.043996457010507584	-0.35267276	Yes	
row_179	MRPL16	MRPL16	16354	-0.04445187374949455	-0.34896702	Yes	
row_180	MRPS5	MRPS5	16357	-0.04449358582496643	-0.34332752	Yes	
row_181	SPG7	SPG7	16406	-0.04500315338373184	-0.3400197	Yes	
row_182	ACACB	ACACB	16407	-0.045008089393377304	-0.33420956	Yes	
row_183	MRPL19	MRPL19	16408	-0.0450177863240242	-0.32839817	Yes	
row_184	MRPS28	MRPS28	16424	-0.04521599039435387	-0.32334295	Yes	
row_185	MRPS15	MRPS15	16429	-0.04529041424393654	-0.31770483	Yes	
row_186	CHCHD3	CHCHD3	16435	-0.04539928585290909	-0.31210476	Yes	
row_187	MRPS14	MRPS14	16467	-0.045842837542295456	-0.30780253	Yes	
row_188	MICU1	MICU1	16485	-0.04607529193162918	-0.30274063	Yes	
row_189	NDUFA3	NDUFA3	16504	-0.04634612426161766	-0.2976959	Yes	
row_190	MRPL41	MRPL41	16534	-0.04671819135546684	-0.29317644	Yes	
row_191	MRPL20	MRPL20	16646	-0.048281315714120865	-0.2927289	Yes	
row_192	FOXRED1	FOXRED1	16666	-0.04855237901210785	-0.28745148	Yes	
row_193	MTX1	MTX1	16671	-0.04863099381327629	-0.2813821	Yes	
row_194	MRPL48	MRPL48	16726	-0.04937349632382393	-0.27782282	Yes	
row_195	DNAJC11	DNAJC11	16776	-0.05011453852057457	-0.27390727	Yes	
row_196	MRPL1	MRPL1	16816	-0.05050874873995781	-0.26941967	Yes	
row_197	MRPS18B	MRPS18B	16832	-0.05074451118707657	-0.26365077	Yes	
row_198	NDUFA13	NDUFA13	16835	-0.050843894481658936	-0.2571915	Yes	
row_199	MRPL58	MRPL58	16868	-0.05124260485172272	-0.25224435	Yes	
row_200	CHCHD6	CHCHD6	16879	-0.0514291413128376	-0.24612647	Yes	
row_201	SUPV3L1	SUPV3L1	16936	-0.052026960998773575	-0.2423289	Yes	
row_202	TIMM44	TIMM44	16976	-0.052532635629177094	-0.23758002	Yes	
row_203	MRPL57	MRPL57	16978	-0.052589595317840576	-0.23084328	Yes	
row_204	MRPS6	MRPS6	17044	-0.05346203222870827	-0.22732951	Yes	
row_205	MRPS2	MRPS2	17445	-0.06080728769302368	-0.24032727	Yes	
row_206	PMPCA	PMPCA	17469	-0.061210617423057556	-0.23362425	Yes	
row_207	MRPL27	MRPL27	17497	-0.06175627186894417	-0.22705926	Yes	
row_208	MRPL46	MRPL46	17510	-0.06202400475740433	-0.21967793	Yes	
row_209	CHCHD1	CHCHD1	17544	-0.06255879998207092	-0.21332204	Yes	
row_210	MRPS7	MRPS7	17557	-0.06283333897590637	-0.20583624	Yes	
row_211	CHCHD10	CHCHD10	17659	-0.06530088931322098	-0.20267044	Yes	
row_212	MRPL52	MRPL52	17664	-0.06540550291538239	-0.19443564	Yes	
row_213	MRPL54	MRPL54	17725	-0.06680761277675629	-0.18893847	Yes	
row_214	MRPL49	MRPL49	17756	-0.0673297569155693	-0.18181035	Yes	
row_215	POLRMT	POLRMT	17822	-0.068783238530159	-0.17631875	Yes	
row_216	UQCR10	UQCR10	17869	-0.0700686052441597	-0.16967095	Yes	
row_217	C15orf48	C15orf48	17983	-0.0733833834528923	-0.16608721	Yes	
row_218	MRPL4	MRPL4	18002	-0.07381119579076767	-0.15749697	Yes	
row_219	MRPL53	MRPL53	18098	-0.07667526602745056	-0.15255013	Yes	
row_220	TIMM8B	TIMM8B	18190	-0.07987203449010849	-0.14698215	Yes	
row_221	MRPL38	MRPL38	18203	-0.08037076145410538	-0.13723241	Yes	
row_222	MRPS34	MRPS34	18211	-0.08085111528635025	-0.12716007	Yes	
row_223	APOO	APOO	18279	-0.08308999985456467	-0.11992583	Yes	
row_224	TIMM17A	TIMM17A	18345	-0.08550442010164261	-0.11227566	Yes	
row_225	MRPL40	MRPL40	18604	-0.09769212454557419	-0.11311107	Yes	
row_226	NDUFAF1	NDUFAF1	18610	-0.09825614094734192	-0.10068765	Yes	
row_227	TIMM17B	TIMM17B	18669	-0.10152225941419601	-0.0906049	Yes	
row_228	NDUFS2	NDUFS2	18672	-0.10165932774543762	-0.07758581	Yes	
row_229	APOOL	APOOL	18841	-0.11395122855901718	-0.071631625	Yes	
row_230	MRPS18A	MRPS18A	18877	-0.11729137599468231	-0.05831449	Yes	
row_231	PPIF	PPIF	18968	-0.12673388421535492	-0.046644934	Yes	
row_232	MCCC2	MCCC2	18992	-0.12984174489974976	-0.031082228	Yes	
row_233	MPV17L2	MPV17L2	19009	-0.13246360421180725	-0.014816233	Yes	
row_234	MICU3	MICU3	19045	-0.1374463587999344	0.0011027372	Yes	
row_235	COX4I2	COX4I2	19087	-0.1432630866765976	0.017459884	Yes	
