NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS27	MRPS27	4219	0.021385690197348595	-0.19883455	No	
row_1	MRPS35	MRPS35	5933	0.009745688177645206	-0.27863422	No	
row_2	PTCD3	PTCD3	6026	0.009339933283627033	-0.27519396	No	
row_3	MRPS31	MRPS31	8760	-6.830286583863199E-4	-0.4155371	No	
row_4	DAP3	DAP3	9355	-0.002615869976580143	-0.44387752	No	
row_5	MRPS18C	MRPS18C	11099	-0.00875907577574253	-0.5260889	No	
row_6	MRPS21	MRPS21	12793	-0.015894772484898567	-0.5994686	No	
row_7	MRPS22	MRPS22	12911	-0.016457639634609222	-0.5910802	No	
row_8	MRPS12	MRPS12	13477	-0.019639499485492706	-0.603007	Yes	
row_9	MRPS9	MRPS9	13622	-0.02060147561132908	-0.59237975	Yes	
row_10	MRPS10	MRPS10	13726	-0.021397365257143974	-0.5789407	Yes	
row_11	MRPS26	MRPS26	13996	-0.02299746312201023	-0.57266	Yes	
row_12	MRPS16	MRPS16	14354	-0.025533897802233696	-0.5686949	Yes	
row_13	MRPS33	MRPS33	14685	-0.028193891048431396	-0.56100637	Yes	
row_14	MRPS25	MRPS25	14991	-0.03070184402167797	-0.5498308	Yes	
row_15	MRPS11	MRPS11	15078	-0.0314280167222023	-0.526725	Yes	
row_16	MRPS23	MRPS23	15094	-0.03159099444746971	-0.49981484	Yes	
row_17	MRPS17	MRPS17	15662	-0.036635205149650574	-0.49695122	Yes	
row_18	MRPS24	MRPS24	15858	-0.038623541593551636	-0.473161	Yes	
row_19	AURKAIP1	AURKAIP1	15921	-0.03929561749100685	-0.441923	Yes	
row_20	MRPL42	MRPL42	16004	-0.04022957757115364	-0.41089797	Yes	
row_21	MRPS5	MRPS5	16357	-0.04449358582496643	-0.39006028	Yes	
row_22	MRPS28	MRPS28	16424	-0.04521599039435387	-0.35384044	Yes	
row_23	MRPS15	MRPS15	16429	-0.04529041424393654	-0.31435803	Yes	
row_24	MRPS14	MRPS14	16467	-0.045842837542295456	-0.27609333	Yes	
row_25	MRPS18B	MRPS18B	16832	-0.05074451118707657	-0.25039673	Yes	
row_26	MRPS6	MRPS6	17044	-0.05346203222870827	-0.21442844	Yes	
row_27	MRPS2	MRPS2	17445	-0.06080728769302368	-0.18177019	Yes	
row_28	CHCHD1	CHCHD1	17544	-0.06255879998207092	-0.13200283	Yes	
row_29	MRPS7	MRPS7	17557	-0.06283333897590637	-0.077559836	Yes	
row_30	MRPS34	MRPS34	18211	-0.08085111528635025	-0.040384147	Yes	
row_31	MRPS18A	MRPS18A	18877	-0.11729137599468231	0.028105859	Yes	
