NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPL30	MRPL30	1945	0.06015865504741669	-0.08185833	No	
row_1	MRPS27	MRPS27	4219	0.021385690197348595	-0.19276081	No	
row_2	MRPL34	MRPL34	4661	0.017643732950091362	-0.21007368	No	
row_3	GADD45GIP1	GADD45GIP1	4945	0.015468297526240349	-0.21989216	No	
row_4	NSUN4	NSUN4	5772	0.010476024821400642	-0.25935116	No	
row_5	MRPS35	MRPS35	5933	0.009745688177645206	-0.2645906	No	
row_6	PTCD3	PTCD3	6026	0.009339933283627033	-0.26643932	No	
row_7	MRPL18	MRPL18	6146	0.008843779563903809	-0.2698391	No	
row_8	MRPL3	MRPL3	6411	0.007710593752563	-0.28109166	No	
row_9	MRPL45	MRPL45	6915	0.005585731007158756	-0.30536786	No	
row_10	MTG2	MTG2	7325	0.003994402009993792	-0.3252779	No	
row_11	MRPS31	MRPS31	8760	-6.830286583863199E-4	-0.39923495	No	
row_12	MRPL28	MRPL28	8892	-0.0011317150201648474	-0.40565804	No	
row_13	DAP3	DAP3	9355	-0.002615869976580143	-0.4287388	No	
row_14	NSUN3	NSUN3	9420	-0.002823504153639078	-0.43116942	No	
row_15	MRPL44	MRPL44	10487	-0.00653417082503438	-0.4842698	No	
row_16	MRPL17	MRPL17	10694	-0.007240301463752985	-0.492669	No	
row_17	MRPS18C	MRPS18C	11099	-0.00875907577574253	-0.51083606	No	
row_18	MRPL50	MRPL50	11961	-0.012051263824105263	-0.5516146	No	
row_19	MRPL35	MRPL35	12439	-0.014204578474164009	-0.5718609	No	
row_20	MRPL14	MRPL14	12681	-0.015359662473201752	-0.57954085	No	
row_21	MRPS21	MRPS21	12793	-0.015894772484898567	-0.58033025	No	
row_22	MRPL13	MRPL13	12797	-0.01590833067893982	-0.5755294	No	
row_23	MRPS22	MRPS22	12911	-0.016457639634609222	-0.57624686	No	
row_24	MRPL11	MRPL11	13041	-0.017104031518101692	-0.57759047	No	
row_25	MRPS12	MRPS12	13477	-0.019639499485492706	-0.59397125	Yes	
row_26	MRPL39	MRPL39	13539	-0.020038187503814697	-0.5908837	Yes	
row_27	MRPL12	MRPL12	13552	-0.02010226994752884	-0.58524173	Yes	
row_28	MRPS9	MRPS9	13622	-0.02060147561132908	-0.58239245	Yes	
row_29	MRPS30	MRPS30	13624	-0.020627733319997787	-0.5760179	Yes	
row_30	MRPS10	MRPS10	13726	-0.021397365257143974	-0.5745758	Yes	
row_31	MRPL36	MRPL36	13812	-0.021892597898840904	-0.57215184	Yes	
row_32	MRPS26	MRPS26	13996	-0.02299746312201023	-0.57445246	Yes	
row_33	MRPL21	MRPL21	14022	-0.023215442895889282	-0.56851304	Yes	
row_34	MRPL51	MRPL51	14124	-0.02387230284512043	-0.56629986	Yes	
row_35	MRPL15	MRPL15	14151	-0.02405739575624466	-0.5601499	Yes	
row_36	MTERF4	MTERF4	14233	-0.0247256588190794	-0.55663645	Yes	
row_37	MRPS16	MRPS16	14354	-0.025533897802233696	-0.55488837	Yes	
row_38	MRPL9	MRPL9	14412	-0.0260089710354805	-0.54973376	Yes	
row_39	MRPL10	MRPL10	14469	-0.026473741978406906	-0.5443827	Yes	
row_40	MRPL22	MRPL22	14661	-0.028017329052090645	-0.5455332	Yes	
row_41	MRPS33	MRPS33	14685	-0.028193891048431396	-0.53793937	Yes	
row_42	MRPL43	MRPL43	14880	-0.02978372387588024	-0.5386948	Yes	
row_43	MRPL32	MRPL32	14886	-0.029812220484018326	-0.52966577	Yes	
row_44	MRPS25	MRPS25	14991	-0.03070184402167797	-0.52548015	Yes	
row_45	MRPS11	MRPS11	15078	-0.0314280167222023	-0.52013725	Yes	
row_46	MRPS23	MRPS23	15094	-0.03159099444746971	-0.5110713	Yes	
row_47	MRPL24	MRPL24	15341	-0.033631402999162674	-0.5133176	Yes	
row_48	MRPL37	MRPL37	15352	-0.033759113401174545	-0.5033176	Yes	
row_49	MRPL2	MRPL2	15370	-0.033894915133714676	-0.49363735	Yes	
row_50	MRPS17	MRPS17	15662	-0.036635205149650574	-0.49727532	Yes	
row_51	NDUFA7	NDUFA7	15708	-0.03718380257487297	-0.48801872	Yes	
row_52	MRPL47	MRPL47	15857	-0.0386136956512928	-0.483644	Yes	
row_53	MRPS24	MRPS24	15858	-0.038623541593551636	-0.47161135	Yes	
row_54	AURKAIP1	AURKAIP1	15921	-0.03929561749100685	-0.4625761	Yes	
row_55	MRPL55	MRPL55	15969	-0.03986434265971184	-0.4525878	Yes	
row_56	MRPL42	MRPL42	16004	-0.04022957757115364	-0.44181338	Yes	
row_57	MRPL23	MRPL23	16080	-0.04125639423727989	-0.43283963	Yes	
row_58	MRPL33	MRPL33	16247	-0.04322002828121185	-0.4279609	Yes	
row_59	MRPL16	MRPL16	16354	-0.04445187374949455	-0.41959506	Yes	
row_60	MRPS5	MRPS5	16357	-0.04449358582496643	-0.40583712	Yes	
row_61	MRPL19	MRPL19	16408	-0.0450177863240242	-0.3943985	Yes	
row_62	MRPS28	MRPS28	16424	-0.04521599039435387	-0.3810879	Yes	
row_63	MRPS15	MRPS15	16429	-0.04529041424393654	-0.36718515	Yes	
row_64	MRPS14	MRPS14	16467	-0.045842837542295456	-0.35481712	Yes	
row_65	MRPL41	MRPL41	16534	-0.04671819135546684	-0.34367633	Yes	
row_66	MRPL20	MRPL20	16646	-0.048281315714120865	-0.3343761	Yes	
row_67	MRPL48	MRPL48	16726	-0.04937349632382393	-0.32308048	Yes	
row_68	MRPL1	MRPL1	16816	-0.05050874873995781	-0.31194842	Yes	
row_69	MRPS18B	MRPS18B	16832	-0.05074451118707657	-0.29691547	Yes	
row_70	MRPL58	MRPL58	16868	-0.05124260485172272	-0.28276178	Yes	
row_71	MRPL57	MRPL57	16978	-0.052589595317840576	-0.2720159	Yes	
row_72	MRPS6	MRPS6	17044	-0.05346203222870827	-0.25872242	Yes	
row_73	MTG1	MTG1	17075	-0.05393839627504349	-0.2434703	Yes	
row_74	MRPS2	MRPS2	17445	-0.06080728769302368	-0.24361211	Yes	
row_75	MRPL27	MRPL27	17497	-0.06175627186894417	-0.22701058	Yes	
row_76	MRPL46	MRPL46	17510	-0.06202400475740433	-0.20830847	Yes	
row_77	CHCHD1	CHCHD1	17544	-0.06255879998207092	-0.19052592	Yes	
row_78	MRPS7	MRPS7	17557	-0.06283333897590637	-0.17157167	Yes	
row_79	MRPL52	MRPL52	17664	-0.06540550291538239	-0.15667799	Yes	
row_80	MRPL54	MRPL54	17725	-0.06680761277675629	-0.13896827	Yes	
row_81	MRPL49	MRPL49	17756	-0.0673297569155693	-0.11954423	Yes	
row_82	MRPL4	MRPL4	18002	-0.07381119579076767	-0.10922128	Yes	
row_83	MRPL53	MRPL53	18098	-0.07667526602745056	-0.09024771	Yes	
row_84	MRPL38	MRPL38	18203	-0.08037076145410538	-0.07058836	Yes	
row_85	MRPS34	MRPS34	18211	-0.08085111528635025	-0.04576229	Yes	
row_86	MRPL40	MRPL40	18604	-0.09769212454557419	-0.035602726	Yes	
row_87	MRPS18A	MRPS18A	18877	-0.11729137599468231	-0.0131305875	Yes	
row_88	MPV17L2	MPV17L2	19009	-0.13246360421180725	0.021361116	Yes	
