NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAB32	RAB32	1570	0.0731314942240715	-0.043518264	No	
row_1	SERAC1	SERAC1	3382	0.03030533716082573	-0.12143434	No	
row_2	OSBPL1A	OSBPL1A	3914	0.02448045276105404	-0.1362831	No	
row_3	TOMM20	TOMM20	4655	0.017672408372163773	-0.16540842	No	
row_4	MBOAT7	MBOAT7	5332	0.012847055681049824	-0.19370544	No	
row_5	TMX1	TMX1	5439	0.012207642197608948	-0.19291554	No	
row_6	SACM1L	SACM1L	5682	0.010914240032434464	-0.19980717	No	
row_7	OSBPL5	OSBPL5	6288	0.008200136013329029	-0.22682315	No	
row_8	TMEM41B	TMEM41B	6824	0.005955907050520182	-0.2513776	No	
row_9	TMCC1	TMCC1	6925	0.0055297426879405975	-0.2537025	No	
row_10	ATG14	ATG14	6954	0.005429305601865053	-0.2523633	No	
row_11	PDZD8	PDZD8	8001	0.0017779353074729443	-0.30543032	No	
row_12	ESYT2	ESYT2	8063	0.0015400334959849715	-0.3077885	No	
row_13	ACSL4	ACSL4	8930	-0.001287122257053852	-0.35181832	No	
row_14	FATE1	FATE1	9085	-0.0017549324547871947	-0.35886556	No	
row_15	CANX	CANX	9335	-0.0025674370117485523	-0.3703986	No	
row_16	ATG5	ATG5	9566	-0.0032221628352999687	-0.38061544	No	
row_17	AHCYL1	AHCYL1	10233	-0.005543907638639212	-0.4121414	No	
row_18	BCAP31	BCAP31	11006	-0.008421400561928749	-0.44766197	No	
row_19	C2CD2L	C2CD2L	11751	-0.011222926899790764	-0.48030096	No	
row_20	IMMT	IMMT	12079	-0.01253193523734808	-0.49074945	No	
row_21	VPS13A	VPS13A	13001	-0.01690628007054329	-0.52960813	No	
row_22	SARAF	SARAF	13673	-0.02101455256342888	-0.55345887	No	
row_23	TOMM40	TOMM40	13837	-0.022036487236618996	-0.55057025	No	
row_24	STARD3NL	STARD3NL	13984	-0.02292715199291706	-0.5463477	No	
row_25	ATG16L1	ATG16L1	15213	-0.03253660351037979	-0.5930339	No	
row_26	ZFYVE1	ZFYVE1	15920	-0.03929407522082329	-0.6093172	Yes	
row_27	PIK3R4	PIK3R4	16049	-0.04086946323513985	-0.594965	Yes	
row_28	RMDN3	RMDN3	16142	-0.04194493964314461	-0.57820344	Yes	
row_29	CHCHD3	CHCHD3	16435	-0.04539928585290909	-0.5699916	Yes	
row_30	MICU1	MICU1	16485	-0.04607529193162918	-0.54889303	Yes	
row_31	STX17	STX17	16596	-0.047426141798496246	-0.5302497	Yes	
row_32	CHCHD6	CHCHD6	16879	-0.0514291413128376	-0.5184297	Yes	
row_33	TMX2	TMX2	16882	-0.05146930366754532	-0.49213973	Yes	
row_34	STARD3	STARD3	17701	-0.06635305285453796	-0.50032705	Yes	
row_35	CLCC1	CLCC1	17931	-0.07176555693149567	-0.47534356	Yes	
row_36	GRAMD1A	GRAMD1A	17988	-0.07352002710103989	-0.44053274	Yes	
row_37	APOO	APOO	18279	-0.08308999985456467	-0.41289008	Yes	
row_38	BCL2L10	BCL2L10	18400	-0.08793210238218307	-0.37399152	Yes	
row_39	ATG2A	ATG2A	18491	-0.09171275049448013	-0.33160615	Yes	
row_40	APOOL	APOOL	18841	-0.11395122855901718	-0.29118267	Yes	
row_41	MOSPD2	MOSPD2	18911	-0.1205332800745964	-0.23293458	Yes	
row_42	GRAMD1C	GRAMD1C	18927	-0.12265487760305405	-0.17081188	Yes	
row_43	RAB38	RAB38	19276	-0.18998360633850098	-0.09134778	Yes	
row_44	ESYT3	ESYT3	19287	-0.19272924959659576	0.0069667217	Yes	
