NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LILRA3	LILRA3	98	0.355196088552475	0.045614295	Yes	
row_1	MCEMP1	MCEMP1	113	0.3401086926460266	0.09342022	Yes	
row_2	SLC2A5	SLC2A5	142	0.3089788556098938	0.13606018	Yes	
row_3	OLR1	OLR1	207	0.2528461813926697	0.16882867	Yes	
row_4	CLEC12A	CLEC12A	251	0.22913263738155365	0.19929957	Yes	
row_5	ADAM8	ADAM8	261	0.22353599965572357	0.23073038	Yes	
row_6	CEACAM3	CEACAM3	264	0.22158598899841309	0.26224497	Yes	
row_7	CLEC5A	CLEC5A	273	0.21937376260757446	0.29313362	Yes	
row_8	FPR2	FPR2	286	0.21284402906894684	0.3228836	Yes	
row_9	SLC2A3	SLC2A3	315	0.197810560464859	0.349661	Yes	
row_10	P2RX1	P2RX1	511	0.15561415255069733	0.3617802	Yes	
row_11	CD33	CD33	551	0.14823104441165924	0.38091418	Yes	
row_12	CD53	CD53	616	0.14047810435295105	0.3976489	Yes	
row_13	ITGAM	ITGAM	630	0.13864682614803314	0.41676	Yes	
row_14	CKAP4	CKAP4	782	0.12226207554340363	0.42639586	Yes	
row_15	HVCN1	HVCN1	784	0.12218176573514938	0.44377825	Yes	
row_16	ITGB2	ITGB2	786	0.12200488150119781	0.46113536	Yes	
row_17	STK10	STK10	799	0.1203141063451767	0.4776823	Yes	
row_18	C3AR1	C3AR1	871	0.11294931173324585	0.4901269	Yes	
row_19	CD36	CD36	929	0.10869618505239487	0.5026887	Yes	
row_20	CYBB	CYBB	1097	0.09728261083364487	0.5079328	Yes	
row_21	ATP8B4	ATP8B4	1114	0.09646863490343094	0.5208703	Yes	
row_22	CD47	CD47	1168	0.09328483790159225	0.53143996	Yes	
row_23	PTPRB	PTPRB	1189	0.09203074127435684	0.5435374	Yes	
row_24	AGPAT2	AGPAT2	1254	0.08810093998908997	0.55279845	Yes	
row_25	SNAP25	SNAP25	1382	0.08137203752994537	0.557841	Yes	
row_26	ANO6	ANO6	1408	0.07969871908426285	0.5679202	Yes	
row_27	CEACAM8	CEACAM8	1417	0.0794651135802269	0.57884526	Yes	
row_28	ITGAL	ITGAL	1427	0.07918870449066162	0.58967924	Yes	
row_29	GPR84	GPR84	1439	0.07862179726362228	0.6003288	Yes	
row_30	ITGAV	ITGAV	1440	0.0785636231303215	0.61153907	Yes	
row_31	VAMP8	VAMP8	1472	0.07711690664291382	0.6209395	Yes	
row_32	ADGRG3	ADGRG3	1515	0.07540161907672882	0.6295263	Yes	
row_33	RAB37	RAB37	1558	0.07364949584007263	0.6378631	Yes	
row_34	PGRMC1	PGRMC1	1583	0.07270506769418716	0.64699614	Yes	
row_35	CLEC4D	CLEC4D	1700	0.0683031752705574	0.65074277	Yes	
row_36	CD177	CD177	1760	0.06680786609649658	0.6572241	Yes	
row_37	SLC15A4	SLC15A4	2254	0.05149022117257118	0.63907343	No	
row_38	SLCO4C1	SLCO4C1	2318	0.05010159686207771	0.64296407	No	
row_39	PTPRJ	PTPRJ	2367	0.04894667863845825	0.6474657	No	
row_40	SNAP23	SNAP23	2569	0.04488760232925415	0.64347506	No	
row_41	VAMP1	VAMP1	2661	0.042803939431905746	0.64487624	No	
row_42	ORMDL3	ORMDL3	2726	0.04138210415840149	0.647471	No	
row_43	TSPAN14	TSPAN14	3118	0.034546684473752975	0.63217807	No	
row_44	TMC6	TMC6	3135	0.03419406712055206	0.6362297	No	
row_45	ATP8A1	ATP8A1	3218	0.03293852135539055	0.63668865	No	
row_46	RAP2B	RAP2B	3294	0.03164904937148094	0.6373257	No	
row_47	FCAR	FCAR	3348	0.03078649193048477	0.63897747	No	
row_48	CD93	CD93	3383	0.03028329461812973	0.6415401	No	
row_49	MMP25	MMP25	4061	0.023077864199876785	0.6098189	No	
row_50	SCAMP1	SCAMP1	4430	0.01945473439991474	0.593562	No	
row_51	MS4A3	MS4A3	4534	0.01872415281832218	0.5909066	No	
row_52	CEACAM1	CEACAM1	4778	0.01686551608145237	0.5807453	No	
row_53	CYBA	CYBA	5575	0.01146923191845417	0.541213	No	
row_54	TNFRSF1B	TNFRSF1B	5700	0.010799134150147438	0.53634065	No	
row_55	LAMTOR3	LAMTOR3	6334	0.00799696333706379	0.50474316	No	
row_56	KCNAB2	KCNAB2	6417	0.007684716489166021	0.50159866	No	
row_57	HMOX2	HMOX2	6580	0.007012254558503628	0.49422067	No	
row_58	DEGS1	DEGS1	6801	0.006043792236596346	0.48370472	No	
row_59	ADAM10	ADAM10	8690	-4.425116640049964E-4	0.38612112	No	
row_60	RAP1A	RAP1A	9359	-0.0026205885224044323	0.3519463	No	
row_61	ATP11A	ATP11A	9572	-0.0032497085630893707	0.34144542	No	
row_62	CMTM6	CMTM6	9805	-0.0040250676684081554	0.33002082	No	
row_63	LAIR1	LAIR1	9844	-0.004148682113736868	0.32864743	No	
row_64	PLAU	PLAU	12074	-0.012517866678535938	0.21515043	No	
row_65	STOM	STOM	12428	-0.014147866517305374	0.19891214	No	
row_66	PLAUR	PLAUR	12630	-0.01510925218462944	0.19067243	No	
row_67	TMEM30A	TMEM30A	13020	-0.01699943281710148	0.17297912	No	
row_68	ATP6V1D	ATP6V1D	13499	-0.019796039909124374	0.1510818	No	
row_69	AP1M1	AP1M1	14030	-0.02326415292918682	0.12698992	No	
row_70	DGAT1	DGAT1	14337	-0.02540876343846321	0.11478927	No	
row_71	HGSNAT	HGSNAT	14493	-0.026631733402609825	0.11057279	No	
row_72	UBR4	UBR4	14552	-0.02718522399663925	0.1114521	No	
row_73	LAMTOR1	LAMTOR1	14605	-0.027638735249638557	0.11270644	No	
row_74	MLEC	MLEC	15044	-0.03120027668774128	0.094505176	No	
row_75	DNAJC5	DNAJC5	15718	-0.03726036474108696	0.065014504	No	
row_76	SLC44A2	SLC44A2	15780	-0.03778204694390297	0.06725071	No	
row_77	LAMTOR2	LAMTOR2	16137	-0.0418960303068161	0.05481664	No	
row_78	TARM1	TARM1	16143	-0.04196853190660477	0.060546517	No	
row_79	TMBIM1	TMBIM1	16612	-0.0477156788110733	0.043150246	No	
row_80	BST1	BST1	16736	-0.04952918738126755	0.04385603	No	
row_81	TOM1	TOM1	17323	-0.05815758928656578	0.021846786	No	
row_82	PLD1	PLD1	17404	-0.059953052550554276	0.026263895	No	
row_83	ALDH3B1	ALDH3B1	17623	-0.06440248340368271	0.024178576	No	
row_84	CD59	CD59	18110	-0.07711604982614517	0.010046478	No	
row_85	TMEM63A	TMEM63A	18734	-0.1052638441324234	-0.007154816	No	
row_86	MOSPD2	MOSPD2	18911	-0.1205332800745964	9.413776E-4	No	
row_87	SLC27A2	SLC27A2	19237	-0.17825697362422943	0.0095679145	No	
