NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OLFM4	OLFM4	95	0.3586418628692627	0.026098277	Yes	
row_1	LILRA3	LILRA3	98	0.355196088552475	0.056725588	Yes	
row_2	MCEMP1	MCEMP1	113	0.3401086926460266	0.08542469	Yes	
row_3	FPR1	FPR1	132	0.31867027282714844	0.11206136	Yes	
row_4	PPBP	PPBP	157	0.2863685190677643	0.13559188	Yes	
row_5	OLR1	OLR1	207	0.2528461813926697	0.15492448	Yes	
row_6	ADGRE3	ADGRE3	214	0.2469574213027954	0.1759795	Yes	
row_7	LYZ	LYZ	238	0.2353239506483078	0.1951456	Yes	
row_8	CLEC12A	CLEC12A	251	0.22913263738155365	0.21434702	Yes	
row_9	ADAM8	ADAM8	261	0.22353599965572357	0.23321992	Yes	
row_10	HP	HP	269	0.2201801836490631	0.2519063	Yes	
row_11	CLEC5A	CLEC5A	273	0.21937376260757446	0.27073053	Yes	
row_12	LRG1	LRG1	274	0.21921828389167786	0.28969702	Yes	
row_13	FPR2	FPR2	286	0.21284402906894684	0.30754107	Yes	
row_14	QSOX1	QSOX1	298	0.20643234252929688	0.32483038	Yes	
row_15	SIGLEC5	SIGLEC5	312	0.19809187948703766	0.3412943	Yes	
row_16	SLC2A3	SLC2A3	315	0.197810560464859	0.3583048	Yes	
row_17	PGLYRP1	PGLYRP1	369	0.18340753018856049	0.37142202	Yes	
row_18	OSCAR	OSCAR	449	0.16739104688167572	0.381804	Yes	
row_19	CFP	CFP	459	0.1662619411945343	0.3957216	Yes	
row_20	FOLR3	FOLR3	480	0.16111616790294647	0.4086231	Yes	
row_21	STXBP2	STXBP2	490	0.15912355482578278	0.42192313	Yes	
row_22	ORM1	ORM1	522	0.15418806672096252	0.43365422	Yes	
row_23	CTSS	CTSS	535	0.15105080604553223	0.4461001	Yes	
row_24	CD33	CD33	551	0.14823104441165924	0.45814627	Yes	
row_25	CD53	CD53	616	0.14047810435295105	0.46697834	Yes	
row_26	CNN2	CNN2	622	0.13976536691188812	0.47881114	Yes	
row_27	ITGAM	ITGAM	630	0.13864682614803314	0.49044338	Yes	
row_28	TCN1	TCN1	633	0.13831332325935364	0.5023062	Yes	
row_29	LTF	LTF	689	0.13200514018535614	0.5108724	Yes	
row_30	DOK3	DOK3	756	0.1246277391910553	0.5182293	Yes	
row_31	ITGB2	ITGB2	786	0.12200488150119781	0.5272798	Yes	
row_32	CD300A	CD300A	838	0.1159019023180008	0.53466034	Yes	
row_33	FCER1G	FCER1G	856	0.11437288671731949	0.54367334	Yes	
row_34	MMP9	MMP9	947	0.10767665505409241	0.5483179	Yes	
row_35	SIRPA	SIRPA	948	0.10745362937450409	0.5576147	Yes	
row_36	CR1	CR1	1063	0.0992097407579422	0.56028104	Yes	
row_37	CYBB	CYBB	1097	0.09728261083364487	0.56698495	Yes	
row_38	ATP8B4	ATP8B4	1114	0.09646863490343094	0.5745008	Yes	
row_39	DSP	DSP	1136	0.09542648494243622	0.581667	Yes	
row_40	CD47	CD47	1168	0.09328483790159225	0.5881288	Yes	
row_41	PTPRB	PTPRB	1189	0.09203074127435684	0.5950531	Yes	
row_42	LILRB2	LILRB2	1367	0.08207232505083084	0.59296674	Yes	
row_43	SNAP25	SNAP25	1382	0.08137203752994537	0.59928024	Yes	
row_44	ANO6	ANO6	1408	0.07969871908426285	0.60487807	Yes	
row_45	CEACAM8	CEACAM8	1417	0.0794651135802269	0.6113381	Yes	
row_46	GPR84	GPR84	1439	0.07862179726362228	0.6170503	Yes	
row_47	VAMP8	VAMP8	1472	0.07711690664291382	0.62206143	Yes	
row_48	CTSH	CTSH	1500	0.07603111863136292	0.6272381	Yes	
row_49	LTA4H	LTA4H	1604	0.07187989354133606	0.6281108	Yes	
row_50	CLEC4D	CLEC4D	1700	0.0683031752705574	0.6290894	Yes	
row_51	STBD1	STBD1	1709	0.06806819885969162	0.6345633	Yes	
row_52	CD177	CD177	1760	0.06680786609649658	0.6377482	Yes	
