NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LILRA3	LILRA3	98	0.355196088552475	0.060754675	Yes	
row_1	MCEMP1	MCEMP1	113	0.3401086926460266	0.12305383	Yes	
row_2	OLR1	OLR1	207	0.2528461813926697	0.16510129	Yes	
row_3	CLEC12A	CLEC12A	251	0.22913263738155365	0.20533806	Yes	
row_4	ADAM8	ADAM8	261	0.22353599965572357	0.2462945	Yes	
row_5	CLEC5A	CLEC5A	273	0.21937376260757446	0.28637636	Yes	
row_6	FPR2	FPR2	286	0.21284402906894684	0.32519656	Yes	
row_7	SIGLEC5	SIGLEC5	312	0.19809187948703766	0.36061147	Yes	
row_8	SLC2A3	SLC2A3	315	0.197810560464859	0.39716265	Yes	
row_9	CD33	CD33	551	0.14823104441165924	0.41248783	Yes	
row_10	CD53	CD53	616	0.14047810435295105	0.43521178	Yes	
row_11	ITGAM	ITGAM	630	0.13864682614803314	0.46023148	Yes	
row_12	ITGB2	ITGB2	786	0.12200488150119781	0.47483045	Yes	
row_13	CD300A	CD300A	838	0.1159019023180008	0.49367207	Yes	
row_14	FCER1G	FCER1G	856	0.11437288671731949	0.5139871	Yes	
row_15	SIRPA	SIRPA	948	0.10745362937450409	0.5291965	Yes	
row_16	CYBB	CYBB	1097	0.09728261083364487	0.5395761	Yes	
row_17	ATP8B4	ATP8B4	1114	0.09646863490343094	0.5566251	Yes	
row_18	CD47	CD47	1168	0.09328483790159225	0.5711725	Yes	
row_19	PTPRB	PTPRB	1189	0.09203074127435684	0.5871925	Yes	
row_20	LILRB2	LILRB2	1367	0.08207232505083084	0.59325516	Yes	
row_21	SNAP25	SNAP25	1382	0.08137203752994537	0.60761017	Yes	
row_22	ANO6	ANO6	1408	0.07969871908426285	0.62108666	Yes	
row_23	CEACAM8	CEACAM8	1417	0.0794651135802269	0.6353983	Yes	
row_24	GPR84	GPR84	1439	0.07862179726362228	0.648882	Yes	
row_25	VAMP8	VAMP8	1472	0.07711690664291382	0.6615184	Yes	
row_26	CLEC4D	CLEC4D	1700	0.0683031752705574	0.6624462	Yes	
row_27	STBD1	STBD1	1709	0.06806819885969162	0.67464596	Yes	
row_28	CD177	CD177	1760	0.06680786609649658	0.6844421	Yes	
row_29	PTAFR	PTAFR	2150	0.054091423749923706	0.6743661	Yes	
row_30	SNAP23	SNAP23	2569	0.04488760232925415	0.6610862	Yes	
row_31	ITGAX	ITGAX	2617	0.04395366460084915	0.66680247	Yes	
row_32	VAMP1	VAMP1	2661	0.042803939431905746	0.6725123	Yes	
row_33	SLC11A1	SLC11A1	2840	0.039387766271829605	0.6706138	Yes	
row_34	RAP2C	RAP2C	2859	0.03905172273516655	0.6769201	Yes	
row_35	NBEAL2	NBEAL2	3026	0.03616701439023018	0.67504483	Yes	
row_36	TSPAN14	TSPAN14	3118	0.034546684473752975	0.6767445	Yes	
row_37	TMC6	TMC6	3135	0.03419406712055206	0.682254	Yes	
row_38	RAP2B	RAP2B	3294	0.03164904937148094	0.67995495	Yes	
row_39	FCAR	FCAR	3348	0.03078649193048477	0.68292123	Yes	
row_40	CD93	CD93	3383	0.03028329461812973	0.68677604	Yes	
row_41	MGAM	MGAM	3481	0.029045425355434418	0.6871463	Yes	
row_42	CLEC4C	CLEC4C	3972	0.023912975564599037	0.66625965	No	
row_43	GAA	GAA	4388	0.019802819937467575	0.64848655	No	
row_44	CEACAM1	CEACAM1	4778	0.01686551608145237	0.6315125	No	
row_45	NRAS	NRAS	4862	0.01615934446454048	0.6302183	No	
row_46	CYBA	CYBA	5575	0.01146923191845417	0.59555537	No	
row_47	ATP6AP2	ATP6AP2	5792	0.010369118303060532	0.5863163	No	
row_48	LAMTOR3	LAMTOR3	6334	0.00799696333706379	0.55984527	No	
row_49	DYNLL1	DYNLL1	6383	0.007839801721274853	0.55881786	No	
row_50	KCNAB2	KCNAB2	6417	0.007684716489166021	0.55853677	No	
row_51	SERPINB6	SERPINB6	8653	-3.389704506844282E-4	0.4431196	No	
row_52	ADAM10	ADAM10	8690	-4.425116640049964E-4	0.4413415	No	
row_53	COPB1	COPB1	8774	-7.10159307345748E-4	0.43718457	No	
row_54	ATP11A	ATP11A	9572	-0.0032497085630893707	0.39660662	No	
row_55	LAIR1	LAIR1	9844	-0.004148682113736868	0.3833731	No	
row_56	PLAU	PLAU	12074	-0.012517866678535938	0.27052268	No	
row_57	STOM	STOM	12428	-0.014147866517305374	0.25490516	No	
row_58	FRMPD3	FRMPD3	13372	-0.01898360624909401	0.20969908	No	
row_59	HGSNAT	HGSNAT	14493	-0.026631733402609825	0.15676479	No	
row_60	UBR4	UBR4	14552	-0.02718522399663925	0.15880544	No	
row_61	ATP6V0C	ATP6V0C	15672	-0.03674089163541794	0.10779607	No	
row_62	CYSTM1	CYSTM1	15690	-0.03695128113031387	0.113764815	No	
row_63	LAMTOR2	LAMTOR2	16137	-0.0418960303068161	0.09848386	No	
row_64	TARM1	TARM1	16143	-0.04196853190660477	0.10600233	No	
row_65	PLD1	PLD1	17404	-0.059953052550554276	0.052008875	No	
row_66	CD59	CD59	18110	-0.07711604982614517	0.029871983	No	
row_67	RAB14	RAB14	18621	-0.09880562126636505	0.021829631	No	
row_68	TMEM63A	TMEM63A	18734	-0.1052638441324234	0.035548218	No	
