NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UGT1A1	UGT1A1	4952	0.015431289561092854	-0.23914315	No	
row_1	UGT2B10	UGT2B10	5655	0.011063313111662865	-0.26369223	No	
row_2	UGT1A10	UGT1A10	7176	0.0045465147122740746	-0.3372967	No	
row_3	UGT2A3	UGT2A3	7365	0.0038608245085924864	-0.3429249	No	
row_4	UGT1A7	UGT1A7	8024	0.0016716504469513893	-0.3751003	No	
row_5	UGT1A5	UGT1A5	8212	0.0010100813815370202	-0.38368067	No	
row_6	UGT2A1	UGT2A1	8249	8.571868529543281E-4	-0.3846342	No	
row_7	UGT1A9	UGT1A9	8414	3.887387574650347E-4	-0.392683	No	
row_8	UGT2B28	UGT2B28	8573	-1.3671904162038118E-4	-0.4006879	No	
row_9	B3GAT1	B3GAT1	8693	-4.5107005280442536E-4	-0.40635014	No	
row_10	UGT1A6	UGT1A6	8790	-7.637873641215265E-4	-0.41049662	No	
row_11	UGT3A2	UGT3A2	9162	-0.0020037959329783916	-0.42751986	No	
row_12	B3GAT2	B3GAT2	9291	-0.0024222531355917454	-0.43156928	No	
row_13	EXT1	EXT1	9353	-0.002612641081213951	-0.43196255	No	
row_14	UGT2B15	UGT2B15	9830	-0.004101069178432226	-0.4521914	No	
row_15	UGT1A4	UGT1A4	10855	-0.007831796072423458	-0.49675277	No	
row_16	UGT1A8	UGT1A8	11236	-0.009245413355529308	-0.50661	No	
row_17	UGT3A1	UGT3A1	11377	-0.00972443912178278	-0.50358427	No	
row_18	UGT2B7	UGT2B7	12856	-0.016195746138691902	-0.56274813	No	
row_19	UGT2B17	UGT2B17	13129	-0.017586030066013336	-0.55824697	No	
row_20	UGT1A3	UGT1A3	14264	-0.024984197691082954	-0.5904088	Yes	
row_21	UGT2B4	UGT2B4	14460	-0.026406439021229744	-0.5726425	Yes	
row_22	B4GAT1	B4GAT1	14518	-0.026852767914533615	-0.54728854	Yes	
row_23	CSGALNACT1	CSGALNACT1	15115	-0.031781166791915894	-0.5445409	Yes	
row_24	LARGE1	LARGE1	15120	-0.031838126480579376	-0.5112005	Yes	
row_25	CHPF2	CHPF2	16728	-0.049386270344257355	-0.542046	Yes	
row_26	B3GAT3	B3GAT3	16963	-0.05238673835992813	-0.49891666	Yes	
row_27	CHPF	CHPF	16979	-0.05259048938751221	-0.44427758	Yes	
row_28	EXT2	EXT2	17596	-0.06368628889322281	-0.4089442	Yes	
row_29	CHSY3	CHSY3	17713	-0.06652822345495224	-0.34482855	Yes	
row_30	UGT2B11	UGT2B11	17791	-0.06802726536989212	-0.27712196	Yes	
row_31	EXTL1	EXTL1	17994	-0.07367165386676788	-0.20991506	Yes	
row_32	CHSY1	CHSY1	18140	-0.07818406075239182	-0.13501377	Yes	
row_33	LARGE2	LARGE2	19281	-0.1908406764268875	0.0072720284	Yes	
