NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCR6	CXCR6	15	0.5300582647323608	0.04315455	Yes	
row_1	EBI3	EBI3	33	0.4756406843662262	0.08169512	Yes	
row_2	CSF2RB	CSF2RB	68	0.39479783177375793	0.11265358	Yes	
row_3	LILRA2	LILRA2	91	0.3614713251590729	0.14147222	Yes	
row_4	LILRA3	LILRA3	98	0.355196088552475	0.17060053	Yes	
row_5	IL1RAP	IL1RAP	128	0.3219771385192871	0.19578277	Yes	
row_6	FPR1	FPR1	132	0.31867027282714844	0.22203931	Yes	
row_7	HLA-DRB1	HLA-DRB1	155	0.2888084053993225	0.24483548	Yes	
row_8	CXCR1	CXCR1	165	0.28151410818099976	0.26770127	Yes	
row_9	FCGR3B	FCGR3B	178	0.2732527256011963	0.28972676	Yes	
row_10	CX3CR1	CX3CR1	184	0.2681888937950134	0.31169558	Yes	
row_11	IL2RB	IL2RB	216	0.24601733684539795	0.33047834	Yes	
row_12	FPR2	FPR2	286	0.21284402906894684	0.3445409	Yes	
row_13	FCMR	FCMR	371	0.1830279380083084	0.35535428	Yes	
row_14	LILRA5	LILRA5	385	0.18042822182178497	0.3696344	Yes	
row_15	IL7R	IL7R	437	0.1701515167951584	0.381092	Yes	
row_16	IL27RA	IL27RA	478	0.16122111678123474	0.3923799	Yes	
row_17	LIFR	LIFR	491	0.1590253859758377	0.40493795	Yes	
row_18	C5AR1	C5AR1	530	0.15308693051338196	0.41565543	Yes	
row_19	CD160	CD160	612	0.14106251299381256	0.42314622	Yes	
row_20	IL18RAP	IL18RAP	614	0.14077696204185486	0.43476227	Yes	
row_21	CCR1	CCR1	639	0.13755130767822266	0.44491816	Yes	
row_22	MPL	MPL	690	0.13167476654052734	0.45323858	Yes	
row_23	KLRD1	KLRD1	721	0.1285196989774704	0.46233475	Yes	
row_24	FLT3	FLT3	729	0.12751959264278412	0.47254083	Yes	
row_25	HLA-DOA	HLA-DOA	794	0.12141101062297821	0.4792845	Yes	
row_26	KLRF1	KLRF1	849	0.1146470382809639	0.48598617	Yes	
row_27	FCER1G	FCER1G	856	0.11437288671731949	0.4951545	Yes	
row_28	C3AR1	C3AR1	871	0.11294931173324585	0.50378996	Yes	
row_29	FCGR1A	FCGR1A	914	0.10949275642633438	0.51068676	Yes	
row_30	HLA-DRA	HLA-DRA	1000	0.10388827323913574	0.514889	Yes	
row_31	CSF2RA	CSF2RA	1021	0.10210423171520233	0.5223144	Yes	
row_32	CR1	CR1	1063	0.0992097407579422	0.5284108	Yes	
row_33	ACKR3	ACKR3	1094	0.097503662109375	0.5349363	Yes	
row_34	FCGR2A	FCGR2A	1105	0.09691119194030762	0.5424499	Yes	
row_35	HLA-DPA1	HLA-DPA1	1125	0.09584903717041016	0.54940873	Yes	
row_36	IL17RA	IL17RA	1155	0.0940338522195816	0.55569845	Yes	
row_37	CXCR2	CXCR2	1164	0.09344079345464706	0.56302816	Yes	
row_38	IL6R	IL6R	1177	0.09267143905162811	0.57008666	Yes	
row_39	CD4	CD4	1191	0.09190387278795242	0.57702965	Yes	
row_40	IL10RA	IL10RA	1215	0.09045898914337158	0.58333427	Yes	
row_41	HLA-DRB3	HLA-DRB3	1220	0.09015842527151108	0.59059936	Yes	
row_42	CD74	CD74	1226	0.09000362455844879	0.5977998	Yes	
row_43	CXCR4	CXCR4	1236	0.08905178308486938	0.60471386	Yes	
row_44	FCGR3A	FCGR3A	1249	0.08842006325721741	0.61142	Yes	
row_45	LILRB2	LILRB2	1367	0.08207232505083084	0.6121545	Yes	
row_46	CTSH	CTSH	1500	0.07603111863136292	0.61161035	Yes	
row_47	HLA-DOB	HLA-DOB	1530	0.07483121007680893	0.61630857	Yes	
row_48	IL17RE	IL17RE	1553	0.07380615174770355	0.62128484	Yes	
row_49	KIR3DL1	KIR3DL1	1655	0.06968018412590027	0.621822	Yes	
row_50	IL6ST	IL6ST	1680	0.06888947635889053	0.62628704	Yes	
row_51	CCR2	CCR2	1871	0.06262771040201187	0.62162405	Yes	
row_52	IFNGR2	IFNGR2	1917	0.06118800491094589	0.6243617	Yes	
row_53	CSF3R	CSF3R	1918	0.06117105111479759	0.62943166	Yes	
row_54	KIR2DS5	KIR2DS5	1946	0.06015356630086899	0.63301706	Yes	
row_55	KIR2DL4	KIR2DL4	1985	0.05945466458797455	0.63597405	Yes	
row_56	KLRC2	KLRC2	2031	0.058249350637197495	0.63846815	Yes	
row_57	CMKLR1	CMKLR1	2037	0.058092571794986725	0.64302367	Yes	
row_58	FZD4	FZD4	2072	0.056731898337602615	0.6459624	Yes	
row_59	CD44	CD44	2126	0.054894834756851196	0.64776355	Yes	
row_60	FCER2	FCER2	2295	0.050586506724357605	0.6432435	Yes	
row_61	FCER1A	FCER1A	2329	0.049920085817575455	0.6456696	Yes	
row_62	FPR3	FPR3	2408	0.04803092032670975	0.64560527	Yes	
row_63	IFNAR2	IFNAR2	2409	0.04801614210009575	0.64958495	Yes	
row_64	IL2RG	IL2RG	2454	0.04693417251110077	0.651193	Yes	
row_65	IL2RA	IL2RA	2515	0.04587237536907196	0.6518833	Yes	
row_66	IL12RB1	IL12RB1	2553	0.04523741081357002	0.6537138	Yes	
row_67	FCGR2B	FCGR2B	2685	0.042152419686317444	0.65041363	Yes	
row_68	GPR32	GPR32	2688	0.04209550842642784	0.6537989	Yes	
row_69	CCR3	CCR3	2756	0.040801819413900375	0.6537059	Yes	
row_70	CRLF2	CRLF2	2759	0.040795888751745224	0.65698344	Yes	
row_71	CCR7	CCR7	2796	0.039999451488256454	0.65843165	Yes	
row_72	IL10RB	IL10RB	3064	0.03546546399593353	0.647524	No	
row_73	PIGR	PIGR	3155	0.03386363387107849	0.64566314	No	
row_74	GFRA1	GFRA1	3174	0.03356544300913811	0.6475116	No	
row_75	GPR35	GPR35	3211	0.03303724154829979	0.6483828	No	
row_76	LILRA1	LILRA1	3299	0.03161803260445595	0.64649135	No	
row_77	KLRC1	KLRC1	3386	0.030213769525289536	0.6445354	No	
row_78	CXCR3	CXCR3	3397	0.030050398781895638	0.64650744	No	
row_79	LILRB1	LILRB1	3462	0.029222236946225166	0.64561033	No	
row_80	LEPR	LEPR	3644	0.02710011787712574	0.63846946	No	
row_81	CCR5	CCR5	3771	0.025772085413336754	0.6340709	No	
row_82	C5AR2	C5AR2	3937	0.024309806525707245	0.62752855	No	
row_83	CCRL2	CCRL2	3949	0.024154743179678917	0.6289601	No	
row_84	IL3RA	IL3RA	4130	0.022240731865167618	0.6214683	No	
row_85	CR2	CR2	4315	0.020487694069743156	0.6136238	No	
row_86	IL17REL	IL17REL	4391	0.019782373681664467	0.6113738	No	
row_87	GFRA4	GFRA4	4606	0.018121769651770592	0.6017773	No	
row_88	IL4R	IL4R	5316	0.012950706295669079	0.56608063	No	
row_89	CCR6	CCR6	5546	0.011686434969305992	0.55517286	No	
row_90	IL13RA2	IL13RA2	6200	0.008632280863821507	0.52202255	No	
row_91	CXCR5	CXCR5	6296	0.008180854842066765	0.51777375	No	
