NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_TERTIARY_GRANULE	GOCC_TERTIARY_GRANULE	Details ...	157	0.6485465	2.207415	0.0	0.0	0.0	2859	tags=45%, list=15%, signal=52%	
GOCC_SPECIFIC_GRANULE	GOCC_SPECIFIC_GRANULE	Details ...	156	0.6598056	2.2019873	0.0	0.0	0.0	1760	tags=38%, list=9%, signal=42%	
GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	Details ...	94	0.68542194	2.1611772	0.0	0.0	0.0	2842	tags=56%, list=15%, signal=66%	
GOMF_IMMUNE_RECEPTOR_ACTIVITY	GOMF_IMMUNE_RECEPTOR_ACTIVITY	Details ...	141	0.65843165	2.1577506	0.0	0.0	0.0	2796	tags=51%, list=14%, signal=59%	
GOBP_MYELOID_LEUKOCYTE_ACTIVATION	GOBP_MYELOID_LEUKOCYTE_ACTIVATION	Details ...	231	0.6184069	2.148626	0.0	0.0	0.0	2893	tags=45%, list=15%, signal=53%	
GOBP_LEUKOCYTE_CHEMOTAXIS	GOBP_LEUKOCYTE_CHEMOTAXIS	Details ...	224	0.6162844	2.1273148	0.0	0.0	0.0	2387	tags=44%, list=12%, signal=50%	
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	Details ...	298	0.58888394	2.0899925	0.0	1.4631083E-4	0.001	2842	tags=39%, list=15%, signal=45%	
GOBP_ADAPTIVE_IMMUNE_RESPONSE	GOBP_ADAPTIVE_IMMUNE_RESPONSE	Details ...	462	0.5676554	2.0853357	0.0	2.5195815E-4	0.002	2908	tags=38%, list=15%, signal=44%	
GOBP_RESPIRATORY_BURST	GOBP_RESPIRATORY_BURST	Details ...	35	0.7836245	2.0787106	0.0	3.3613996E-4	0.003	1739	tags=57%, list=9%, signal=63%	
GOBP_LEUKOCYTE_MIGRATION	GOBP_LEUKOCYTE_MIGRATION	Details ...	376	0.5725341	2.0774653	0.0	4.0255664E-4	0.004	2387	tags=37%, list=12%, signal=41%	
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	Details ...	324	0.5764319	2.0772948	0.0	3.6596062E-4	0.004	2929	tags=41%, list=15%, signal=47%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	Details ...	33	0.77746123	2.0766392	0.0	3.3546388E-4	0.004	2908	tags=67%, list=15%, signal=78%	
GOBP_CELLULAR_DEFENSE_RESPONSE	GOBP_CELLULAR_DEFENSE_RESPONSE	Details ...	52	0.7361789	2.076187	0.0	3.0965896E-4	0.004	2993	tags=62%, list=15%, signal=73%	
GOBP_GRANULOCYTE_CHEMOTAXIS	GOBP_GRANULOCYTE_CHEMOTAXIS	Details ...	121	0.6333359	2.0551932	0.0	5.0291466E-4	0.007	2373	tags=47%, list=12%, signal=53%	
GOCC_SPECIFIC_GRANULE_MEMBRANE	GOCC_SPECIFIC_GRANULE_MEMBRANE	Details ...	88	0.6572241	2.0536547	0.0	4.69387E-4	0.007	1760	tags=42%, list=9%, signal=46%	
GOBP_CELL_CHEMOTAXIS	GOBP_CELL_CHEMOTAXIS	Details ...	299	0.5757304	2.0468266	0.0	6.2820764E-4	0.01	2387	tags=39%, list=12%, signal=44%	
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	Details ...	266	0.57989717	2.0462914	0.0	5.9125427E-4	0.01	2941	tags=43%, list=15%, signal=50%	
GOBP_CELL_KILLING	GOBP_CELL_KILLING	Details ...	221	0.5890597	2.0433445	0.0	6.1396236E-4	0.011	2553	tags=35%, list=13%, signal=40%	
GOCC_TERTIARY_GRANULE_MEMBRANE	GOCC_TERTIARY_GRANULE_MEMBRANE	Details ...	69	0.6871463	2.0410547	0.0	5.8164855E-4	0.011	3481	tags=61%, list=18%, signal=74%	
GOBP_LEUKOCYTE_DEGRANULATION	GOBP_LEUKOCYTE_DEGRANULATION	Details ...	76	0.67470545	2.0383394	0.0	6.52597E-4	0.013	2783	tags=54%, list=14%, signal=63%	
GOBP_MYELOID_LEUKOCYTE_MIGRATION	GOBP_MYELOID_LEUKOCYTE_MIGRATION		223	0.5897534	2.0376241	0.0	6.701385E-4	0.014	2387	tags=41%, list=12%, signal=46%	
GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY	GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY		60	0.6967938	2.037132	0.0	6.396777E-4	0.014	1886	tags=38%, list=10%, signal=42%	
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_LEUKOCYTE_MEDIATED_IMMUNITY		385	0.56057084	2.03492	0.0	6.5576105E-4	0.015	2578	tags=35%, list=13%, signal=40%	
GOBP_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY	GOBP_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY		33	0.76826406	2.0301971	0.0	7.543558E-4	0.018	1849	tags=55%, list=10%, signal=60%	
GOBP_GRANULOCYTE_MIGRATION	GOBP_GRANULOCYTE_MIGRATION		145	0.6164498	2.0250874	0.0	8.447248E-4	0.021	2373	tags=44%, list=12%, signal=50%	
GOBP_SUPEROXIDE_ANION_GENERATION	GOBP_SUPEROXIDE_ANION_GENERATION		41	0.7318771	2.0204117	0.0	0.0010070232	0.026	1760	tags=46%, list=9%, signal=51%	
GOCC_SECRETORY_GRANULE_MEMBRANE	GOCC_SECRETORY_GRANULE_MEMBRANE		304	0.56629825	2.0194151	0.0	0.0010068885	0.027	3383	tags=42%, list=17%, signal=50%	
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY		240	0.5773321	2.0176373	0.0	0.0010427865	0.029	2578	tags=36%, list=13%, signal=41%	
GOBP_SUPEROXIDE_METABOLIC_PROCESS	GOBP_SUPEROXIDE_METABOLIC_PROCESS		68	0.669207	2.0128253	0.0	0.0011104157	0.032	1760	tags=43%, list=9%, signal=47%	
GOCC_IMMUNOLOGICAL_SYNAPSE	GOCC_IMMUNOLOGICAL_SYNAPSE		44	0.7231231	2.0119293	0.0	0.0010734019	0.032	3144	tags=52%, list=16%, signal=62%	
GOCC_SPECIFIC_GRANULE_LUMEN	GOCC_SPECIFIC_GRANULE_LUMEN		61	0.67982984	2.010868	0.0	0.001038776	0.032	1475	tags=34%, list=8%, signal=37%	
GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION	GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION		359	0.55291915	1.9951032	0.0	0.0014136308	0.045	2908	tags=40%, list=15%, signal=46%	
GOBP_FC_RECEPTOR_SIGNALING_PATHWAY	GOBP_FC_RECEPTOR_SIGNALING_PATHWAY		56	0.6877919	1.991998	0.0	0.0014928568	0.049	2790	tags=52%, list=14%, signal=60%	
GOBP_LEUKOCYTE_CELL_CELL_ADHESION	GOBP_LEUKOCYTE_CELL_CELL_ADHESION		395	0.5520891	1.9916655	0.0	0.0014489493	0.049	2941	tags=41%, list=15%, signal=47%	
GOBP_GRANULOCYTE_ACTIVATION	GOBP_GRANULOCYTE_ACTIVATION		48	0.71351975	1.9869453	0.0	0.0016364375	0.057	2335	tags=60%, list=12%, signal=69%	
GOMF_ANTIGEN_BINDING	GOMF_ANTIGEN_BINDING		67	0.6677747	1.986499	0.0	0.0015909809	0.057	2057	tags=42%, list=11%, signal=47%	
GOBP_DETECTION_OF_OTHER_ORGANISM	GOBP_DETECTION_OF_OTHER_ORGANISM		19	0.84462154	1.9818101	0.0	0.0017666167	0.065	898	tags=47%, list=5%, signal=50%	
GOBP_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL	GOBP_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL		48	0.7116156	1.980966	0.0	0.0017201267	0.065	2941	tags=58%, list=15%, signal=69%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II		29	0.7796497	1.9795637	0.0	0.0017276229	0.067	2908	tags=66%, list=15%, signal=77%	
GOMF_ANTIOXIDANT_ACTIVITY	GOMF_ANTIOXIDANT_ACTIVITY		78	0.6511231	1.9788605	0.0	0.0016844324	0.067	1817	tags=28%, list=9%, signal=31%	
GOBP_DETECTION_OF_EXTERNAL_BIOTIC_STIMULUS	GOBP_DETECTION_OF_EXTERNAL_BIOTIC_STIMULUS		26	0.7935389	1.9766452	0.0	0.001716889	0.07	1150	tags=42%, list=6%, signal=45%	
GOBP_CELLULAR_EXTRAVASATION	GOBP_CELLULAR_EXTRAVASATION		73	0.6561301	1.9746898	0.0	0.0018182506	0.076	2479	tags=45%, list=13%, signal=52%	
