NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_ORGANELLAR_RIBOSOME	GOCC_ORGANELLAR_RIBOSOME	Details ...	89	-0.6000897	-2.0602078	0.0	0.01298781	0.013	5947	tags=72%, list=31%, signal=103%	
GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	Details ...	236	-0.5225095	-2.040477	0.0	0.010435087	0.021	6063	tags=60%, list=31%, signal=86%	
GOBP_MITOCHONDRIAL_TRANSLATION	GOBP_MITOCHONDRIAL_TRANSLATION	Details ...	126	-0.5469232	-1.9669014	0.0	0.030787537	0.089	6047	tags=67%, list=31%, signal=96%	
GOBP_NEGATIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	GOBP_NEGATIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	Details ...	49	-0.6239362	-1.9186066	0.0	0.062052365	0.235	4170	tags=45%, list=21%, signal=57%	
GOCC_ORGANELLE_MEMBRANE_CONTACT_SITE	GOCC_ORGANELLE_MEMBRANE_CONTACT_SITE	Details ...	45	-0.62946695	-1.908831	0.0	0.059330728	0.267	3504	tags=42%, list=18%, signal=51%	
GOBP_MITOCHONDRIAL_GENE_EXPRESSION	GOBP_MITOCHONDRIAL_GENE_EXPRESSION	Details ...	159	-0.4985637	-1.8632925	0.0	0.115639314	0.515	6047	tags=61%, list=31%, signal=88%	
GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	Details ...	56	-0.59584284	-1.8534285	0.0	0.116600215	0.58	5885	tags=71%, list=30%, signal=102%	
GOBP_EYE_PHOTORECEPTOR_CELL_DEVELOPMENT	GOBP_EYE_PHOTORECEPTOR_CELL_DEVELOPMENT	Details ...	35	-0.64573306	-1.8480556	0.0	0.1115611	0.615	2407	tags=37%, list=12%, signal=42%	
GOBP_TRNA_METABOLIC_PROCESS	GOBP_TRNA_METABOLIC_PROCESS	Details ...	171	-0.48290443	-1.8302819	0.0	0.1301071	0.706	5777	tags=52%, list=30%, signal=73%	
GOBP_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS	GOBP_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS	Details ...	25	-0.69231457	-1.8204501	0.0	0.13558146	0.756	440	tags=28%, list=2%, signal=29%	
GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX	GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX	Details ...	112	-0.50878906	-1.8138508	0.0	0.13520257	0.784	3505	tags=41%, list=18%, signal=50%	
GOBP_ERAD_PATHWAY	GOBP_ERAD_PATHWAY	Details ...	103	-0.5125758	-1.8111027	0.0	0.12888595	0.796	4676	tags=46%, list=24%, signal=60%	
GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE	GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE	Details ...	26	-0.6624795	-1.798689	0.0	0.1434721	0.857	1145	tags=23%, list=6%, signal=24%	
GOBP_FEMALE_GENITALIA_DEVELOPMENT	GOBP_FEMALE_GENITALIA_DEVELOPMENT	Details ...	18	-0.7335806	-1.7963991	0.0	0.13710159	0.864	1655	tags=44%, list=9%, signal=49%	
GOBP_GENITALIA_DEVELOPMENT	GOBP_GENITALIA_DEVELOPMENT	Details ...	44	-0.5978434	-1.7899309	0.0	0.13976687	0.888	3622	tags=41%, list=19%, signal=50%	
GOBP_GLUCOCORTICOID_METABOLIC_PROCESS	GOBP_GLUCOCORTICOID_METABOLIC_PROCESS	Details ...	25	-0.6611975	-1.7810043	0.0022172949	0.14880723	0.912	1751	tags=32%, list=9%, signal=35%	
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	Details ...	114	-0.503726	-1.7711296	0.0	0.16058986	0.938	6465	tags=61%, list=33%, signal=91%	
GOCC_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT	GOCC_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT	Details ...	32	-0.62021744	-1.7672039	0.0	0.15926279	0.945	5947	tags=75%, list=31%, signal=108%	
GOMF_GLUCURONOSYLTRANSFERASE_ACTIVITY	GOMF_GLUCURONOSYLTRANSFERASE_ACTIVITY	Details ...	34	-0.61673373	-1.7669258	0.004842615	0.15140744	0.946	5160	tags=41%, list=27%, signal=56%	
GOBP_NEGATIVE_REGULATION_OF_DNA_REPAIR	GOBP_NEGATIVE_REGULATION_OF_DNA_REPAIR	Details ...	33	-0.6141034	-1.7540718	0.0023923444	0.17131066	0.965	5184	tags=61%, list=27%, signal=83%	
GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION		48	-0.57289404	-1.7537476	0.0	0.1638627	0.966	2431	tags=35%, list=13%, signal=40%	
GOBP_POLYPRENOL_METABOLIC_PROCESS	GOBP_POLYPRENOL_METABOLIC_PROCESS		25	-0.6494697	-1.7499456	0.0	0.16359563	0.968	5457	tags=72%, list=28%, signal=100%	
GOBP_POSITIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS		26	-0.6550217	-1.7491975	0.0023310024	0.15850401	0.97	3165	tags=38%, list=16%, signal=46%	
GOBP_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	GOBP_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS		77	-0.51661074	-1.7469479	0.0	0.15686724	0.975	4470	tags=49%, list=23%, signal=64%	
GOBP_PHOTORECEPTOR_CELL_DEVELOPMENT	GOBP_PHOTORECEPTOR_CELL_DEVELOPMENT		48	-0.5694498	-1.7375122	0.0025839794	0.16954397	0.984	4527	tags=46%, list=23%, signal=60%	
GOBP_ACYLGLYCEROL_HOMEOSTASIS	GOBP_ACYLGLYCEROL_HOMEOSTASIS		40	-0.58102965	-1.7349014	0.004901961	0.16884577	0.986	2848	tags=33%, list=15%, signal=38%	
GOCC_PRERIBOSOME_LARGE_SUBUNIT_PRECURSOR	GOCC_PRERIBOSOME_LARGE_SUBUNIT_PRECURSOR		19	-0.69391733	-1.7338775	0.0042643924	0.1647141	0.988	2893	tags=47%, list=15%, signal=56%	
