NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WASF3	WASF3	673	0.13361646234989166	0.06169526	Yes	
row_1	PIK3CG	PIK3CG	753	0.12506315112113953	0.14784928	Yes	
row_2	PIK3CD	PIK3CD	789	0.12175723165273666	0.23388708	Yes	
row_3	PIK3CB	PIK3CB	790	0.12159621715545654	0.3216135	Yes	
row_4	CYTH4	CYTH4	956	0.1069822683930397	0.39028835	Yes	
row_5	CYFIP2	CYFIP2	1450	0.07806449383497238	0.42118695	Yes	
row_6	CYTH1	CYTH1	1661	0.06942791491746902	0.46044755	Yes	
row_7	ARPC1B	ARPC1B	2503	0.0461902879178524	0.4504057	Yes	
row_8	CYFIP1	CYFIP1	2527	0.04573632404208183	0.48221648	Yes	
row_9	ACTR2	ACTR2	2710	0.04168107733130455	0.50290275	Yes	
row_10	ACTR3	ACTR3	3163	0.03372369334101677	0.50392556	Yes	
row_11	ARPC3	ARPC3	3278	0.031959038227796555	0.5211042	Yes	
row_12	PIK3CA	PIK3CA	3279	0.03193967416882515	0.5441473	Yes	
row_13	PIK3C2B	PIK3C2B	3337	0.03097240999341011	0.56355333	Yes	
row_14	ARPC5	ARPC5	4248	0.02112475410103798	0.53186977	No	
row_15	ARPC2	ARPC2	4432	0.01944912225008011	0.5364651	No	
row_16	ARPC4	ARPC4	4516	0.018846940249204636	0.54578245	No	
row_17	NCKAP1	NCKAP1	4614	0.018048450350761414	0.55380183	No	
row_18	WASF2	WASF2	5348	0.012752624228596687	0.52520514	No	
row_19	ACTG1	ACTG1	6283	0.008259408175945282	0.48300225	No	
row_20	BRK1	BRK1	6394	0.007801812607795	0.48295876	No	
row_21	ACTB	ACTB	7384	0.0037902884650975466	0.4346955	No	
row_22	ARF6	ARF6	12100	-0.012636645697057247	0.20068334	No	
row_23	WASF1	WASF1	12455	-0.014266875572502613	0.19272226	No	
row_24	ABI1	ABI1	12662	-0.015233520418405533	0.1930902	No	
row_25	ARPC5L	ARPC5L	14853	-0.029596805572509766	0.101515666	No	
row_26	CYTH3	CYTH3	15381	-0.03402694687247276	0.09888989	No	
row_27	ARPC1A	ARPC1A	15451	-0.03476877138018608	0.12041607	No	
row_28	ARF1	ARF1	15692	-0.03702697157859802	0.13475382	No	
row_29	CYTH2	CYTH2	18185	-0.07974420487880707	0.06378584	No	
