NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BMP6	BMP6	857	0.11423977464437485	0.07859187	No	
row_1	GDF7	GDF7	2385	0.04851730912923813	0.052028645	No	
row_2	BMPR2	BMPR2	2802	0.03994939103722572	0.073517665	No	
row_3	BMPR1B	BMPR1B	4817	0.016550542786717415	-0.012495764	No	
row_4	ACVR2A	ACVR2A	8652	-3.345889854244888E-4	-0.20973453	No	
row_5	SMAD5	SMAD5	8708	-5.078493268229067E-4	-0.21202342	No	
row_6	SMAD4	SMAD4	8838	-9.352532215416431E-4	-0.21766686	No	
row_7	BMPR1A	BMPR1A	8947	-0.001324970624409616	-0.22180922	No	
row_8	SMAD1	SMAD1	10543	-0.006689393427222967	-0.2968247	No	
row_9	ACVR1	ACVR1	10823	-0.007691723294556141	-0.30293852	No	
row_10	GDF6	GDF6	11184	-0.009078584611415863	-0.31173664	No	
row_11	BMP2	BMP2	11930	-0.01191862765699625	-0.3373252	No	
row_12	GDF5	GDF5	12434	-0.014156036078929901	-0.34803715	No	
row_13	BMP8A	BMP8A	13997	-0.023002885282039642	-0.40382162	No	
row_14	SMAD9	SMAD9	14854	-0.029597630724310875	-0.41613334	No	
row_15	ACVR2B	ACVR2B	15053	-0.031245157122612	-0.3927624	No	
row_16	BMP8B	BMP8B	18330	-0.084828220307827	-0.47044718	Yes	
row_17	BMP5	BMP5	19092	-0.14417150616645813	-0.35474345	Yes	
row_18	BMP4	BMP4	19200	-0.16471964120864868	-0.18325286	Yes	
row_19	BMP7	BMP7	19248	-0.1811331808567047	0.008967747	Yes	
