NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRKCB	PRKCB	262	0.22178101539611816	0.2117266	Yes	
row_1	CXCL12	CXCL12	435	0.17120639979839325	0.37673056	Yes	
row_2	CXCR4	CXCR4	1236	0.08905178308486938	0.4259382	Yes	
row_3	PLCB2	PLCB2	1321	0.08436650037765503	0.50728726	Yes	
row_4	MAPK3	MAPK3	1947	0.06014203652739525	0.5361545	Yes	
row_5	PLCG2	PLCG2	2092	0.05601544678211212	0.5856196	Yes	
row_6	GNAQ	GNAQ	2291	0.050658561289310455	0.6268617	Yes	
row_7	MAP2K1	MAP2K1	2728	0.04131459817290306	0.646349	Yes	
row_8	MAPK1	MAPK1	3932	0.024344583973288536	0.60907453	No	
row_9	PRKCG	PRKCG	7565	0.0031514016445726156	0.42509702	No	
row_10	MAP2K2	MAP2K2	10320	-0.00589631125330925	0.2891555	No	
row_11	PLCG1	PLCG1	10542	-0.006688975263386965	0.28455907	No	
row_12	PLCB4	PLCB4	11252	-0.009329053573310375	0.2574943	No	
row_13	RAF1	RAF1	11305	-0.009465232491493225	0.26442683	No	
row_14	PLCB3	PLCB3	12070	-0.012503503821790218	0.23775141	No	
row_15	ARAF	ARAF	14756	-0.028685538098216057	0.12850939	No	
row_16	PLCB1	PLCB1	14808	-0.02913995273411274	0.15547404	No	
row_17	PRKCA	PRKCA	15237	-0.032725606113672256	0.16665111	No	
row_18	BRAF	BRAF	16643	-0.04822484403848648	0.14321795	No	
