NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CSF2RB	CSF2RB	68	0.39479783177375793	0.16595954	Yes	
row_1	IL2RB	IL2RB	216	0.24601733684539795	0.26397762	Yes	
row_2	IL6	IL6	326	0.19431431591510773	0.34176293	Yes	
row_3	IL7R	IL7R	437	0.1701515167951584	0.40912467	Yes	
row_4	STAT4	STAT4	456	0.16672192513942719	0.4797619	Yes	
row_5	IL6R	IL6R	1177	0.09267143905162811	0.48238596	Yes	
row_6	IFNG	IFNG	1473	0.0771113708615303	0.5002629	Yes	
row_7	JAK2	JAK2	1502	0.07599054276943207	0.5314372	Yes	
row_8	IL6ST	IL6ST	1680	0.06888947635889053	0.5518743	Yes	
row_9	IFNGR2	IFNGR2	1917	0.06118800491094589	0.5659607	Yes	
row_10	JAK1	JAK1	1955	0.05998871475458145	0.5898018	Yes	
row_11	IL7	IL7	2042	0.057802457362413406	0.61017567	Yes	
row_12	IFNAR2	IFNAR2	2409	0.04801614210009575	0.61189944	Yes	
row_13	IL2RG	IL2RG	2454	0.04693417251110077	0.6297755	Yes	
row_14	IL2RA	IL2RA	2515	0.04587237536907196	0.6463701	Yes	
row_15	IL12RB1	IL12RB1	2553	0.04523741081357002	0.6638791	Yes	
row_16	STAT5A	STAT5A	3978	0.023838572204113007	0.6006265	No	
row_17	STAT3	STAT3	3979	0.023830564692616463	0.6108559	No	
row_18	IL3RA	IL3RA	4130	0.022240731865167618	0.6126621	No	
row_19	JAK3	JAK3	4135	0.022206559777259827	0.62198794	No	
row_20	EPO	EPO	4657	0.01766609586775303	0.60268503	No	
row_21	IL3	IL3	5111	0.014297730289399624	0.58544534	No	
row_22	IL2	IL2	5137	0.014073195867240429	0.5901962	No	
row_23	IL4R	IL4R	5316	0.012950706295669079	0.58656967	No	
row_24	STAT1	STAT1	7000	0.005242266692221165	0.50196886	No	
row_25	IFNA1	IFNA1	7154	0.004634536802768707	0.49606273	No	
row_26	IL13	IL13	7238	0.004277969244867563	0.49361587	No	
row_27	EPOR	EPOR	7317	0.00403883121907711	0.49132437	No	
row_28	IL15	IL15	7392	0.0037611054722219706	0.48912007	No	
row_29	IL12RB2	IL12RB2	7401	0.0037417570129036903	0.49031338	No	
row_30	IL13RA1	IL13RA1	7859	0.002239086665213108	0.4676911	No	
row_31	IL23R	IL23R	8102	0.0013945014216005802	0.45580128	No	
row_32	IL4	IL4	9348	-0.002604168141260743	0.39267102	No	
row_33	IFNAR1	IFNAR1	9847	-0.004155061207711697	0.36875537	No	
row_34	STAT2	STAT2	9954	-0.004580448381602764	0.36525142	No	
row_35	IFNGR1	IFNGR1	10544	-0.00669251149520278	0.33772892	No	
row_36	IL12B	IL12B	11153	-0.008970865048468113	0.3102039	No	
row_37	IL23A	IL23A	12125	-0.012776356190443039	0.26557985	No	
row_38	IL5RA	IL5RA	12232	-0.01323186606168747	0.26578957	No	
row_39	PIM1	PIM1	12445	-0.014243293553590775	0.26096332	No	
row_40	IL5	IL5	13612	-0.020528946071863174	0.20960413	No	
row_41	IL15RA	IL15RA	15401	-0.03425045683979988	0.1320367	No	
row_42	STAT6	STAT6	16172	-0.04233279079198837	0.110472456	No	
row_43	STAT5B	STAT5B	16436	-0.04543762654066086	0.11640466	No	
row_44	IL12A	IL12A	18395	-0.08767767250537872	0.05299826	No	
