NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIF1	PIF1	3320	0.031204286962747574	-0.12520167	No	
row_1	GINS4	GINS4	3828	0.025219352915883064	-0.11424201	No	
row_2	LRR1	LRR1	8289	7.404318894259632E-4	-0.34299082	No	
row_3	GINS1	GINS1	10016	-0.004792733117938042	-0.42488888	No	
row_4	UBB	UBB	11401	-0.009814378805458546	-0.48177794	No	
row_5	RBX1	RBX1	11739	-0.01119089312851429	-0.48268753	No	
row_6	MCM7	MCM7	12383	-0.013926675543189049	-0.4953431	No	
row_7	CUL2	CUL2	13351	-0.018838493153452873	-0.5174722	No	
row_8	MCM3	MCM3	14555	-0.027198826894164085	-0.5394686	Yes	
row_9	MCM5	MCM5	15125	-0.0318639874458313	-0.52193254	Yes	
row_10	MCM6	MCM6	15678	-0.036788925528526306	-0.49627796	Yes	
row_11	NPLOC4	NPLOC4	17021	-0.053172241896390915	-0.48724163	Yes	
row_12	VCP	VCP	17217	-0.056365717202425	-0.41440055	Yes	
row_13	MCM4	MCM4	17665	-0.06545484811067581	-0.34117958	Yes	
row_14	GINS2	GINS2	17816	-0.06851790100336075	-0.24814883	Yes	
row_15	CDC45	CDC45	17969	-0.07291922718286514	-0.14874867	Yes	
row_16	GINS3	GINS3	18033	-0.07452282309532166	-0.04240384	Yes	
row_17	MCM2	MCM2	18118	-0.07747434079647064	0.067199215	Yes	
