NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CAMK1G	CAMK1G	464	0.1648206114768982	0.22346145	Yes	
row_1	CAMK2A	CAMK2A	858	0.11398915946483612	0.3742914	Yes	
row_2	CAMK1D	CAMK1D	922	0.10895894467830658	0.5345751	Yes	
row_3	CAMK2G	CAMK2G	938	0.10825599730014801	0.69627696	Yes	
row_4	PLCG2	PLCG2	2092	0.05601544678211212	0.7209386	Yes	
row_5	CALM2	CALM2	6032	0.009319478645920753	0.5319681	No	
row_6	CAMK2B	CAMK2B	6807	0.006027182098478079	0.50113344	No	
row_7	EGF	EGF	7212	0.0044365208595991135	0.48697582	No	
row_8	CAMK4	CAMK4	7988	0.001828084117732942	0.4497875	No	
row_9	CALM3	CALM3	8856	-9.87485283985734E-4	0.40659723	No	
row_10	PLCG1	PLCG1	10542	-0.006688975263386965	0.32981643	No	
row_11	CALM1	CALM1	11583	-0.010553071275353432	0.29206875	No	
row_12	CAMK1	CAMK1	13488	-0.019711069762706757	0.223548	No	
row_13	CAMK2D	CAMK2D	13760	-0.021623756736516953	0.24203846	No	
row_14	EGFR	EGFR	15276	-0.03307849168777466	0.21362333	No	
