NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS5	NDUFS5	4047	0.023214243352413177	-0.18066932	No	
row_1	NDUFB5	NDUFB5	6654	0.006724193226546049	-0.30695224	No	
row_2	NDUFS1	NDUFS1	7763	0.002525343094021082	-0.36104763	No	
row_3	NDUFB10	NDUFB10	9004	-0.0015194920124486089	-0.42316753	No	
row_4	NDUFAB1	NDUFAB1	9545	-0.00317238736897707	-0.44718412	No	
row_5	NDUFS6	NDUFS6	9808	-0.00403903191909194	-0.45581406	No	
row_6	NDUFA5	NDUFA5	10465	-0.0064449794590473175	-0.4818569	No	
row_7	NDUFB8	NDUFB8	11501	-0.010244132950901985	-0.5228544	No	
row_8	NDUFS4	NDUFS4	11672	-0.010927043855190277	-0.518411	No	
row_9	NDUFB4	NDUFB4	12252	-0.013312146067619324	-0.53217924	Yes	
row_10	NDUFV2	NDUFV2	12513	-0.014522522687911987	-0.52803063	Yes	
row_11	NDUFA4	NDUFA4	12827	-0.016047321259975433	-0.524772	Yes	
row_12	NDUFA9	NDUFA9	12959	-0.01670699194073677	-0.5113286	Yes	
row_13	NDUFB3	NDUFB3	13082	-0.017277395352721214	-0.49673125	Yes	
row_14	NDUFA12	NDUFA12	13361	-0.01891338638961315	-0.4882021	Yes	
row_15	NDUFV1	NDUFV1	13385	-0.0190788134932518	-0.46632046	Yes	
row_16	NDUFC2	NDUFC2	13427	-0.019335908815264702	-0.44505638	Yes	
row_17	NDUFV3	NDUFV3	13590	-0.02037964202463627	-0.4287713	Yes	
row_18	NDUFB7	NDUFB7	13809	-0.021887196227908134	-0.41355184	Yes	
row_19	NDUFA10	NDUFA10	13861	-0.022177888080477715	-0.38936734	Yes	
row_20	NDUFB6	NDUFB6	13895	-0.022404231131076813	-0.36398077	Yes	
row_21	NDUFA8	NDUFA8	13976	-0.022892918437719345	-0.34042752	Yes	
row_22	NDUFB1	NDUFB1	14160	-0.02410556562244892	-0.3207206	Yes	
row_23	NDUFA1	NDUFA1	14447	-0.02633543312549591	-0.30363017	Yes	
row_24	NDUFA11	NDUFA11	14453	-0.026375478133559227	-0.27199784	Yes	
row_25	NDUFS7	NDUFS7	14910	-0.02993599884212017	-0.25932232	Yes	
row_26	NDUFS8	NDUFS8	14945	-0.030292412266135216	-0.22444981	Yes	
row_27	NDUFB2	NDUFB2	15141	-0.03198191896080971	-0.19583866	Yes	
row_28	NDUFS3	NDUFS3	15513	-0.035437554121017456	-0.17212714	Yes	
row_29	NDUFC1	NDUFC1	15543	-0.03572096303105354	-0.13043316	Yes	
row_30	NDUFB11	NDUFB11	15700	-0.037104833871126175	-0.09361641	Yes	
row_31	NDUFA7	NDUFA7	15708	-0.03718380257487297	-0.049019013	Yes	
row_32	NDUFA3	NDUFA3	16504	-0.04634612426161766	-0.03398727	Yes	
row_33	NDUFA13	NDUFA13	16835	-0.050843894481658936	0.010466574	Yes	
row_34	NDUFS2	NDUFS2	18672	-0.10165932774543762	0.03868378	Yes	
