NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FN1	FN1	7	0.5741158127784729	0.26090708	Yes	
row_1	ITGA2B	ITGA2B	105	0.34764614701271057	0.41411197	Yes	
row_2	RAC3	RAC3	407	0.17616724967956543	0.47876173	Yes	
row_3	ITGA4	ITGA4	606	0.1416163593530655	0.53299904	Yes	
row_4	RAC2	RAC2	735	0.12714168429374695	0.58425856	Yes	
row_5	PXN	PXN	1242	0.0886283591389656	0.5985009	Yes	
row_6	ITGAV	ITGAV	1440	0.0785636231303215	0.6240958	Yes	
row_7	ITGA5	ITGA5	2202	0.05293596163392067	0.60894686	Yes	
row_8	ITGB1	ITGB1	2206	0.05282575637102127	0.6328321	Yes	
row_9	ITGA2	ITGA2	2339	0.04962464049458504	0.648609	Yes	
row_10	ITGA8	ITGA8	2967	0.03694319725036621	0.63309145	No	
row_11	RAC1	RAC1	3136	0.03419311344623566	0.63998955	No	
row_12	ITGB7	ITGB7	4006	0.023598162457346916	0.6059209	No	
row_13	ITGB6	ITGB6	4008	0.023572267964482307	0.6165966	No	
row_14	DOCK1	DOCK1	4226	0.021320099011063576	0.6151099	No	
row_15	ITGB3	ITGB3	4447	0.01933661662042141	0.6125659	No	
row_16	ITGA10	ITGA10	5004	0.01500479131937027	0.5907256	No	
row_17	ELMO1	ELMO1	8110	0.0013640930410474539	0.43124527	No	
row_18	PTK2	PTK2	8531	-1.0473816473677289E-5	0.40959385	No	
row_19	ITGA1	ITGA1	9485	-0.002987332409247756	0.36181444	No	
row_20	ITGA9	ITGA9	9999	-0.004719813819974661	0.33751082	No	
row_21	ITGA7	ITGA7	10361	-0.006057691294699907	0.32165354	No	
row_22	CRK	CRK	11438	-0.009946993552148342	0.27069914	No	
row_23	SRC	SRC	12002	-0.012204558588564396	0.24722359	No	
row_24	ITGB5	ITGB5	12623	-0.015074682421982288	0.22211511	No	
row_25	ITGA3	ITGA3	13226	-0.01812356896698475	0.19932224	No	
row_26	ITGB4	ITGB4	16828	-0.05062849074602127	0.03668621	No	
row_27	BCAR1	BCAR1	17897	-0.0710378959774971	0.013945485	No	
row_28	ITGB8	ITGB8	19084	-0.1420309841632843	0.017427865	No	
