NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FN1	FN1	7	0.5741158127784729	0.3391653	Yes	
row_1	ITGA2B	ITGA2B	105	0.34764614701271057	0.5397599	Yes	
row_2	ITGA4	ITGA4	606	0.1416163593530655	0.59773844	Yes	
row_3	ITGAV	ITGAV	1440	0.0785636231303215	0.60126424	Yes	
row_4	ITGA5	ITGA5	2202	0.05293596163392067	0.5933452	Yes	
row_5	ITGB1	ITGB1	2206	0.05282575637102127	0.6244312	Yes	
row_6	ITGA2	ITGA2	2339	0.04962464049458504	0.6469749	Yes	
row_7	ITGA8	ITGA8	2967	0.03694319725036621	0.6365048	No	
row_8	ITGB7	ITGB7	4006	0.023598162457346916	0.5969581	No	
row_9	ITGB6	ITGB6	4008	0.023572267964482307	0.61084694	No	
row_10	ITGB3	ITGB3	4447	0.01933661662042141	0.5997063	No	
row_11	ITGA10	ITGA10	5004	0.01500479131937027	0.57992166	No	
row_12	RHOA	RHOA	5090	0.01444021612405777	0.5840802	No	
row_13	ARHGAP35	ARHGAP35	6138	0.008881866931915283	0.5353666	No	
row_14	ITGA1	ITGA1	9485	-0.002987332409247756	0.36466792	No	
row_15	ITGA9	ITGA9	9999	-0.004719813819974661	0.34101722	No	
row_16	ITGA7	ITGA7	10361	-0.006057691294699907	0.3259924	No	
row_17	SRC	SRC	12002	-0.012204558588564396	0.24867831	No	
row_18	ITGB5	ITGB5	12623	-0.015074682421982288	0.22563621	No	
row_19	ITGA3	ITGA3	13226	-0.01812356896698475	0.20532498	No	
row_20	ITGB4	ITGB4	16828	-0.05062849074602127	0.049657144	No	
row_21	ITGB8	ITGB8	19084	-0.1420309841632843	0.017421661	No	
