NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FN1	FN1	7	0.5741158127784729	0.34239888	Yes	
row_1	ITGA2B	ITGA2B	105	0.34764614701271057	0.5449515	Yes	
row_2	ITGA4	ITGA4	606	0.1416163593530655	0.6037277	Yes	
row_3	ITGAV	ITGAV	1440	0.0785636231303215	0.607696	Yes	
row_4	ITGA5	ITGA5	2202	0.05293596163392067	0.6000751	Yes	
row_5	ITGB1	ITGB1	2206	0.05282575637102127	0.63145864	Yes	
row_6	ITGA2	ITGA2	2339	0.04962464049458504	0.65428185	Yes	
row_7	ITGA8	ITGA8	2967	0.03694319725036621	0.64401984	No	
row_8	ITGB7	ITGB7	4006	0.023598162457346916	0.60460603	No	
row_9	ITGB6	ITGB6	4008	0.023572267964482307	0.61862767	No	
row_10	ITGB3	ITGB3	4447	0.01933661662042141	0.60759586	No	
row_11	ITGA10	ITGA10	5004	0.01500479131937027	0.58789575	No	
row_12	RHOA	RHOA	5090	0.01444021612405777	0.59213567	No	
row_13	PTK2	PTK2	8531	-1.0473816473677289E-5	0.41483146	No	
row_14	ITGA1	ITGA1	9485	-0.002987332409247756	0.36749378	No	
row_15	ITGA9	ITGA9	9999	-0.004719813819974661	0.3438697	No	
row_16	ARHGEF28	ARHGEF28	10118	-0.00512376194819808	0.3408465	No	
row_17	ITGA7	ITGA7	10361	-0.006057691294699907	0.33198953	No	
row_18	ITGB5	ITGB5	12623	-0.015074682421982288	0.22444904	No	
row_19	ITGA3	ITGA3	13226	-0.01812356896698475	0.20423988	No	
row_20	ITGB4	ITGB4	16828	-0.05062849074602127	0.04885721	No	
row_21	ITGB8	ITGB8	19084	-0.1420309841632843	0.017421687	No	
